Area,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,14,14,11,9,10,12,13
E01015024,6,6,7,4,6,6,6
E01015025,25,29,29,13,15,16,17
E01015026,11,15,16,15,14,11,9
E01015027,8,9,10,10,11,8,7
E01015028,15,16,15,10,7,6,5
E01015029,9,12,13,9,7,7,5
E01015030,17,19,20,11,10,12,12
E01015031,15,21,24,17,15,15,14
E01015032,13,15,12,9,6,9,8
E01015033,10,9,8,5,7,7,9
E01015034,15,21,23,19,16,13,13
E01015035,6,7,9,9,8,8,7
E01015036,24,22,16,10,13,13,14
E01015037,14,15,12,10,9,7,6
E01015038,12,16,17,11,12,13,12
E01015039,11,11,10,9,11,13,10
E01015040,12,12,10,7,7,9,10
E01015041,7,8,9,8,8,7,8
E01015042,11,11,9,7,5,6,4
E01015043,10,11,13,9,10,11,12
E01015044,14,15,14,8,9,11,11
E01015045,12,15,15,10,9,8,11
E01015046,20,25,25,18,19,21,21
E01015047,12,12,11,8,7,7,9
E01015048,11,9,11,7,7,6,6
E01015049,8,9,7,6,8,7,7
E01015050,15,20,19,12,9,10,10
E01015051,6,8,10,9,8,7,9
E01015052,18,22,23,13,11,8,5
E01015053,8,10,10,6,4,3,4
E01015054,14,15,15,10,10,9,8
E01015055,12,13,12,7,7,7,7
E01015056,21,26,25,15,11,11,11
E01015057,17,23,26,17,16,14,14
E01015058,10,11,10,7,5,4,6
E01015059,8,7,7,5,6,8,7
E01015060,9,12,15,8,7,7,8
E01015061,11,12,11,6,4,4,4
E01015062,7,9,14,11,11,9,6
E01015063,8,11,11,8,9,10,10
E01015064,16,15,15,10,11,10,9
E01015065,14,16,15,10,11,10,11
E01015066,7,7,5,4,6,7,7
E01015067,11,14,15,11,9,8,7
E01015068,7,8,10,6,5,6,6
E01015069,10,9,11,8,10,10,9
E01015070,13,16,18,11,11,7,8
E01015071,14,19,18,10,9,10,10
E01015072,11,15,14,10,8,8,10
E01015073,13,14,14,11,10,9,8
E01015074,13,12,14,8,9,10,10
E01015075,14,15,12,7,7,8,10
E01015076,5,6,7,6,6,4,4
E01015077,18,18,22,13,17,15,17
E01015078,12,12,13,8,10,8,10
E01015079,14,13,13,9,10,8,7
E01015080,8,8,7,6,7,5,2
E01015081,15,20,20,11,7,7,9
E01015082,13,14,12,8,7,7,9
E01015083,15,21,21,18,17,16,12
E01015084,11,11,9,8,11,13,11
E01015085,14,17,22,15,15,13,12
E01015086,10,14,16,10,8,5,5
E01015087,9,11,10,8,9,11,9
E01015088,12,15,13,10,7,7,6
E01015089,16,20,20,11,10,9,10
E01015090,5,7,6,5,5,5,5
E01015091,10,16,15,10,8,9,9
E01015092,10,13,16,11,10,7,6
E01015093,14,16,16,9,10,8,8
E01015094,13,17,19,11,11,11,12
E01015095,12,13,13,12,11,12,10
E01015096,10,11,13,10,9,6,3
E01015097,19,21,19,9,10,11,14
E01015098,14,14,14,8,7,6,5
E01015099,12,14,14,8,6,4,3
E01015100,8,8,7,6,6,7,7
E01015101,19,24,24,20,19,21,16
E01015102,8,12,11,9,5,7,9
E01015103,8,11,9,6,5,7,7
E01015104,10,13,12,7,8,8,8
E01015105,8,12,11,9,7,8,7
E01015106,9,10,12,5,4,4,5
E01015107,7,7,6,3,3,4,3
E01015108,6,6,8,8,10,10,9
E01015109,6,6,7,4,4,5,6
E01015110,6,4,5,3,5,5,5
E01015111,4,4,4,3,3,5,4
E01015112,20,24,22,16,16,18,17
E01015113,8,11,10,8,8,10,8
E01015114,10,11,11,6,7,7,8
E01015115,24,32,32,22,21,17,17
E01015116,6,8,9,6,5,3,7
E01015117,6,10,10,9,5,4,2
E01015118,11,11,10,8,8,7,9
E01015119,6,5,6,4,5,5,6
E01015120,8,11,13,8,10,10,9
E01015121,11,13,13,8,9,10,12
E01015122,15,16,18,8,8,7,8
E01015123,37,45,40,22,25,30,28
E01015124,18,19,15,10,14,16,12
E01015125,10,13,13,6,7,6,7
E01015126,22,26,24,14,12,15,14
E01015127,14,13,13,11,10,11,9
E01015128,10,13,15,13,11,9,9
E01015129,5,4,6,4,5,7,7
E01015130,8,10,10,8,7,5,5
E01015131,14,18,20,15,11,11,10
E01015132,13,15,15,8,7,7,8
E01015133,11,10,12,9,9,8,9
E01015134,18,23,27,20,18,15,12
E01015135,10,11,12,10,9,6,8
E01015136,15,18,18,13,10,10,9
E01015137,14,16,15,9,10,9,10
E01015138,8,10,13,8,7,5,7
E01015139,15,19,17,14,11,12,10
E01015140,14,14,13,9,8,8,8
E01015141,17,17,17,12,11,9,9
E01015142,11,13,14,6,5,6,7
E01015143,12,14,11,9,9,8,8
