Area,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,176.5695394,177.1197356,168.7463942,160.3553363,146.884146,129.0121481,137.9942135
E01015024,207.1107088,213.3718592,229.9001142,164.3042182,152.997626,175.0067353,167.3612243
E01015025,152.8231917,148.716884,121.8295068,111.5560787,111.5560787,107.6536287,107.9262936
E01015026,203.5088365,240.5959983,225.9472715,230.3485929,234.3269663,228.1667912,228.1667912
E01015027,171.579364,192.4166688,172.7231233,179.9543889,157.5006623,179.5065187,177.6267557
E01015028,310.2860185,281.0705516,252.7608011,209.0609621,196.6927992,184.0613214,184.0613214
E01015029,174.6403049,186.3707263,190.4868927,166.3027213,157.5315491,152.9453095,152.0323339
E01015030,241.9406727,246.0662038,238.024361,190.5600374,173.8577429,184.3062455,183.1879743
E01015031,231.3615537,210.451907,191.8791232,196.9984915,170.1419345,185.1834266,187.4534189
E01015032,264.0648681,281.4288583,262.4000975,219.5390483,204.6507265,219.5390483,226.6571327
E01015033,167.8708271,146.2078391,138.3416451,108.0529967,111.4915932,101.8802741,101.4596309
E01015034,139.7274471,142.3340058,160.2083925,116.9915213,107.2077729,116.7887803,110.6751541
E01015035,178.8466192,151.5132587,186.1542402,185.9841442,176.9112187,193.7170255,188.198171
E01015036,139.4535678,150.0161246,139.7537813,129.2730851,111.150546,119.8951284,125.1507028
E01015037,181.4011747,226.7158545,219.5837079,200.0195624,183.5056815,173.7961912,164.7612336
E01015038,213.7453657,225.9933263,195.2669944,154.4359692,154.8759467,157.5864275,144.4562266
E01015039,230.8748317,238.1467497,171.7259302,151.1842098,112.3417242,139.6449119,148.1009145
E01015040,265.6081168,268.4345842,235.5882754,194.7895214,184.1315664,183.9174274,193.2519858
E01015041,202.0797437,236.5692207,235.2401813,215.2336739,215.9499941,213.2461774,203.281503
E01015042,246.3019681,235.5118771,229.1098813,211.1394232,200.1954735,198.8139825,198.8139825
E01015043,259.2308487,272.3351913,296.5011242,266.8717627,267.4020424,252.6290498,260.5534711
E01015044,268.8972925,287.5505512,264.6592359,223.9446673,231.4426626,200.2376232,215.4701171
E01015045,335.8806872,324.2969569,315.3750458,256.3808831,253.3689788,250.2483877,241.4516495
E01015046,237.0221564,268.7963334,249.6128304,229.409618,219.9936868,221.2962536,229.1419769
E01015047,290.1001197,281.7394162,275.7975296,213.6734676,211.662193,214.9554346,208.8697219
E01015048,478.7749828,422.3905786,391.1286351,256.1276006,247.5549663,253.5210442,253.5210442
E01015049,238.5624903,250.9019567,208.1486656,243.3599647,220.9830432,320.9188809,334.4723929
E01015050,264.529543,298.7779772,320.3067798,255.4374484,255.4374484,225.0657814,235.8396831
E01015051,166.7758677,246.6213496,348.7374892,305.9045459,228.3235297,254.1159068,293.5674529
E01015052,271.8628051,271.4455818,311.0277635,165.5389235,165.5389235,165.5389235,184.8029162
E01015053,344.5658119,401.3888742,445.7525259,325.3219757,300.0440085,262.0062335,324.7155377
E01015054,245.458829,333.7882364,305.4038659,174.7900772,174.7900772,174.7900772,189.7226025
E01015055,238.2424754,248.1898446,217.2694681,169.9442694,133.6485829,125.0603779,132.5362801
E01015056,188.0936177,185.8250518,170.162472,149.0410292,142.9926775,139.5325719,134.8979464
E01015057,232.2686376,257.7164518,269.159008,218.3636039,221.3646419,233.8685415,236.9618348
E01015058,255.0098133,265.0631992,229.4053893,199.8141417,180.3450597,198.3543301,196.5126179
E01015059,231.3462498,209.988423,221.5604221,179.3775712,156.0499475,163.7326973,163.7326973
E01015060,186.5369256,228.5161966,253.9751165,218.6455493,200.0597809,231.1164695,231.816946
E01015061,271.0433872,266.0610276,271.9880887,225.608761,214.6981487,198.2261605,214.1043528
E01015062,175.1335711,196.531833,263.1197492,236.7659309,222.4085909,233.8674671,247.9672532
E01015063,183.7574546,197.2773923,201.9799828,164.8512799,155.4625648,173.5058126,168.918513
E01015064,164.5686091,123.1222441,123.8424614,102.5324543,102.5324543,92.78933948,101.8111732
E01015065,176.9984957,196.6232546,160.0215183,118.5087028,114.1950689,103.1746942,103.1746942
E01015066,164.2474166,161.7045944,137.9450417,113.5212173,113.5212173,113.5212173,123.942672
E01015067,128.0370656,129.9933597,141.1738317,122.2645667,122.2645667,137.4907021,137.4907021
E01015068,185.6202996,166.5322211,176.1964155,145.0106368,145.0106368,135.5188608,134.770983
E01015069,170.3560143,157.2646334,175.33753,164.7550916,149.6111301,150.3837944,151.2804703
E01015070,147.9553521,170.9057703,176.8922604,144.2839961,136.2666098,127.994392,141.44742
E01015071,143.4774085,182.0870729,174.5133321,137.9864415,130.6040279,111.3480918,100.8179406
