Area,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,590.7366835,585.6464687,494.5786901,432.9187156,382.1250648,308.7350066,337.6515303
E01015024,435.683331,448.8544454,524.5635545,302.248614,270.407818,334.0894101,307.8721816
E01015025,675.2488077,711.7796086,576.4287587,359.9707096,359.9707096,347.3782296,348.2580687
E01015026,587.3570543,814.2516863,806.9545411,797.0919226,810.8585762,789.542076,789.542076
E01015027,419.8294502,519.4761774,474.5624922,502.8830516,417.5497182,501.6314771,496.378474
E01015028,1061.970352,1003.823398,874.6465101,574.4019059,521.4519209,469.5441873,469.5441873
E01015029,462.9885936,570.5226315,599.102076,432.6432761,385.4565149,357.5936009,363.8239057
E01015030,890.132144,956.114478,932.8060248,549.9848762,477.6798972,523.5580334,511.9193154
E01015031,791.8471859,858.9873756,824.899097,717.7809325,601.4172961,668.0839628,669.4764959
E01015032,830.5128422,952.4427837,803.2656046,582.0195703,532.4071672,582.0195703,566.5248179
E01015033,469.1155039,380.3656248,345.7820824,220.5163197,227.5338636,201.3166351,200.4854392
E01015034,478.2245969,571.8056543,683.8773362,446.6757039,405.6500629,445.9016352,418.7698523
E01015035,387.1336446,354.2453963,502.5692093,493.0622251,460.2417123,522.9868104,498.9318275
E01015036,607.9039825,621.8044682,488.8283947,367.2255492,305.3898004,335.0472775,355.5151137
E01015037,599.8030488,767.2769628,681.4671176,568.1947915,504.1879275,469.205613,436.7982056
E01015038,654.3225481,790.4756057,718.4134293,445.7253921,446.9952333,454.8180878,403.683336
E01015039,676.6708849,708.4807353,479.8886005,408.1590014,280.7958174,370.212371,370.1751745
E01015040,813.0860717,833.073383,669.234696,444.4516441,398.5735079,409.0191225,451.8325781
E01015041,461.0857591,603.4929099,635.088794,537.9721189,539.7625464,543.9953506,508.0979147
E01015042,732.7423101,690.2615981,607.3927882,505.2712644,456.7864159,453.6342651,453.6342651
E01015043,712.2453282,798.187024,944.7188404,707.5032429,721.9176573,657.2247216,690.7528318
E01015044,878.4605974,984.1570095,885.4523824,571.2874165,590.4149557,489.9519927,538.5631038
E01015045,1028.206185,1122.188252,1091.315117,716.4571072,696.1396468,699.3198312,651.858182
E01015046,936.7172086,1195.567402,1110.241942,868.0343174,801.5659025,814.1785606,859.1034522
E01015047,875.6405374,874.3642674,820.4908816,545.0853765,529.0452763,569.8679602,532.8309232
E01015048,1403.241266,1140.347375,1146.358647,584.406863,550.5444292,606.6934191,606.6934191
E01015049,583.7273015,677.3716131,486.6617427,511.9381834,450.9858025,750.3240121,743.8425307
E01015050,915.3707403,1170.896525,1233.807733,771.0144511,771.0144511,669.5651758,659.0546652
E01015051,370.8975273,616.4249656,974.5479056,810.9829832,570.689943,648.2548642,718.3163494
E01015052,1009.791375,1116.563391,1318.158491,520.6379889,520.6379889,520.6379889,533.36896
E01015053,878.9944181,1121.682351,1266.247463,704.1960462,631.1801732,551.1629467,662.6847709
E01015054,801.8894782,1155.031614,1045.260926,496.5254913,496.5254913,496.5254913,474.2077232
E01015055,739.3736748,790.7883075,665.1106168,397.3379992,289.2974059,263.0801775,286.8897013
E01015056,767.7290517,837.3277657,746.8331288,515.7374699,489.4000213,477.5576265,456.5366054
E01015057,837.9526975,1100.107415,1212.830609,795.6265553,774.2854721,860.4336919,880.1572432
E01015058,700.6478939,765.0121862,641.074013,478.1690812,390.3771877,452.5854753,437.0299198
E01015059,566.0702233,502.5168411,518.0190843,366.0766759,287.0643302,323.5377602,323.5377602
E01015060,494.527703,699.5393775,859.5307833,557.7692585,478.7569128,589.5828304,591.3697603
E01015061,806.3474247,803.0807483,797.1697013,488.3555656,438.1594872,391.6972544,408.7271087
E01015062,419.1067663,521.0251838,859.5859407,693.9371033,641.9045829,685.4419979,681.2982273
E01015063,449.6274456,586.8954003,600.8854915,412.0423665,380.3940149,451.3824102,430.914574
E01015064,581.7167189,416.6839665,428.5410405,291.2635434,291.2635434,259.3000731,289.214603
E01015065,585.2455893,695.023402,541.5625865,325.6065795,313.7547276,278.5454924,278.5454924
E01015066,374.7636619,368.9616994,281.5204933,208.8298825,208.8298825,208.8298825,236.6076603
E01015067,380.9071278,429.8230903,488.5140367,358.3451342,358.3451342,409.0314643,409.0314643
E01015068,444.202234,416.2438444,492.3813843,322.4932202,322.4932202,285.0809069,283.5076522
E01015069,483.9296661,424.5746019,506.0504347,403.1314601,349.7981268,351.6046536,353.7011257
E01015070,465.335737,597.7912909,669.3204664,422.8818646,374.3970161,351.6688243,408.2384893
E01015071,474.4081022,701.3914558,648.2021606,391.9775468,364.9733274,300.6115917,267.2782584
