Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,30,35,30,25,35,35,45,35,60,30,40,50,55,45,40,35
E01015024,15,15,20,20,25,25,20,20,20,20,25,20,20,15,25,10
E01015025,5,5,5,5,5,0,0,5,5,10,10,5,5,5,5,5
E01015026,45,40,45,50,60,65,65,65,60,65,65,55,45,65,45,45
E01015027,5,10,15,15,5,20,10,10,20,20,15,10,15,15,20,10
E01015028,50,40,40,40,45,45,45,50,60,50,65,65,55,40,45,40
E01015029,10,25,20,25,30,25,20,25,30,35,40,35,30,25,25,15
E01015030,35,35,40,50,65,75,70,80,75,85,75,65,55,50,40,35
E01015031,15,20,20,15,15,20,5,5,20,15,20,25,15,35,20,15
E01015032,30,30,25,15,20,10,20,15,30,30,25,45,35,35,30,20
E01015033,10,10,5,10,10,10,5,5,10,10,10,10,10,10,5,0
E01015034,15,10,10,5,5,10,5,5,10,5,5,5,10,5,5,5
E01015035,5,5,5,5,10,5,5,10,15,15,10,10,10,10,15,10
E01015036,5,10,5,5,5,5,5,5,10,5,5,5,5,5,10,5
E01015037,5,15,10,5,5,15,15,10,15,15,20,15,20,15,15,15
E01015038,5,5,5,10,5,10,15,10,10,15,25,15,10,15,10,10
E01015039,15,20,15,20,15,20,15,20,20,20,20,20,15,25,20,25
E01015040,35,30,40,40,40,50,45,50,70,65,55,55,55,50,45,30
E01015041,15,15,20,25,20,15,25,25,40,35,40,40,45,40,35,25
E01015042,20,30,25,25,25,15,25,20,20,30,40,35,25,30,25,25
E01015043,40,40,55,60,60,55,70,60,75,75,85,85,80,65,45,45
E01015044,25,25,25,15,20,35,25,30,35,35,35,45,40,45,35,30
E01015045,55,40,55,40,40,40,35,45,55,60,55,70,45,50,30,35
E01015046,50,75,60,65,60,80,70,60,85,90,105,100,80,70,55,45
E01015047,40,40,45,50,50,65,60,50,65,60,75,70,75,70,65,60
E01015048,85,90,85,75,85,70,45,35,40,45,50,55,50,50,45,35
E01015049,15,20,10,15,20,10,15,15,25,20,25,15,20,15,15,10
E01015050,30,30,15,25,25,20,10,20,30,35,40,30,25,20,25,15
E01015051,15,10,10,20,25,15,20,20,25,15,35,20,25,15,20,20
E01015052,25,20,30,20,30,30,15,20,25,35,35,40,35,35,30,20
E01015053,15,20,25,25,20,30,30,25,30,25,25,25,25,10,15,5
E01015054,15,15,10,10,20,15,25,15,25,30,25,25,15,15,10,10
E01015055,20,30,20,20,30,25,20,25,40,40,45,45,30,35,20,20
E01015056,25,30,30,25,25,20,25,25,20,15,25,30,30,15,25,20
E01015057,30,25,30,40,35,35,40,40,35,45,45,60,45,35,25,30
E01015058,35,40,50,35,40,55,45,35,35,45,45,50,40,40,45,40
E01015059,20,10,15,15,15,15,20,25,25,25,30,35,20,35,35,25
E01015060,10,20,20,15,30,40,25,20,25,25,30,40,40,35,30,20
E01015061,20,40,30,15,25,25,20,20,40,35,45,45,40,45,35,30
E01015062,20,25,20,20,20,20,25,20,30,30,35,30,30,25,30,35
E01015063,30,30,35,20,25,25,20,20,25,30,30,35,25,25,20,20
E01015064,5,5,0,0,5,0,5,0,10,10,5,10,0,5,10,10
E01015065,5,5,5,5,0,0,10,10,15,15,15,10,10,20,15,10
E01015066,5,0,5,5,10,5,15,10,15,15,15,20,10,10,10,5
E01015067,5,10,5,10,15,10,15,10,25,15,15,15,20,5,10,10
E01015068,5,15,10,10,5,10,10,10,20,20,20,15,20,15,15,5
E01015069,20,15,20,10,20,20,20,15,30,35,40,35,35,30,20,20
E01015070,10,15,10,20,25,25,30,30,35,25,30,35,30,25,25,25
E01015071,15,15,15,15,10,15,10,15,20,15,20,10,15,15,20,10
E01015072,20,35,35,30,45,55,50,45,55,55,50,60,55,40,35,30
E01015073,20,20,20,25,30,30,35,30,40,35,35,45,40,40,30,30
E01015074,20,25,30,20,30,15,25,30,40,40,45,45,45,45,30,35
E01015075,30,30,35,30,25,35,30,25,40,40,40,55,45,30,25,20
E01015076,10,10,15,10,10,10,10,15,20,20,20,25,20,15,10,15
E01015077,20,20,20,15,20,15,20,20,25,25,25,30,20,25,25,20
E01015078,55,50,60,55,50,55,50,45,60,50,30,35,35,35,30,25
E01015079,20,15,15,10,15,15,15,10,20,20,20,25,25,30,25,15
E01015080,50,45,60,55,65,55,60,55,55,50,60,50,35,30,15,15
E01015081,20,15,15,15,30,35,30,30,30,45,40,50,35,25,25,15
E01015082,40,60,65,50,60,55,50,50,70,60,55,45,60,45,45,35
E01015083,30,30,40,30,50,50,45,40,55,40,55,30,35,40,35,35
