Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.055343235,0.051414183,0.045800171,0.039422394,0.045512869,0.046502218,0.051261754,0.052677044,0.067446444,0.052118534,0.056199294,0.054748844,0.061692017,0.054663294,0.051913191,0.04883624
E01015024,0.042942565,0.041855811,0.044536859,0.051260307,0.051293901,0.050707416,0.044284187,0.046389361,0.05447548,0.048103921,0.056881452,0.048103921,0.049632195,0.041592648,0.054108872,0.033147284
E01015025,0.02946734,0.027771004,0.028473488,0.025857176,0.026674175,0,0,0.028715614,0.027544482,0.044850156,0.043357101,0.028235412,0.02946734,0.028715614,0.028715614,0.028715614
E01015026,0.060532621,0.055928029,0.053481355,0.055676623,0.057022366,0.052141122,0.052682527,0.055559742,0.057696683,0.064374485,0.063585373,0.062517958,0.059948907,0.066852859,0.05826163,0.05826163
E01015027,0.020148601,0.029739566,0.033740781,0.032901202,0.016424424,0.035595135,0.024321395,0.027683916,0.045576956,0.047809447,0.03715342,0.030258036,0.03757564,0.03715342,0.043301444,0.029570667
E01015028,0.068316984,0.060286813,0.060601119,0.052622172,0.053250951,0.057187251,0.057719569,0.067625308,0.072316373,0.065627656,0.070436232,0.071385445,0.068275066,0.05846592,0.061429156,0.05846592
E01015029,0.032526143,0.046947819,0.033171821,0.036196011,0.038895397,0.037421245,0.034956768,0.043704853,0.049744656,0.056861558,0.055659322,0.052937004,0.049245964,0.048225167,0.048225167,0.036945844
E01015030,0.06471805,0.057778252,0.060918639,0.064357129,0.06181189,0.059521308,0.058341335,0.063158036,0.066508002,0.0658268,0.064264524,0.05515888,0.057379753,0.059178701,0.053847123,0.050684794
E01015031,0.021327576,0.021649389,0.023335909,0.01791538,0.021606555,0.025062877,0.011196213,0.011085935,0.023266202,0.019107111,0.021178407,0.025455637,0.018312665,0.032095752,0.023982573,0.020468627
E01015032,0.019657003,0.017382835,0.015438443,0.011513885,0.013006255,0.00699589,0.009760938,0.008301376,0.011226442,0.01075636,0.009381386,0.012170042,0.009988985,0.009895938,0.009109981,0.007292078
E01015033,0.036646136,0.036390076,0.025088733,0.040970081,0.036390076,0.035161603,0.021292033,0.020896738,0.03357472,0.031541047,0.028596216,0.026154147,0.025265667,0.025765835,0.016833834,0
E01015034,0.043507341,0.03743639,0.034013317,0.022573042,0.020269548,0.03061384,0.021427142,0.021563977,0.03743639,0.02527653,0.024541718,0.021158617,0.031541047,0.018595203,0.018595203,0.018595203
E01015035,0.026465124,0.024541718,0.020641262,0.020896738,0.030434899,0.019678909,0.019564887,0.032124816,0.042942565,0.036945844,0.028913821,0.02538888,0.029238557,0.02739261,0.034443902,0.02739261
E01015036,0.02946734,0.04603914,0.026674175,0.02546716,0.023848419,0.024190102,0.026056698,0.026056698,0.041624863,0.027544482,0.029726738,0.02921243,0.028961892,0.028715614,0.043720977,0.028715614
E01015037,0.02946734,0.04934665,0.040970081,0.027544482,0.024903705,0.047573408,0.04212232,0.03912367,0.048981531,0.053320323,0.058553201,0.052062806,0.056851411,0.052894476,0.052894476,0.052894476
E01015038,0.025660686,0.023193212,0.024018046,0.037169215,0.022573042,0.034013317,0.039131991,0.031541047,0.030978106,0.038674336,0.044584995,0.03408872,0.028132675,0.036336784,0.028913821,0.028913821
E01015039,0.021606555,0.022332248,0.01791538,0.018207366,0.015022764,0.016065963,0.012833747,0.015012686,0.015158837,0.014322252,0.01450909,0.017393916,0.018622384,0.023617444,0.020950514,0.023617444
E01015040,0.058405706,0.045800171,0.053350473,0.048839158,0.045378528,0.053412327,0.047144026,0.054748844,0.065665382,0.062560593,0.057856764,0.059843477,0.059334638,0.059178701,0.056664425,0.047119383
E01015041,0.045294268,0.035941766,0.041460901,0.045973408,0.041241747,0.036945844,0.043921629,0.050419142,0.063235425,0.065108082,0.064997972,0.065361981,0.072029984,0.071771816,0.067972184,0.058376097
E01015042,0.040810297,0.043953466,0.033970893,0.033080986,0.036344772,0.027324698,0.035328339,0.033600777,0.041024891,0.058290453,0.058172851,0.051414183,0.048755669,0.050772701,0.04645553,0.04645553
E01015043,0.057028795,0.052862755,0.057617308,0.052887159,0.049974896,0.051420956,0.055511342,0.049463218,0.056318089,0.056128518,0.057033256,0.05721393,0.056631235,0.053609287,0.045912705,0.045912705
E01015044,0.043921629,0.043067122,0.044810572,0.032576943,0.037476948,0.044750952,0.041453741,0.04900032,0.04883624,0.055682951,0.051414183,0.059093559,0.055928029,0.057187251,0.051168758,0.047576048
