Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,0.093,0.0964,0.0989,0.0941,0.0961,0.1004,0.0968,0.0967,0.1249,0.1191,0.1202,0.1246,0.1155,0.0991,0.0853,0.0667
E12000009,0.0732,0.0769,0.0782,0.0735,0.075,0.0795,0.0776,0.0791,0.1057,0.0976,0.0995,0.1051,0.0976,0.0859,0.0778,0.0619
E01015023,0.180722892,0.180412371,0.147783251,0.115740741,0.158371041,0.162037037,0.204545455,0.185185185,0.327868852,0.169491525,0.212765957,0.23255814,0.280612245,0.219512195,0.195121951,0.170731707
E01015024,0.1,0.097402597,0.118343195,0.136986301,0.152439024,0.15060241,0.117647059,0.12345679,0.145985401,0.128205128,0.170068027,0.128205128,0.132450331,0.096774194,0.161290323,0.064516129
E01015025,0.043859649,0.041322314,0.042372881,0.038461538,0.03968254,0,0,0.042735043,0.040983607,0.087719298,0.084745763,0.042016807,0.043859649,0.042735043,0.042735043,0.042735043
E01015026,0.245901639,0.211640212,0.214285714,0.236966825,0.269058296,0.25390625,0.256916996,0.273109244,0.272727273,0.325,0.320197044,0.284974093,0.243243243,0.340314136,0.235602094,0.235602094
E01015027,0.02994012,0.057803468,0.078125,0.076142132,0.024390244,0.093896714,0.047169811,0.053763441,0.121212121,0.127388535,0.086206897,0.058823529,0.087209302,0.086206897,0.114942529,0.057471264
E01015028,0.299401198,0.229885057,0.231213873,0.198019802,0.213270142,0.230769231,0.233160622,0.295857988,0.357142857,0.285714286,0.363128492,0.369318182,0.316091954,0.222222222,0.25,0.222222222
E01015029,0.063291139,0.138888889,0.087336245,0.105932203,0.124481328,0.109649123,0.092165899,0.128865979,0.161290323,0.201149425,0.210526316,0.186170213,0.159574468,0.142857143,0.142857143,0.085714286
E01015030,0.231788079,0.204678363,0.23255814,0.279329609,0.30952381,0.321888412,0.301724138,0.36036036,0.369458128,0.395348837,0.353773585,0.270833333,0.258215962,0.253807107,0.203045685,0.177664975
E01015031,0.049019608,0.056497175,0.06097561,0.04109589,0.049668874,0.06557377,0.016611296,0.016447368,0.060790274,0.043859649,0.055248619,0.073746313,0.042016807,0.109717868,0.062695925,0.047021944
E01015032,0.061601643,0.054347826,0.044326241,0.026315789,0.033726813,0.013477089,0.025252525,0.018939394,0.034883721,0.033407572,0.026795284,0.045685279,0.033269962,0.032956685,0.028248588,0.018832392
E01015033,0.071428571,0.070921986,0.037313433,0.08,0.070921986,0.068493151,0.03164557,0.031055901,0.065359477,0.061349693,0.055555556,0.050761421,0.049019608,0.05,0.025,0
E01015034,0.101351351,0.072992701,0.066225166,0.033557047,0.030120482,0.05952381,0.031847134,0.032051282,0.072992701,0.037593985,0.03649635,0.031446541,0.061349693,0.027624309,0.027624309,0.027624309
E01015035,0.039370079,0.03649635,0.030674847,0.031055901,0.059171598,0.029239766,0.029069767,0.0625,0.1,0.085714286,0.056179775,0.049261084,0.056818182,0.053191489,0.079787234,0.053191489
E01015036,0.043859649,0.09009009,0.03968254,0.037878788,0.035460993,0.035971223,0.03875969,0.03875969,0.081300813,0.040983607,0.044247788,0.043478261,0.043103448,0.042735043,0.085470085,0.042735043
E01015037,0.043859649,0.115384615,0.08,0.040983607,0.037037037,0.111111111,0.098039216,0.076335878,0.114503817,0.125,0.157480315,0.12195122,0.152671756,0.123966942,0.123966942,0.123966942
E01015038,0.038167939,0.034482759,0.035714286,0.072463768,0.033557047,0.066225166,0.090909091,0.061349693,0.060240964,0.089820359,0.131578947,0.078947368,0.054644809,0.084269663,0.056179775,0.056179775
E01015039,0.049668874,0.058309038,0.04109589,0.047393365,0.03440367,0.041753653,0.029354207,0.038986355,0.039370079,0.037174721,0.037664783,0.045248869,0.042735043,0.068306011,0.054644809,0.068306011
E01015040,0.207100592,0.147783251,0.201005025,0.182648402,0.168776371,0.226244344,0.186721992,0.23255814,0.348258706,0.314009662,0.260663507,0.270935961,0.268292683,0.253807107,0.228426396,0.152284264
E01015041,0.105633803,0.083333333,0.10989011,0.135869565,0.109289617,0.085714286,0.129533679,0.149700599,0.242424242,0.233333333,0.25,0.251572327,0.3,0.27972028,0.244755245,0.174825175
E01015042,0.108108108,0.141509434,0.099206349,0.096525097,0.106382979,0.06302521,0.103305785,0.088495575,0.108695652,0.191082803,0.220994475,0.180412371,0.144508671,0.164835165,0.137362637,0.137362637
E01015043,0.216216216,0.199004975,0.259433962,0.24691358,0.231660232,0.228215768,0.284552846,0.229007634,0.301204819,0.3,0.329457364,0.3307393,0.31496063,0.262096774,0.181451613,0.181451613
E01015044,0.129533679,0.126903553,0.132275132,0.075376884,0.099009901,0.155555556,0.12195122,0.158730159,0.170731707,0.196629213,0.180412371,0.239361702,0.211640212,0.230769231,0.179487179,0.153846154
E01015045,0.199275362,0.153846154,0.25462963,0.209424084,0.194174757,0.186046512,0.175,0.19650655,0.244444444,0.28436019,0.263157895,0.305676856,0.194805195,0.213675214,0.128205128,0.14957265
E01015046,0.34965035,0.595238095,0.428571429,0.430463576,0.355029586,0.454545455,0.366492147,0.344827586,0.43814433,0.375,0.380434783,0.425531915,0.379146919,0.308370044,0.242290749,0.198237885
E01015047,0.152671756,0.180995475,0.177865613,0.221238938,0.19379845,0.245283019,0.224719101,0.20661157,0.280172414,0.271493213,0.352112676,0.299145299,0.309917355,0.309734513,0.287610619,0.265486726
E01015048,0.44973545,0.476190476,0.508982036,0.433526012,0.461956522,0.338164251,0.251396648,0.227272727,0.291970803,0.286624204,0.297619048,0.273631841,0.255102041,0.216450216,0.194805195,0.151515152
E01015049,0.036231884,0.050505051,0.022779043,0.033936652,0.039215686,0.018867925,0.024077047,0.024469821,0.038402458,0.028288543,0.033333333,0.018337408,0.02259887,0.017667845,0.017667845,0.011778563
E01015050,0.047393365,0.046296296,0.022123894,0.035561878,0.037313433,0.026143791,0.011389522,0.021574973,0.032537961,0.036610879,0.040983607,0.028735632,0.021910605,0.017452007,0.021815009,0.013089005
E01015051,0.024232633,0.016129032,0.014771049,0.032786885,0.038819876,0.022058824,0.029717682,0.024630542,0.02593361,0.013927577,0.029190992,0.016949153,0.019516003,0.011235955,0.014981273,0.014981273
E01015052,0.048262548,0.036036036,0.055350554,0.032894737,0.049099836,0.04398827,0.020661157,0.025188917,0.029239766,0.040462428,0.039325843,0.04,0.032021958,0.032894737,0.028195489,0.018796992
E01015053,0.015673981,0.01984127,0.024319066,0.02417795,0.01934236,0.028328612,0.028462998,0.026680896,0.031545741,0.028121485,0.032467532,0.038402458,0.034482759,0.014144272,0.021216407,0.007072136
E01015054,0.015166835,0.013100437,0.007993605,0.006752194,0.012262416,0.008351893,0.014654162,0.008333333,0.013736264,0.018248175,0.015033073,0.018129079,0.009596929,0.010323469,0.006882312,0.006882312
E01015055,0.11299435,0.173410405,0.097560976,0.109289617,0.157068063,0.125,0.111731844,0.131578947,0.224719101,0.231213873,0.264705882,0.263157895,0.160427807,0.205882353,0.117647059,0.117647059
E01015056,0.15060241,0.18404908,0.177514793,0.13368984,0.12195122,0.110497238,0.142045455,0.147928994,0.120481928,0.094339623,0.15625,0.179640719,0.205479452,0.11627907,0.19379845,0.15503876
E01015057,0.2,0.171232877,0.164835165,0.231213873,0.187165775,0.170731707,0.188679245,0.194174757,0.179487179,0.25,0.234375,0.304568528,0.244565217,0.193370166,0.138121547,0.165745856
E01015058,0.208333333,0.227272727,0.282485876,0.171568627,0.180995475,0.248868778,0.183673469,0.152838428,0.16509434,0.233160622,0.221674877,0.230414747,0.184331797,0.162601626,0.182926829,0.162601626
E01015059,0.119047619,0.051546392,0.082417582,0.073529412,0.071090047,0.076923077,0.114942529,0.158227848,0.147928994,0.145348837,0.175438596,0.183246073,0.111731844,0.2,0.2,0.142857143
E01015060,0.065359477,0.122699387,0.127388535,0.086206897,0.142857143,0.192307692,0.123762376,0.108108108,0.147928994,0.148809524,0.168539326,0.18957346,0.180995475,0.154867257,0.132743363,0.088495575
E01015061,0.081300813,0.162601626,0.120967742,0.06,0.078616352,0.087108014,0.06006006,0.06097561,0.126582278,0.110410095,0.133531157,0.128571429,0.108108108,0.114795918,0.089285714,0.076530612
E01015062,0.045351474,0.048449612,0.037453184,0.037807183,0.032840722,0.026007802,0.031289111,0.025477707,0.032751092,0.031914894,0.034347399,0.026785714,0.026978417,0.02374169,0.028490028,0.033238367
E01015063,0.161290323,0.147783251,0.163551402,0.096153846,0.120192308,0.12755102,0.105263158,0.104712042,0.157232704,0.191082803,0.189873418,0.208333333,0.163398693,0.155279503,0.124223602,0.124223602
E01015064,0.040650407,0.037878788,0,0,0.031847134,0,0.031446541,0,0.070921986,0.072992701,0.040322581,0.076335878,0,0.037313433,0.074626866,0.074626866
E01015065,0.041322314,0.0390625,0.0390625,0.043103448,0,0,0.070921986,0.069444444,0.108695652,0.115384615,0.112781955,0.078125,0.078125,0.153846154,0.115384615,0.076923077
E01015066,0.028089888,0,0.025125628,0.024509804,0.048543689,0.024630542,0.071770335,0.054347826,0.094936709,0.088235294,0.098684211,0.132450331,0.070921986,0.076335878,0.076335878,0.038167939
E01015067,0.04,0.069444444,0.038167939,0.072463768,0.097402597,0.062893082,0.090361446,0.068027211,0.164473684,0.107913669,0.099337748,0.097402597,0.128205128,0.03030303,0.060606061,0.060606061
E01015068,0.033333333,0.089820359,0.061728395,0.054054054,0.028248588,0.059171598,0.057471264,0.05952381,0.125,0.121212121,0.114942529,0.081967213,0.116959064,0.089820359,0.089820359,0.02994012
