Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.067107427,0.061458471,0.056417303,0.050360544,0.054939854,0.056043611,0.059409605,0.062832716,0.073128906,0.063541362,0.065489097,0.062281555,0.068460801,0.06296437,0.060956422,0.058630247
E01015024,0.059567885,0.058156819,0.058498055,0.066621751,0.064313772,0.063638895,0.058188906,0.060756156,0.070435501,0.062832768,0.070665261,0.062832768,0.064672854,0.057814338,0.067531432,0.050929623
E01015025,0.055529004,0.052476756,0.053742884,0.049012035,0.050493841,0.026955082,0.027977178,0.054178581,0.052067838,0.067686495,0.065585025,0.053314123,0.055529004,0.054178581,0.054178581,0.054178581
E01015026,0.068957003,0.065204923,0.061735775,0.063225706,0.06327535,0.057937147,0.058475657,0.061308509,0.06393441,0.069653706,0.068929026,0.069255503,0.068369356,0.071898048,0.066660186,0.066660186
E01015027,0.038544248,0.045928307,0.047456535,0.046333193,0.031607628,0.04739201,0.037864366,0.042884996,0.059767714,0.062477029,0.051991292,0.046692756,0.052548834,0.051991292,0.056983888,0.045679005
E01015028,0.075593394,0.069725544,0.07004769,0.061712386,0.061495453,0.065563848,0.066107817,0.074942425,0.077455398,0.073044517,0.075051979,0.075867993,0.074668516,0.067848983,0.069855874,0.067848983
E01015029,0.050022081,0.059276439,0.044324362,0.046465112,0.048433435,0.04794948,0.046586265,0.055463893,0.06088571,0.067332175,0.064923063,0.063114677,0.060324593,0.060765598,0.060765598,0.051716903
E01015030,0.075544754,0.06830652,0.070372597,0.071824009,0.067283402,0.064122963,0.063490333,0.066942835,0.070381696,0.068754725,0.068418429,0.060916816,0.064243159,0.066747065,0.063012778,0.060661369
E01015031,0.030542805,0.029411925,0.031627764,0.025780443,0.030930041,0.033885098,0.021726084,0.021515847,0.031536401,0.027449193,0.028791127,0.033194667,0.026337401,0.03956048,0.032474408,0.029348514
E01015032,0.025173373,0.022330835,0.020414986,0.016717084,0.017882412,0.011167719,0.013479493,0.012106108,0.014542332,0.013942105,0.012506948,0.014970329,0.012698631,0.012581884,0.011833831,0.010103457
E01015033,0.056007726,0.055638053,0.047614566,0.062203103,0.055638053,0.0538602,0.040656938,0.039927467,0.051553089,0.048579042,0.044238063,0.040607412,0.039279594,0.040027538,0.032374351,0.01827534
E01015034,0.060299139,0.057146646,0.052191939,0.043014314,0.038768098,0.047216634,0.040906047,0.041158224,0.057146646,0.047956422,0.046617579,0.040410841,0.048579042,0.035661236,0.035661236,0.035661236
E01015035,0.050115069,0.046617579,0.039455506,0.039927467,0.046953239,0.037674087,0.037462645,0.049434739,0.059567885,0.051716903,0.044708201,0.039463953,0.045188406,0.04245213,0.048394966,0.04245213
E01015036,0.055529004,0.069352319,0.050493841,0.048303214,0.045351342,0.045975758,0.049374288,0.049374288,0.06313351,0.052067838,0.055994191,0.055071463,0.054621382,0.054178581,0.066098165,0.054178581
E01015037,0.055529004,0.067776244,0.062203103,0.052067838,0.047277541,0.065521818,0.058503343,0.059568439,0.067313208,0.07277641,0.075204697,0.071201834,0.073223621,0.072244005,0.072244005,0.072244005
E01015038,0.048655048,0.044151971,0.045661419,0.056761923,0.043014314,0.052191939,0.054597287,0.048579042,0.047752357,0.053996025,0.056503101,0.047921184,0.043551054,0.050910725,0.044708201,0.044708201
E01015039,0.030930041,0.030310451,0.025780443,0.024855046,0.021705726,0.02199685,0.018599425,0.020584534,0.020780758,0.019656439,0.01990777,0.023771395,0.026771149,0.030878061,0.02849043,0.030878061
E01015040,0.068971037,0.056417303,0.06248642,0.057651042,0.053877626,0.060913408,0.055030738,0.062281555,0.070216294,0.067980941,0.064715188,0.066666651,0.066169095,0.066747065,0.065028114,0.05791938
E01015041,0.062603459,0.050387001,0.05471589,0.058135664,0.054444873,0.051716903,0.055720155,0.063306611,0.072726819,0.075944098,0.074498068,0.074861702,0.080121234,0.081137932,0.078851297,0.072339848
E01015042,0.053910725,0.054301898,0.043753708,0.0426637,0.046645664,0.038795505,0.045410212,0.044869139,0.054176497,0.07032392,0.067545338,0.061458471,0.061381964,0.062038915,0.058700616,0.058700616
E01015043,0.06635577,0.061968361,0.064478399,0.059174801,0.056229115,0.058238627,0.060786923,0.055706856,0.061122919,0.060943067,0.061005285,0.06117151,0.061011932,0.059393509,0.053705813,0.053705813
E01015044,0.055720155,0.054708836,0.05676891,0.045898529,0.04975736,0.054086893,0.05279092,0.06004779,0.058630247,0.066073394,0.061458471,0.06750485,0.065204923,0.065563848,0.061190538,0.058437568
