Area,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,10,11,13,15,14,13,13
E01015024,9,9,8,9,10,10,9
E01015025,8,9,9,10,7,7,7
E01015026,14,15,17,12,10,10,11
E01015027,8,7,9,12,15,12,11
E01015028,12,15,14,12,12,14,16
E01015029,7,8,9,10,9,8,8
E01015030,13,15,14,20,25,24,20
E01015031,10,11,12,12,10,10,12
E01015032,12,13,14,15,13,15,15
E01015033,10,9,7,6,6,6,7
E01015034,5,7,8,10,9,8,9
E01015035,9,10,8,6,5,7,9
E01015036,11,12,11,8,7,8,8
E01015037,7,8,9,9,8,8,9
E01015038,8,8,9,10,13,13,12
E01015039,17,20,20,19,19,20,17
E01015040,11,13,12,12,11,9,9
E01015041,6,8,7,7,6,7,10
E01015042,8,9,7,8,10,10,8
E01015043,15,16,19,17,14,12,14
E01015044,11,13,14,12,13,14,14
E01015045,15,15,12,11,11,11,11
E01015046,31,28,28,26,31,33,35
E01015047,14,14,13,11,12,11,13
E01015048,13,13,14,15,16,14,12
E01015049,6,6,7,7,8,8,8
E01015050,10,11,10,7,6,6,7
E01015051,6,8,9,8,7,5,7
E01015052,11,13,14,13,10,9,9
E01015053,8,9,9,8,7,6,10
E01015054,18,15,14,16,17,18,21
E01015055,8,8,10,11,11,10,9
E01015056,9,9,9,9,10,11,11
E01015057,10,12,11,11,10,10,11
E01015058,11,13,12,9,7,8,11
E01015059,10,10,7,6,8,11,12
E01015060,8,11,11,12,10,11,10
E01015061,10,9,8,6,5,6,7
E01015062,7,8,10,11,14,14,20
E01015063,5,6,8,8,9,9,9
E01015064,9,8,9,11,13,12,10
E01015065,7,7,8,7,6,5,5
E01015066,6,4,5,6,6,6,7
E01015067,5,7,9,10,11,11,10
E01015068,7,7,7,6,6,6,6
E01015069,8,9,11,12,12,12,10
E01015070,12,13,14,14,13,11,11
E01015071,7,8,10,10,12,11,12
E01015072,7,9,11,12,10,10,9
E01015073,10,12,9,10,9,10,9
E01015074,11,17,18,16,13,11,12
E01015075,8,9,12,11,9,8,9
E01015076,8,8,9,8,7,7,8
E01015077,14,17,18,18,15,10,10
E01015078,16,16,14,11,10,13,16
E01015079,7,7,6,7,6,6,6
E01015080,10,8,6,7,7,7,5
E01015081,10,11,13,14,12,14,12
E01015082,12,12,13,14,14,13,14
E01015083,18,21,23,17,17,16,16
E01015084,6,8,8,8,8,11,13
E01015085,9,9,9,7,7,6,7
E01015086,7,10,12,12,13,12,13
E01015087,11,14,13,10,8,10,11
E01015088,12,13,10,10,8,7,8
E01015089,13,14,13,11,10,10,10
E01015090,6,7,8,6,6,7,8
E01015091,8,8,11,9,12,11,9
E01015092,7,10,9,10,9,11,11
E01015093,13,15,13,10,8,8,9
E01015094,7,7,8,7,7,7,6
E01015095,11,14,15,14,11,10,8
E01015096,7,7,7,9,8,9,7
E01015097,9,10,12,15,16,15,10
E01015098,7,6,6,6,5,6,6
E01015099,8,10,10,8,6,4,5
E01015100,8,7,7,7,5,6,7
E01015101,7,8,10,10,10,7,8
E01015102,16,17,14,14,13,12,10
E01015103,7,7,5,5,6,6,8
E01015104,5,8,9,9,7,6,6
E01015105,6,7,6,7,6,6,6
E01015106,6,5,5,5,5,6,7
E01015107,10,10,8,8,7,7,6
E01015108,10,10,9,7,6,5,6
E01015109,6,9,10,9,7,5,5
E01015110,5,5,7,7,8,7,8
E01015111,4,6,8,7,6,7,10
E01015112,9,9,9,12,13,14,10
E01015113,10,11,11,11,10,8,6
E01015114,7,7,6,4,5,5,6
E01015115,8,9,10,11,11,11,10
E01015116,8,9,9,7,7,6,7
E01015117,4,5,6,7,6,6,6
E01015118,10,9,8,6,5,5,7
E01015119,7,7,8,6,7,10,11
E01015120,8,10,13,13,11,10,8
E01015121,8,10,9,6,5,5,6
E01015122,7,6,6,5,6,6,7
E01015123,10,12,14,12,11,11,10
E01015124,9,8,9,8,7,7,7
E01015125,8,8,8,6,5,5,6
E01015126,6,7,8,9,10,10,9
E01015127,8,10,11,13,10,10,10
E01015128,10,9,8,7,7,6,7
E01015129,7,8,9,9,8,7,6
E01015130,9,10,11,10,9,10,11
E01015131,6,6,8,9,9,6,6
E01015132,6,7,9,11,12,11,9
E01015133,8,9,9,7,8,8,8
E01015134,8,7,8,6,7,7,8
E01015135,9,7,7,7,8,6,6
E01015136,6,6,7,6,7,7,8
E01015137,11,10,9,8,9,9,9
E01015138,13,10,8,7,9,9,8
E01015139,8,9,7,7,6,6,6
E01015140,8,7,7,9,11,10,8
E01015141,8,8,10,10,10,10,9
E01015142,5,6,6,7,7,6,6
E01015143,8,10,11,10,9,9,9
