Area,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,206.4969212,224.9444193,244.9289782,255.4576715,252.6941371,227.4118026,225.0897892
E01015024,225.1987951,204.4878855,208.9848992,194.4963162,199.2906957,199.6926972,194.6531924
E01015025,160.6875231,201.5817462,208.7522403,201.4291705,170.0268539,144.5205412,131.8294487
E01015026,278.8414727,283.9835811,289.0325116,237.5158766,220.4573037,209.6254681,225.3905665
E01015027,197.597496,181.5784453,205.5054386,223.9028822,235.0523835,208.7981892,194.2886507
E01015028,291.8456678,319.8968817,295.4547575,292.288657,275.2102852,282.4029461,303.4397399
E01015029,179.3458131,191.5989573,206.4514986,218.9643739,206.5139617,189.5661592,174.8059931
E01015030,269.3563171,290.6597358,268.6856688,305.8417185,331.5558867,335.8474611,314.318228
E01015031,242.6247976,264.9899534,266.3923282,265.6523193,237.6118445,238.8141658,287.1228435
E01015032,259.4787721,301.2150154,321.2533485,353.6046912,279.8300355,335.3306529,370.3590153
E01015033,199.9320289,185.2659487,184.2745215,156.4391191,156.8954762,142.3628632,153.4382892
E01015034,159.8016814,172.8918966,197.521459,206.9739451,219.7473762,195.1136926,250.0109929
E01015035,198.9708971,201.9871832,182.6139455,163.7452854,154.7757182,166.5935402,180.8782285
E01015036,231.9585967,250.0797375,243.6395082,205.6850132,164.166465,186.6919386,167.8026005
E01015037,220.9181673,203.2679802,218.2112368,211.9877626,196.0726188,177.445585,194.2983761
E01015038,173.151016,179.6368283,180.041833,198.6549734,216.6233972,212.6846069,191.5581213
E01015039,213.7767392,212.0714476,205.8721262,195.9731693,197.1392544,211.7603195,218.920815
E01015040,246.966339,273.9931312,264.1992656,267.0526167,248.3137503,228.504855,243.6265427
E01015041,200.3233334,227.6322266,202.1771393,218.9875996,194.6021795,203.9450913,249.0722303
E01015042,241.1370024,243.51703,226.1603646,205.3397023,229.7599601,225.3200131,222.3357242
E01015043,303.5910328,314.1479496,334.4306386,344.8617011,310.1936687,267.9317278,278.1761919
E01015044,250.9998058,248.5354802,260.8260013,249.2128887,251.4304256,259.063805,272.6101682
E01015045,338.876397,319.3494126,283.4038918,263.2422928,259.7496131,264.9955781,247.2631976
E01015046,337.4015801,307.7554979,300.2935125,308.2382804,357.631527,392.1154595,393.1149557
E01015047,352.9548053,307.179144,278.9118994,248.1609724,242.1677544,219.0670869,236.6430524
E01015048,391.6476011,398.9531188,353.8466341,351.6395375,326.3959896,289.927645,225.0328424
E01015049,184.4759837,185.6145607,177.3823639,181.1155025,230.8355131,240.3191901,293.6167124
E01015050,276.9438216,256.6478977,272.3368381,221.5255451,212.6990581,227.9545706,265.4076175
E01015051,224.3510443,269.3324635,319.737956,273.195879,207.9168544,161.0681189,262.930642
E01015052,235.3888864,303.3149842,318.9213315,316.9966684,278.8646723,242.0716131,297.0047972
E01015053,273.0184423,383.9476083,330.3884523,325.9816933,241.9633896,243.8999312,441.0579764
E01015054,535.6742403,728.5804072,516.0614935,627.8017468,609.7066062,710.8763157,712.9933848
E01015055,200.3997143,217.289485,231.7315645,241.3724754,248.9292187,231.084173,227.5255793
E01015056,182.8671818,170.2303798,174.078228,184.0495674,191.7825121,189.6228539,207.819152
E01015057,240.5482699,254.6002489,231.7205682,231.0984827,218.9306477,224.3912383,230.481092
E01015058,279.660439,306.9208783,296.5728705,249.2679588,208.3291172,226.53508,266.0870462
E01015059,241.397977,228.4996764,197.0067909,178.650122,193.2401799,215.1786724,220.9153838
E01015060,213.7980832,248.5921796,243.2769279,261.4495078,249.6889776,250.1409442,234.3141409
E01015061,260.6265566,242.9002298,218.615016,198.3581423,190.7169577,209.8466709,203.8573637
E01015062,236.2184865,217.6555475,239.7326261,246.2013588,319.6382973,346.3429229,501.7107799
E01015063,168.9401238,184.5500573,210.4881093,208.1007159,215.5914882,229.3465659,233.6925968
E01015064,152.80731,146.48385,160.4200723,193.5374883,210.3621253,188.4333395,159.0873048
E01015065,170.4134258,144.4724568,178.3333789,179.3495695,184.6833245,152.2198223,141.7647661
E01015066,158.5675261,145.1556118,155.7215631,160.7833506,178.1180959,169.9505602,186.7677571
E01015067,131.0902458,151.6359952,149.7480347,147.1149166,153.1915715,151.9812694,152.1647021
E01015068,173.6276669,181.3547037,175.9147379,173.4540439,165.2282481,150.3301088,143.654731
E01015069,192.8809097,213.3092445,226.5520881,229.5838565,245.0702655,242.095724,218.504211
E01015070,151.4711023,162.0955428,158.8892713,154.8188841,149.4555556,143.123918,136.1388666
E01015071,170.1179596,169.811248,216.4684772,225.484682,260.8321061,210.3025095,224.9451154
