Area,2008-2010,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,587.6348108,664.2652833,778.8962464,866.8048797,845.8146941,723.7482802,717.0024513
E01015024,613.0610501,528.4937296,522.1357429,508.5137138,546.3291127,553.1843068,514.0339651
E01015025,392.0659869,543.2468705,559.030979,553.9101984,404.5675806,345.8476654,311.3633205
E01015026,922.976746,970.7602007,1044.406075,730.0120985,630.2795906,573.7640968,665.4834164
E01015027,491.6219789,426.25418,556.9878904,692.3314763,806.9781897,638.5564045,564.9361569
E01015028,875.7345027,1105.312713,973.9277606,912.0299684,827.9630093,918.4099135,1075.387651
E01015029,432.4906822,475.8951107,556.1710168,598.3877062,546.0675267,483.2291537,431.7319534
E01015030,866.0062722,992.5852339,903.7187484,1207.988481,1456.358776,1450.117376,1246.842648
E01015031,675.4116261,787.294527,813.4454474,802.4196432,673.0205598,680.0377762,893.9567565
E01015032,779.5117817,955.1254429,1056.849007,1214.070559,889.1973218,1148.961441,1272.633562
E01015033,555.6573075,478.0961746,432.5832009,342.4649934,332.5636255,311.3962629,350.6252114
E01015034,327.9552079,389.5254812,478.023748,564.7322935,582.1401734,487.0726567,646.3988025
E01015035,528.9546066,558.5906182,452.7160191,353.4591662,301.9398554,385.495428,475.065138
E01015036,688.0385175,773.4835917,712.1327047,523.0249097,375.7010108,465.6594754,418.1326875
E01015037,520.8039866,517.6065509,589.0097566,576.2851335,504.3693084,433.3329082,521.4560121
E01015038,421.6439107,440.404019,464.769197,552.2662071,699.4401383,684.1456251,575.6342783
E01015039,786.664498,838.0415676,818.2090232,764.6174878,760.5698649,831.4243003,803.2675872
E01015040,707.4158675,859.2401871,800.8715892,834.254363,713.3034571,605.9009768,640.8346989
E01015041,430.8431384,558.795851,473.2624263,506.8578032,431.2981336,473.5297127,693.0103494
E01015042,614.8993069,628.3817118,531.0353132,525.7081618,642.171864,622.5865411,569.5601568
E01015043,1025.962611,1121.533287,1298.936582,1271.96042,1028.946944,815.2860399,919.4611226
E01015044,745.8392525,780.0238621,848.1345819,772.1645942,788.5880744,852.1983341,901.4929198
E01015045,1152.453487,1086.901169,878.1024616,764.0184563,773.8842846,773.1369541,727.0057532
E01015046,1649.348316,1442.431647,1413.033856,1393.721342,1750.238533,1993.173155,2064.690513
E01015047,1186.746453,998.1242972,876.8620419,741.7388909,742.2559444,649.7611077,752.1199818
E01015048,1256.168409,1282.510846,1162.448299,1194.781367,1148.443583,955.4450316,679.8229007
E01015049,390.2309416,388.7370397,404.126141,434.7006212,586.032731,583.4055975,727.7474658
E01015050,789.4998627,739.9137519,767.9906396,518.92315,464.1051078,509.4830269,637.8755609
E01015051,499.2031079,673.1909253,853.7567279,667.1609481,475.8253906,331.6760079,606.4926978
E01015052,674.8945884,966.1814867,1053.005971,1012.479546,794.9757436,630.3643687,802.267024
E01015053,663.9571877,1032.295027,875.5677583,793.9795241,550.2911418,517.88049,1222.430604
E01015054,1981.777904,2507.144614,1718.704249,2185.376613,2191.035644,2678.032833,2915.401615
E01015055,487.783556,559.386317,633.9398413,709.3651751,717.7732359,635.8958503,596.5658076
E01015056,495.5428836,453.9639271,448.9353854,494.2180629,530.4601022,544.1068622,614.9750417
E01015057,680.7849001,768.2678422,678.5319637,681.0108696,599.7535286,635.6771291,687.3876436
E01015058,821.8889745,967.7099135,906.4880401,677.9886489,475.9387774,581.4675262,769.1661749
E01015059,669.9617949,624.2281714,464.3252839,395.2084034,488.5028593,633.0514051,667.0032641
E01015060,538.376851,714.4410941,697.9523668,800.355636,698.5701332,727.2267708,638.88329
E01015061,731.1082227,656.5881807,539.8959403,418.6190288,389.0966313,459.8796558,493.1380183
E01015062,570.7848639,535.9180858,683.857412,736.2032745,1057.261535,1135.187188,1960.506969
E01015063,334.2725042,411.6124066,512.5643014,526.283896,558.4920502,619.9510168,626.7283287
E01015064,399.1366148,371.5096058,422.5238642,561.2773388,677.3554536,582.7351963,442.7880753
E01015065,402.7750819,333.7381984,447.5939935,414.5080273,414.2738681,304.5743366,289.8578087
E01015066,333.8608565,265.4784804,319.2853166,335.0294825,385.1280393,354.66187,421.4346667
E01015067,266.3580937,347.2831883,391.7421955,410.9759925,458.8803296,440.2143027,415.8369942
E01015068,395.9684651,434.4872629,412.1776549,383.9177286,350.6317815,313.810613,300.4128481
E01015069,483.004942,569.5732997,670.8077005,694.0658721,757.4737412,727.3954697,615.5770952
E01015070,456.1095382,520.4040402,527.9441696,513.0227129,472.4600028,422.0796201,399.0093103
E01015071,390.7986942,422.8716865,593.3477849,634.4087768,804.1015389,604.5890101,699.0487292
