Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,13,14,17,49,20,113
E01015024,11,11,13,51,18,104
E01015025,8,8,12,48,38,114
E01015026,12,18,13,41,16,100
E01015027,12,10,16,59,21,118
E01015028,10,15,14,41,14,94
E01015029,12,20,22,46,16,116
E01015030,13,15,13,45,17,103
E01015031,22,14,11,32,16,95
E01015032,68,13,12,21,6,120
E01015033,11,5,14,53,22,105
E01015034,12,6,15,42,26,101
E01015035,11,9,15,51,20,106
E01015036,8,9,15,45,25,102
E01015037,7,12,15,46,22,102
E01015038,10,12,18,57,21,118
E01015039,10,13,13,27,10,73
E01015040,11,13,15,44,14,97
E01015041,11,16,16,44,11,98
E01015042,11,18,16,39,11,95
E01015043,16,16,14,35,9,90
E01015044,13,13,14,42,12,94
E01015045,14,18,12,38,11,93
E01015046,13,17,16,40,18,104
E01015047,15,19,18,53,16,121
E01015048,21,25,18,39,10,113
E01015049,45,11,11,22,9,98
E01015050,84,15,8,11,7,125
E01015051,87,6,6,16,10,125
E01015052,65,14,14,26,9,128
E01015053,46,11,6,20,5,88
E01015054,107,7,6,14,4,138
E01015055,12,11,16,47,16,102
E01015056,11,16,12,53,21,113
E01015057,15,15,18,38,15,101
E01015058,18,14,17,46,13,108
E01015059,10,14,21,43,14,102
E01015060,17,11,16,41,17,102
E01015061,24,14,16,30,10,94
E01015062,73,14,11,25,8,131
E01015063,11,15,11,44,17,98
E01015064,10,5,11,59,30,115
E01015065,8,10,12,37,25,92
E01015066,7,8,14,46,22,97
E01015067,8,5,11,51,32,107
E01015068,11,13,16,47,21,108
E01015069,14,12,16,43,20,105
E01015070,16,22,29,78,23,168
E01015071,9,9,16,46,25,105
E01015072,12,12,12,48,15,99
E01015073,8,12,12,52,17,101
E01015074,8,13,13,44,22,100
E01015075,14,10,13,46,20,103
E01015076,10,10,15,46,15,96
E01015077,14,18,19,62,26,139
E01015078,12,15,17,46,15,105
E01015079,11,11,17,49,24,112
E01015080,5,8,9,18,6,46
E01015081,11,12,15,46,19,103
E01015082,13,10,12,53,22,110
E01015083,14,9,15,46,20,104
E01015084,10,6,15,48,21,100
E01015085,10,9,13,50,28,110
E01015086,9,11,12,40,23,95
E01015087,17,8,20,44,12,101
E01015088,19,17,15,37,12,100
E01015089,10,13,14,45,27,109
E01015090,7,8,13,48,20,96
E01015091,10,5,10,61,28,114
E01015092,36,17,17,40,17,127
E01015093,4,7,15,52,21,99
E01015094,10,9,11,42,21,93
E01015095,8,9,11,41,30,99
E01015096,9,8,18,46,22,103
E01015097,10,6,12,68,51,147
E01015098,13,14,20,44,15,106
E01015099,12,14,20,43,14,103
E01015100,16,15,16,42,11,100
E01015101,7,5,12,54,29,107
E01015102,13,17,21,42,17,110
E01015103,11,12,18,46,12,99
E01015104,10,7,18,46,17,98
E01015105,9,11,19,48,15,102
E01015106,8,10,11,40,17,86
E01015107,13,14,14,49,12,102
E01015108,11,21,17,47,21,117
E01015109,12,11,13,53,15,104
E01015110,10,6,17,53,18,104
E01015111,12,18,18,44,15,107
E01015112,11,11,17,45,18,102
E01015113,9,9,14,48,24,104
E01015114,7,7,15,47,24,100
E01015115,5,7,10,47,29,98
E01015116,8,11,12,45,22,98
E01015117,10,10,16,53,21,110
E01015118,10,9,20,49,25,113
E01015119,11,12,19,48,18,108
E01015120,11,8,16,52,24,111
E01015121,10,5,15,43,33,106
E01015122,10,9,14,43,26,102
E01015123,9,7,12,52,41,121
E01015124,7,9,12,48,29,105
E01015125,9,8,15,48,27,107
E01015126,8,6,11,39,37,101
E01015127,10,7,12,42,31,102
E01015128,11,8,12,51,34,116
E01015129,11,13,19,45,14,102
E01015130,12,13,15,50,16,106
E01015131,7,4,12,46,39,108
E01015132,8,7,14,49,28,106
E01015133,9,5,11,49,34,108
E01015134,10,10,13,46,25,104
E01015135,14,13,17,51,23,118
E01015136,10,6,12,47,22,97
E01015137,11,10,17,58,22,118
E01015138,9,6,19,56,33,123
E01015139,8,7,11,42,24,92
E01015140,5,11,9,33,32,90
E01015141,9,6,16,60,34,125
E01015142,9,11,11,50,16,97
E01015143,8,11,11,41,21,92
E01015144,12,12,18,43,14,99
E01015145,21,28,19,38,3,109
E01015146,17,18,25,46,10,116
E01015147,7,7,11,36,20,81
E01015148,10,13,15,47,18,103
E01015149,13,11,11,45,17,97
E01015150,9,8,11,44,23,95
E01015151,31,15,17,37,9,109
E01015152,24,17,19,40,15,115
E01015153,16,15,15,42,15,103
E01015155,22,16,15,41,9,103
E01015156,36,11,8,37,12,104
E01015157,12,26,20,61,23,142
E01015158,23,24,17,60,35,159
E01015159,9,9,12,54,31,115
