Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,14,4,2,26,38,217
E01015024,14,4,0,21,25,202
E01015025,22,11,3,17,17,214
E01015026,12,4,1,19,57,208
E01015027,13,6,1,22,30,217
E01015028,7,6,1,20,39,173
E01015029,10,6,1,22,36,186
E01015030,11,4,1,25,37,206
E01015031,8,4,3,34,49,191
E01015032,3,2,1,127,60,290
E01015033,13,6,2,25,13,205
E01015034,14,7,3,16,14,164
E01015035,14,5,1,21,35,195
E01015036,14,9,4,14,17,176
E01015037,13,8,1,15,26,162
E01015038,12,6,2,27,33,226
E01015039,7,3,0,65,130,345
E01015040,10,3,0,11,19,152
E01015041,6,3,1,10,34,175
E01015042,7,3,0,21,40,181
E01015043,5,2,0,25,46,184
E01015044,8,3,1,22,56,213
E01015045,7,3,1,25,52,204
E01015046,11,6,1,26,46,237
E01015047,12,3,1,27,38,201
E01015048,8,1,0,32,54,231
E01015049,5,3,0,111,33,219
E01015050,3,3,1,140,44,247
E01015051,7,2,1,150,23,236
E01015052,5,3,1,124,46,258
E01015053,2,3,0,78,20,179
E01015054,3,1,0,147,14,212
E01015055,11,4,1,19,23,179
E01015056,12,7,2,14,37,213
E01015057,8,4,2,17,29,174
E01015058,9,3,1,27,35,170
E01015059,10,3,1,26,41,201
E01015060,13,3,1,22,39,186
E01015061,6,3,1,39,37,170
E01015062,5,3,0,128,43,263
E01015063,11,6,1,16,42,174
E01015064,17,12,2,18,20,222
E01015065,15,9,2,14,18,156
E01015066,17,4,1,16,25,185
E01015067,21,9,2,22,14,204
E01015068,14,6,1,22,30,199
E01015069,12,6,1,24,36,187
E01015070,17,5,1,31,62,323
E01015071,16,7,2,16,20,187
E01015072,9,5,1,24,35,187
E01015073,11,6,1,18,35,198
E01015074,15,6,1,24,33,193
E01015075,11,7,1,5,15,134
E01015076,9,5,1,15,30,188
E01015077,16,7,3,19,40,224
E01015078,9,6,1,21,36,183
E01015079,14,7,2,17,29,199
E01015080,5,1,0,20,15,91
E01015081,11,6,1,24,28,178
E01015082,13,5,1,24,43,211
E01015083,12,6,2,20,35,211
E01015084,14,6,1,20,24,180
E01015085,17,10,1,14,32,194
E01015086,16,5,2,16,30,161
E01015087,8,3,1,34,36,190
E01015088,9,3,0,23,33,159
E01015089,18,6,2,19,38,209
E01015090,14,3,1,15,21,181
E01015091,19,5,2,18,23,213
E01015092,9,3,1,47,33,188
E01015093,15,4,1,13,23,186
E01015094,13,4,1,16,25,165
E01015095,25,5,1,15,25,181
E01015096,16,5,1,21,21,171
E01015097,35,13,2,16,22,276
E01015098,10,5,1,24,38,198
E01015099,10,3,1,21,41,179
E01015100,8,3,1,32,38,192
E01015101,16,9,5,13,14,194
E01015102,11,5,1,17,50,234
E01015103,8,3,1,18,36,194
E01015104,11,5,1,19,21,193
E01015105,9,5,2,18,31,188
E01015106,12,4,1,17,24,166
E01015107,9,3,0,21,34,182
E01015108,12,6,1,20,48,210
E01015109,10,3,1,21,38,200
E01015110,14,4,0,21,28,221
E01015111,11,2,1,18,47,192
E01015112,9,7,2,13,30,184
E01015113,16,8,1,18,22,192
E01015114,15,7,2,18,24,192
E01015115,14,11,3,20,26,169
E01015116,15,5,1,21,22,191
E01015117,15,3,1,17,30,191
E01015118,16,8,2,17,22,196
E01015119,12,4,0,25,29,202
E01015120,17,5,2,17,17,201
E01015121,20,12,1,14,13,178
E01015122,16,8,2,24,28,203
E01015123,21,12,7,14,23,223
E01015124,17,10,3,16,22,200
E01015125,19,7,1,20,23,196
E01015126,20,13,3,10,13,171
E01015127,19,8,2,18,21,191
E01015128,23,10,2,17,26,206
E01015129,9,4,1,14,31,162
E01015130,12,3,0,24,25,192
E01015131,25,10,3,14,7,195
E01015132,18,10,2,20,20,186
E01015133,22,12,1,18,17,195
E01015134,12,10,3,17,26,170
E01015135,15,5,2,26,25,202
E01015136,12,8,2,19,22,179
E01015137,16,4,1,19,25,195
E01015138,22,7,1,13,14,221
E01015139,16,6,2,18,22,180
E01015140,18,11,3,12,25,171
E01015141,23,10,1,15,20,222
E01015142,10,5,1,18,31,191
E01015143,14,6,1,14,24,174
E01015144,8,4,1,22,40,190
E01015145,2,1,0,11,47,147
E01015146,8,2,0,26,40,201
E01015147,12,7,2,11,21,159
E01015148,11,5,1,27,38,188
E01015149,11,6,1,25,28,174
E01015150,14,8,1,15,26,199
E01015151,5,3,0,81,50,250
E01015152,11,4,1,48,54,254
E01015153,7,6,1,40,40,234
E01015155,5,4,0,34,62,259
E01015156,8,4,0,66,53,256
E01015157,13,6,2,37,103,375
E01015158,21,11,2,54,84,331
E01015159,16,14,1,16,26,198
