Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,38,49,48,132,54,321
E01015024,31,37,37,142,56,303
E01015025,22,26,28,132,113,321
E01015026,30,76,40,114,46,306
E01015027,33,42,38,150,73,336
E01015028,26,54,34,102,45,261
E01015029,34,60,50,107,53,304
E01015030,36,53,41,127,54,311
E01015031,57,65,36,93,42,293
E01015032,188,84,38,74,32,416
E01015033,34,20,39,143,70,306
E01015034,29,21,33,111,77,271
E01015035,31,44,39,125,59,298
E01015036,20,24,41,116,75,276
E01015037,21,39,35,110,61,266
E01015038,34,41,46,146,66,333
E01015039,64,138,75,91,32,400
E01015040,20,30,36,120,40,246
E01015041,19,46,45,118,43,271
E01015042,31,61,47,108,32,279
E01015043,39,65,38,101,29,272
E01015044,33,74,42,113,50,312
E01015045,38,68,44,115,31,296
E01015046,41,65,49,138,63,356
E01015047,42,56,42,135,55,330
E01015048,52,79,61,120,38,350
E01015049,168,46,28,62,27,331
E01015050,242,62,22,43,26,395
E01015051,237,34,16,47,32,366
E01015052,193,64,41,71,25,394
E01015053,126,34,29,59,27,275
E01015054,246,21,18,42,19,346
E01015055,32,34,44,120,51,281
E01015056,26,54,36,144,68,328
E01015057,32,45,46,107,49,279
E01015058,44,49,44,104,42,283
E01015059,34,59,44,131,38,306
E01015060,38,48,43,104,54,287
E01015061,68,55,45,73,33,274
E01015062,200,67,38,67,27,399
E01015063,25,59,33,104,51,272
E01015064,27,23,37,142,104,333
E01015065,19,28,28,97,75,247
E01015066,22,33,41,119,65,280
E01015067,28,18,28,131,101,306
E01015068,31,44,46,116,69,306
E01015069,39,46,44,112,49,290
E01015070,45,86,81,200,77,489
E01015071,24,31,39,126,70,290
E01015072,33,49,38,128,44,292
E01015073,25,48,36,140,51,300
E01015074,30,46,37,113,65,291
E01015075,18,26,32,109,53,238
E01015076,24,43,38,124,53,282
E01015077,34,66,58,155,69,382
E01015078,32,53,43,117,49,294
E01015079,30,40,46,135,74,325
E01015080,26,24,22,48,15,135
E01015081,33,42,39,117,55,286
E01015082,38,52,36,135,64,325
E01015083,33,48,46,128,64,319
E01015084,27,29,38,116,68,278
E01015085,24,41,36,125,76,302
E01015086,25,43,31,95,63,257
E01015087,49,46,44,111,39,289
E01015088,40,54,41,92,37,264
E01015089,29,51,37,118,82,317
E01015090,22,29,33,122,71,277
E01015091,26,29,28,142,97,322
E01015092,88,51,42,88,51,320
E01015093,17,29,47,121,67,281
E01015094,26,33,29,105,64,257
E01015095,21,32,37,94,94,278
E01015096,30,29,39,106,68,272
E01015097,26,28,32,180,164,430
E01015098,37,51,60,112,49,309
E01015099,32,56,49,111,37,285
E01015100,45,50,44,115,33,287
E01015101,20,22,37,143,84,306
E01015102,29,69,60,131,57,346
E01015103,27,49,49,131,37,293
E01015104,28,30,42,135,59,294
E01015105,25,46,56,125,43,295
E01015106,24,35,31,103,59,252
E01015107,34,52,43,116,39,284
E01015108,31,65,48,120,59,323
E01015109,31,43,38,136,51,299
E01015110,32,34,46,144,66,322
E01015111,31,63,49,122,35,300
E01015112,23,43,47,117,58,288
E01015113,27,30,40,124,75,296
E01015114,23,32,39,132,65,291
E01015115,23,37,26,111,72,269
E01015116,27,35,33,120,73,288
E01015117,26,37,41,134,64,302
E01015118,26,34,53,125,72,310
E01015119,35,44,54,126,55,314
E01015120,27,28,41,134,80,310
E01015121,26,18,38,111,92,285
E01015122,33,38,37,116,78,302
E01015123,24,27,36,139,122,348
E01015124,21,34,40,117,90,302
E01015125,27,32,43,117,82,301
E01015126,19,18,28,104,106,275
E01015127,25,31,31,109,93,289
E01015128,29,35,31,134,95,324
E01015129,26,41,45,108,39,259
E01015130,36,40,43,128,52,299
E01015131,20,11,28,122,118,299
E01015132,27,27,31,123,79,287
E01015133,26,21,32,129,91,299
E01015134,27,37,34,110,65,273
E01015135,38,45,47,128,73,331
E01015136,28,30,29,130,63,280
E01015137,30,36,45,145,68,324
E01015138,24,21,51,163,101,360
E01015139,25,27,30,114,73,269
E01015140,16,38,26,86,93,259
E01015141,24,22,43,148,109,346
E01015142,23,41,29,137,52,282
E01015143,21,34,29,113,67,264
E01015144,36,53,49,112,41,291
E01015145,33,63,44,95,14,249
E01015146,43,62,58,124,36,323
E01015147,17,28,33,94,67,239
E01015148,35,51,39,114,47,286
E01015149,36,42,33,111,51,273
E01015150,23,34,33,138,68,296
E01015151,99,71,47,100,33,350
E01015152,71,73,56,122,58,380
E01015153,53,59,53,127,53,345
E01015155,58,78,49,127,48,360
E01015156,100,64,36,106,52,358
E01015157,48,127,70,192,85,522
E01015158,75,114,54,161,101,505
E01015159,26,34,30,142,84,316
