Area,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Home,Community Hospital,Outside Devon,Total
E92000001,,,,,,,,
E12000009,,,,,,,,
E01015023,1,0,0,120,5,0,2,128
E01015024,0,0,0,99,3,0,0,102
E01015025,0,0,0,47,3,0,0,50
E01015026,0,0,0,180,9,0,1,190
E01015027,0,0,0,97,4,0,0,101
E01015028,0,0,0,166,7,0,1,174
E01015029,0,0,0,201,7,0,6,214
E01015030,0,0,0,158,5,0,3,166
E01015031,0,0,0,99,3,0,0,102
E01015032,2,0,0,83,2,0,1,88
E01015033,0,0,0,65,2,0,0,67
E01015034,0,0,0,49,1,0,1,51
E01015035,0,0,0,103,7,0,1,111
E01015036,0,0,0,73,7,0,0,80
E01015037,1,0,0,72,4,0,0,77
E01015038,0,0,0,104,3,0,3,110
E01015039,1,0,0,106,5,0,1,113
E01015040,0,0,0,150,5,0,1,156
E01015041,0,0,0,162,8,0,2,172
E01015042,0,0,0,155,6,0,1,162
E01015043,0,0,0,185,3,0,0,188
E01015044,2,0,1,115,5,0,2,125
E01015045,0,0,0,198,3,0,2,203
E01015046,0,0,0,190,8,0,4,202
E01015047,0,0,0,206,5,0,2,213
E01015048,1,0,0,193,4,0,2,200
E01015049,0,0,0,82,1,0,1,84
E01015050,0,0,0,73,1,0,0,74
E01015051,0,0,0,49,1,0,0,50
E01015052,1,0,0,94,4,0,0,99
E01015053,0,0,0,69,3,0,2,74
E01015054,0,0,0,45,0,0,0,45
E01015055,0,0,0,114,4,0,1,119
E01015056,0,0,0,125,3,1,0,129
E01015057,0,0,0,159,5,0,0,164
E01015058,1,0,0,135,3,0,1,140
E01015059,1,0,0,118,5,0,0,124
E01015060,0,0,0,99,1,0,4,104
E01015061,0,0,0,131,7,0,0,138
E01015062,0,0,0,80,3,0,2,85
E01015063,0,0,0,147,3,0,2,152
E01015064,0,0,0,45,0,0,0,45
E01015065,0,0,0,107,9,0,1,117
E01015066,0,0,1,72,2,0,0,75
E01015067,0,0,0,48,2,0,0,50
E01015068,0,0,0,112,1,0,0,113
E01015069,0,0,0,128,4,0,3,135
E01015070,0,0,2,234,2,0,4,242
E01015071,0,0,0,116,6,0,1,123
E01015072,0,0,0,132,4,0,2,138
E01015073,0,0,1,122,4,0,0,127
E01015074,0,0,0,108,3,0,0,111
E01015075,0,0,0,117,3,0,2,122
E01015076,0,0,0,110,2,0,2,114
E01015077,0,0,0,132,2,0,2,136
E01015078,0,0,0,109,10,0,1,120
E01015079,0,0,0,91,2,0,1,94
E01015080,0,0,0,80,3,0,2,85
E01015081,0,0,0,122,4,0,0,126
E01015082,0,0,0,115,2,0,0,117
E01015083,2,0,0,132,1,0,1,136
E01015084,0,0,0,90,5,0,0,95
E01015085,0,0,0,92,2,0,0,94
E01015086,0,0,0,118,2,0,0,120
E01015087,0,0,0,124,5,0,1,130
E01015088,0,0,0,197,8,0,1,206
E01015089,0,0,0,141,5,0,2,148
E01015090,0,0,0,85,2,0,1,88
E01015091,0,0,0,73,4,0,0,77
E01015092,0,0,1,86,1,0,0,88
E01015093,0,0,0,84,3,0,0,87
E01015094,0,0,0,106,6,0,0,112
E01015095,0,0,0,105,2,0,1,108
E01015096,0,0,0,64,1,0,0,65
E01015097,0,0,1,60,6,0,0,67
E01015098,0,0,0,100,6,0,3,109
E01015099,2,0,0,115,5,0,1,123
E01015100,0,0,0,102,3,0,0,105
E01015101,0,0,0,63,4,0,0,67
E01015102,0,1,0,133,6,0,0,140
E01015103,1,0,0,134,5,0,1,141
E01015104,0,0,0,85,4,0,0,89
E01015105,0,0,0,139,2,0,0,141
E01015106,0,0,0,84,2,0,0,86
E01015107,1,0,0,146,9,0,0,156
E01015108,0,0,1,210,14,0,5,230
E01015109,2,0,0,90,1,0,1,94
E01015110,0,0,0,98,4,0,1,103
E01015111,0,0,0,170,7,0,1,178
E01015112,0,0,0,114,11,0,1,126
E01015113,0,0,0,73,4,0,2,79
E01015114,0,0,0,78,2,0,1,81
E01015115,0,0,0,78,2,0,1,81
E01015116,0,0,0,90,5,0,0,95
E01015117,0,0,1,87,3,0,0,91
E01015118,0,0,0,89,3,0,1,93
E01015119,0,0,0,118,1,0,2,121
E01015120,0,0,0,65,4,0,0,69
E01015121,0,0,0,49,3,0,1,53
E01015122,0,0,1,73,0,0,2,76
E01015123,0,0,0,80,6,0,1,87
E01015124,0,0,0,70,1,0,0,71
E01015125,0,0,0,80,2,0,2,84
E01015126,0,0,0,38,3,0,0,41
E01015127,0,0,0,63,7,0,0,70
E01015128,2,0,0,86,1,0,1,90
E01015129,1,0,0,141,3,0,1,146
E01015130,0,0,0,167,8,0,2,177
