Area,2004-2008,2005-2009,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
E92000001,,,,,,,,,
E12000009,,,,,,,,,
E01015023,11.77585146,11.87365154,11.86736337,11.76414626,11.24155403,11.37261572,11.4769415,11.32430075,10.9180654
E01015024,11.31278545,10.51793299,10.53693823,11.13313782,11.5743543,11.02492619,11.69429866,11.46391281,11.39883469
E01015025,11.8274036,12.31500573,12.53294083,12.92158948,12.56137869,12.26643962,12.17614975,12.31793977,12.15212333
E01015026,12.4945351,12.74351117,13.35551013,13.49964606,13.52062516,13.65574377,13.69351512,13.22486378,13.27808765
E01015027,9.756812761,10.08875546,10.27510077,10.90597712,10.79649995,11.02312673,11.8303139,11.97291593,11.39883469
E01015028,13.97970438,14.66860139,14.57667603,14.57537944,14.28494303,14.21491514,13.93508312,14.0326415,13.76358502
E01015029,11.51102697,11.48893327,11.28294919,11.44503113,11.37346967,11.21511477,11.16047581,11.46498692,11.37560314
E01015030,12.90017895,13.12519519,13.99581361,14.65434647,14.71150319,14.95451612,14.96322814,14.17718085,13.59543673
E01015031,9.005404483,8.844143018,8.955318856,9.261105824,9.024892408,9.127933487,8.763399222,8.399586101,8.214083026
E01015032,5.507534865,5.53865168,5.726643061,5.736476305,5.39697959,5.330137007,5.083043302,4.655081547,4.602276015
E01015033,9.725302573,10.36900802,10.43959442,10.58416004,11.08561579,11.28263656,11.30078214,11.58203702,11.67256968
E01015034,11.12092463,10.88686055,10.70934215,10.82163045,10.63765635,10.17386097,9.892466172,9.437661223,9.07976567
E01015035,10.44507255,10.61223503,10.72716373,11.25326089,11.17713272,11.44297911,11.83260085,12.01823643,12.06172199
E01015036,12.95553516,13.18378708,13.72958316,13.60358326,12.96950259,12.69068052,12.58932083,11.27352936,11.18205762
E01015037,9.798160641,10.41885016,10.61194181,11.82667697,12.66500729,12.15022234,12.46868435,11.93156231,11.83782943
E01015038,10.67737933,10.55896946,10.89065076,10.84841415,10.67590001,10.97438828,10.6906049,10.89168382,11.13637128
E01015039,8.579757244,8.348347641,8.370015176,8.659844024,8.779686303,9.591467714,9.547348416,10.25315284,11.08245816
E01015040,11.78852376,11.74305288,12.36304443,12.73261078,13.33161006,13.4807009,13.75242138,13.40707648,12.97069451
E01015041,11.5339163,12.27712637,12.44169363,12.56213257,12.78823329,12.99341871,12.9187955,12.86374119,13.04653427
E01015042,10.59895944,11.09953564,12.05912481,12.20153061,12.34913851,12.65318416,12.28391683,11.99607143,11.49914168
E01015043,10.92003586,11.33145094,11.9273023,12.10739158,12.70014775,12.76555009,12.80529701,12.75433653,12.94275684
E01015044,11.19017283,11.1206794,11.24297883,11.24956308,11.77437365,11.72752752,11.90736238,11.65908962,11.60090568
E01015045,14.03821654,14.13281092,14.45379227,14.58911354,14.23000534,13.6927846,13.39886731,12.66670327,12.06819673
E01015046,14.09950907,13.70494268,13.34214716,13.28096608,12.59303883,12.41643711,12.42731863,12.19967909,11.92859835
E01015047,11.76850856,11.74861437,11.88078075,12.02793745,12.22194789,12.35711724,12.75431109,12.66355685,12.62109374
E01015048,14.995583,15.1447302,16.25647072,15.89909222,15.777988,14.62930459,14.10798225,12.95347628,11.97743771
E01015049,6.058608177,6.384477572,6.293690846,6.314092025,6.33106557,6.329057716,5.812275547,5.974139158,5.821531606
E01015050,5.931152865,5.971165153,5.938950089,5.592858498,5.384097445,4.73751788,4.281850508,4.087280318,3.657144131
E01015051,5.774942971,5.026329102,4.477682253,3.94954547,3.271945608,3.241477172,2.894764608,3.287275581,3.26874486
E01015052,5.572843802,5.627379619,5.395288104,5.506288841,5.431713091,5.14969,4.697424144,4.830766153,4.583548063
E01015053,4.346795101,4.53207416,4.986201437,5.23502825,5.703367529,5.748384811,6.110118758,6.100046902,5.981893351
E01015054,2.507747795,2.272843221,2.325190763,2.461161349,2.508506708,2.34054633,2.426430984,2.300585846,2.299802464
E01015055,11.94091786,12.07163914,12.44007022,12.35434956,12.06973754,11.69032029,12.40826258,12.44007022,12.37906838
E01015056,11.49891918,12.61183627,13.11352637,12.95365098,13.27146062,13.53322926,12.74746077,12.60649366,12.4700042
E01015057,11.92425398,12.10702086,12.16929106,12.38520819,12.60174257,11.80777877,11.90643155,11.96983742,11.63512012
E01015058,11.52929358,11.15834925,11.33549862,11.23647689,11.51341014,11.70947766,11.7324068,11.5842005,11.30362078
E01015059,11.07351146,11.44460472,11.31342346,11.35799765,10.93505631,11.46451734,10.92687331,10.95537005,10.92426521
E01015060,11.6485732,11.56101459,11.42522397,11.16437263,10.5475963,9.963351025,9.588362207,9.290237103,9.479940372
