Area,2004-2008,2005-2009,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
E92000001,61.034125,62.672625,64.20871875,64.00390625,65.54,65.54,65.54,65.54,
E12000009,58.0261875,59.5839375,61.04432813,60.84960938,62.31,62.31,62.31,62.31,
E01015023,66.41366224,66.66666667,65.35947712,63.81578947,59.35483871,61.94690265,65.28370958,65.56408742,61.73558532
E01015024,59.74025974,51.49934811,50.95962938,56.2248996,60.17579446,54.03556772,60.48109966,57.59888966,55.9094126
E01015025,44.37869822,47.66633565,49,51.51515152,48.1557377,44.58598726,43.75667022,44.7761194,44.16403785
E01015026,85.68269762,89.14728682,97.36989368,97.89413773,97.18228867,98.78682842,99.07300116,91.49184149,91.28386337
E01015027,48.85226604,50.54811206,50.28644176,54.41274054,51.91256831,53.36105336,60.52076003,61.61473088,55.9094126
E01015028,94.42332066,103.2713278,101.2903226,101.607717,97.23116549,96.73286355,93.7896071,95.11731135,90.67688378
E01015029,92.36773634,90.18567639,85.82923558,87.79828906,86.08971454,81.86864015,80.05617978,84.00188768,81.41762452
E01015030,76.31055076,79.01726428,88.94878706,97.49492214,97.89259007,99.58506224,100.3436426,92.18436874,85.31746032
E01015031,44.75982533,43.94426581,46.04918891,50.20491803,48.41149773,50.19880716,46.02301151,41.45342886,38.80440482
E01015032,25.04537205,26.8616117,30.03875969,30.4,27.24968314,26.90863579,24.48210923,20.84629745,20.89642641
E01015033,39.64757709,44.12864622,43.71165644,43.95604396,46.84975767,47.69736842,47.38154613,48.98648649,48.96907216
E01015034,47.00162075,45.99524187,44.10585405,44.1898527,42.65791632,38.87510339,36.63613655,33.80049464,31.75895765
E01015035,51.44694534,52.2875817,53.18450427,58.78510777,57.74278215,59.80066445,63.87225549,65.23201076,63.80027739
E01015036,65.67630962,68.0218921,73.6677116,71.42857143,63.81260097,60.45751634,58.77483444,47.65817584,46.875
E01015037,37.42038217,41.76706827,42.55319149,51.2605042,58.3262891,53.91743892,56.99916178,53.32239541,54.05405405
E01015038,56.60377358,56.25374028,59.84440455,58.42970177,56,58.82352941,55.17241379,56.54383736,58.78594249
E01015039,42.10526316,40.45643154,41.79254783,44.74610357,45.86693548,52.54860746,50.48859935,54.58768873,60.02475248
E01015040,71.59624413,69.85074627,75.50644567,78.46829881,84.24437299,85.54763448,88.65710561,84.41558442,78.3801437
E01015041,70.28571429,79.95431182,81.06543138,82.46225319,85.18086348,88.37209302,86.08490566,84.81613286,86.67065152
E01015042,60.43648573,64.79357798,75.35046729,77.14786674,78.99356349,82.19988173,78.27102804,75.23148148,68.64456079
E01015043,69.05503634,74.11273486,80.85106383,82.11777418,89.10891089,88.46584546,88.18541549,87.25212465,89.45868946
E01015044,64.47831184,63.7799883,64.20927467,63.06852638,67.33167082,66.74984404,68.42435656,66.04361371,64.47534766
E01015045,81.10119048,88.1332408,98.10333551,105.8823529,107.3708648,101.971831,98.26912339,88.86450905,79.93384785
E01015046,95.2685422,96.17682198,98.676957,102.5775907,94.97206704,91.78990311,91.09624292,84.92569002,78.97603486
E01015047,72.62247839,74.46808511,77.55775578,79.38257993,83.19738989,87.141339,94.66527197,94.7476828,96.22166247
E01015048,90.35222052,86.53061224,94.45407279,89.72125436,96.07686149,92.07708779,98.19763828,95.6707643,91.34157945
E01015049,24.98884427,29.27645337,29.0507365,29.91623454,30.9358082,31.47516117,26.62609357,27.92654935,26.48752399
E01015050,27.90346908,29.67465141,31.16621984,28.56215514,26.88,21.51543499,18.33483619,17.36111111,14.64897734
E01015051,22.78820375,19.26163724,16.97976879,14.51666117,10.95890411,11.39276559,9.568069984,12.19842776,12.12938005
E01015052,25.86206897,28.26737612,27.24105163,29.3129771,29.34202727,26.97998259,22.60869565,23.81643915,21.51162791
E01015053,17.42847747,18.4936113,21.70168791,22.96376032,25.40415704,25.04970179,27.03826955,25.78671329,24.66960352
E01015054,8.497932935,7.507507508,8.069522036,9.029345372,9.299442033,8.027038445,8.32238283,7.399103139,7.29427855
E01015055,64.47280054,65.86021505,68.94197952,67.44666208,64.18219462,60.1243953,68.08803301,68.94197952,68.25938567
E01015056,62.33933162,73.90451275,78.61425716,75.30529172,78.242965,81.56271419,73.07171854,72.89595759,71.75773535
E01015057,71.85628743,75.65982405,78.37528604,82.67716535,86.44729504,76.24309392,77.17934481,78.15964523,73.72505543
E01015058,68.54130053,64.28988895,65.92113008,64.17112299,66.98564593,68.7575392,70.37256062,70.31700288,68.28442438
E01015059,67.39726027,71.38904261,68.06579694,67.77713957,61.54747948,67.56756757,61.21247793,61.95207481,61.77156177
E01015060,65.36769327,65.4725139,63.77708978,61.38735421,57.05882353,51.90311419,49.09706546,46.47256439,48.26038159
E01015061,63.98809524,65.40697674,61.89555126,65.70743405,55.55555556,55.50239234,53.00520587,53.69759774,54.92424242
E01015062,26.00554785,26.69668704,24.71018914,24.44771723,22.42152466,20.52389954,19.50162514,19.67213115,18.58431265
E01015063,65.98062954,69.72477064,72.77289837,79.21419518,81.63265306,85.80645161,80.62418726,84.80104371,77.58053912
E01015064,40.79933389,34.71634208,37.35881842,38.66906475,38.10408922,37.60848602,36.8159204,37.22334004,37.75510204
E01015065,70.59629883,68.62745098,73.08248915,67.37320212,71.65605096,83.19604613,88.33333333,81.01265823,82.69394714
E01015066,41.38357011,46.43765903,46.14370468,48.13559322,47.88732394,51.86267348,50.87319666,50.19607843,55.55555556
E01015067,34.00735294,35.05535055,36.39846743,40.43392505,43.03278689,46.70912951,49.55947137,51.28205128,45.81901489
E01015068,56.04203152,62.27758007,59.67450271,59.91352687,56.81818182,63.74758532,63.43042071,63.6777128,65.32988357
E01015069,58.28779599,62.34866828,64.06345333,65.12477176,70.4138357,74.67330429,73.26236694,71.56308851,70.10834927
E01015070,58.96043445,66.46862235,71.32564841,75.53829862,79.0486184,77.11267606,73.00569801,71.14624506,68.57352402
E01015071,56.59075224,55.17241379,56.40668524,67.51954513,66.76238335,72.3155588,80.47690015,78.60922147,68.56702619
E01015072,60.77015644,65.82125604,68.94447834,72.17125382,72.61538462,74.39553627,70.66246057,73.60406091,68.87589344
E01015073,65.43837357,66.92913386,71.23287671,79.51289398,75.84683358,78.38660578,82.22396241,83.46456693,74.6624305
E01015074,57.32044199,59.86394558,58.94448252,59.02539465,62.75862069,60.90651558,67.48025844,71.42857143,78.15924032
E01015075,56.44171779,54.15384615,62.10790464,65.46854942,68.27048114,66.75657451,73.50901526,68.55123675,73.46647646
E01015076,56.23003195,50.25773196,55.23066927,59.43827564,64.81481481,62.20419202,63.23024055,67.6056338,67.00288184
E01015077,56.78851175,61.90172304,67.47294717,68.45809341,70.18673535,73.92996109,70.49608355,72.38095238,69.31886679
E01015078,75.29411765,78.55877141,80.45977011,72.35142119,62.02090592,58.01305294,68.14814815,71.9002201,79.18088737
E01015079,75.53107789,80,73.58953393,70.95709571,70.59800664,67.76859504,57.77054516,62.2537431,67.62917933
E01015080,83.47529813,83.38092519,79.11576498,77.47747748,76.52733119,69.85032074,62.75468623,63.08851224,61.15879828
E01015081,57.85123967,58.93657912,58.10983397,55.62659847,60.03873467,63.5538262,68.51971558,71.19529719,69.12442396
E01015082,78.53071564,76.67103539,74.04891304,70.39337474,69.42496494,70.62146893,71.27734651,69.25795053,73.1884058
E01015083,66.98564593,69.34058464,69.84785615,74.28170988,79.57746479,80.79376329,81.27208481,85.0174216,80.80110497
E01015084,57.52561072,65.93406593,68.50393701,71.87993681,75.27733756,66.29834254,59.66587112,62.0467365,56.8369028
E01015085,57.88712012,62.68221574,61.34515891,59.42773294,63.32842415,58.7797619,58.91238671,57.88271135,63.38028169
E01015086,51.59332322,58.14843152,64.69212783,73.7254902,91.99048374,93.00411523,88.77721943,83.33333333,79.72858355
E01015087,71.50655022,72.91666667,78.34359261,69.16099773,70.68965517,71.17647059,67.4556213,62.75902901,68.63905325
E01015088,67.51054852,69.25498426,73.36108221,78.19782496,80.26929052,84.4997408,88.86618999,85.97285068,84.61921354
E01015089,62.2134905,63.76262626,69.96904025,75.20198881,82.02880401,87.25674827,80.94327597,78.06451613,80.6557377
E01015090,43.8718663,40.1459854,45.84304584,51.63934426,57.04407952,63.67713004,68.99724011,69.02985075,58.76777251
E01015091,49.05660377,47.84313725,60.48387097,59.80066445,55.64924115,52.76816609,57.16798593,46.53284672,43.76784015
E01015092,30.57090239,27.63448784,27.7673546,31.50211295,33.05455994,30.80664775,30.14469453,29.29532858,32.20799379
E01015093,60.88992974,58.77616747,61.24161074,61.95462478,63.06306306,65.55863343,67.28971963,69.81132075,69.29740135
E01015094,48.99777283,57.09992487,57.72113943,62.4535316,66.86478455,70.84265474,71.48231753,72.79693487,67.51389992
E01015095,62.24406224,63.7945319,68.35443038,72.64957265,75.85004359,76.65505226,76.52173913,75.52083333,76.9903762
E01015096,56.95746215,55.10653931,51.68539326,50.95057034,46.74329502,41.28440367,40.36557502,42.65041889,41.69825625
E01015097,46.66666667,44.03244496,41.66666667,51.21638924,57.6184379,65.75682382,65.16587678,71.27192982,61.98347107
