Area,2004-2008,2005-2009,2006-2010,2007-2011,2008-2012,2009-2013,2010-2014,2011-2015,2012-2016
E92000001,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,
E12000009,0.48,0.48,0.48,0.48,0.48,0.48,0.48,0.48,
E01015023,13.41531044,13.53445219,13.56684756,13.48169052,12.94448633,13.02964471,13.06205006,12.85702711,12.44371188
E01015024,13.0252781,12.27370968,12.32237525,12.91508735,13.35666722,12.85675692,13.50508702,13.30605475,13.28622897
E01015025,14.55545465,15.03835185,15.26605314,15.66459145,15.36943311,15.20614785,15.13856021,15.26894624,15.0667205
E01015026,13.85644753,14.09565942,14.69347819,14.858881,14.89664814,15.0324362,15.07321319,14.6402722,14.70945846
E01015027,11.35008971,11.73114746,11.9941604,12.68048116,12.63576486,12.88270503,13.68496023,13.83438789,13.28622897
E01015028,15.50889036,16.18125242,16.10616987,16.0986232,15.82774904,15.75170903,15.46678594,15.56005357,15.31966418
E01015029,12.55827632,12.56276906,12.3810568,12.54560797,12.48594019,12.3632506,12.3280976,12.63038056,12.56628821
E01015030,14.57869023,14.79329217,15.64640207,16.27647248,16.33864003,16.60283314,16.59795984,15.79961384,15.23025358
E01015031,10.49671464,10.31090218,10.37925293,10.64000027,10.38807858,10.46509925,10.12374311,9.808229862,9.66806985
E01015032,6.545332102,6.504746754,6.635719853,6.636117294,6.295218696,6.217773686,5.979531153,5.553031609,5.47572396
E01015033,11.76959749,12.42758761,12.55363667,12.74758384,13.29626594,13.52906629,13.57385321,13.88259627,14.01354811
E01015034,13.33799628,13.06128805,12.91967846,13.07760516,12.90855037,12.48745413,12.23619937,11.77619437,11.40259308
E01015035,12.17696716,12.36913116,12.48822843,12.98016442,12.91669805,13.1956765,13.56962895,13.7682037,13.87374961
E01015036,14.99273102,15.20882024,15.73039136,15.64183836,15.08537423,14.84964897,14.78686939,13.51830798,13.43334834
E01015037,12.03222721,12.64666106,12.87778073,14.10185898,14.91243235,14.41557758,14.70456171,14.13975455,13.97228115
E01015038,12.2936596,12.14914908,12.46645023,12.45723637,12.31287731,12.60991521,12.36238705,12.58024088,12.82515682
E01015039,10.0266851,9.780020955,9.75436368,10.03160767,10.15102791,10.99806348,11.00887716,11.80202394,12.71199395
E01015040,13.28820349,13.2758152,13.91729978,14.31056591,14.92498971,15.08128347,15.34969746,15.01548309,14.61383623
E01015041,12.99846633,13.70544401,13.88603783,14.00558058,14.2284731,14.41687888,14.37115569,14.32958154,14.51691369
E01015042,12.06877049,12.58968449,13.5375914,13.67414896,13.81661135,14.12443116,13.75147433,13.4611028,12.99666878
E01015043,12.253116,12.6546327,13.25335862,13.45016222,14.04339271,14.13542459,14.18949815,14.14503881,14.33358393
E01015044,12.71521872,12.64569181,12.79116103,12.83375402,13.38622735,13.34277652,13.52603219,13.27517901,13.24736667
E01015045,15.90050976,15.83691932,16.01756237,16.03865528,15.58230295,15.02381358,14.73069031,14.00705902,13.44633979
E01015046,15.6391753,15.13881022,14.65548763,14.52081313,13.81350819,13.65204373,13.67673566,13.50923615,13.29332576
E01015047,13.23720745,13.1681697,13.26416159,13.40801008,13.56988369,13.66068433,14.01259574,13.90191258,13.82770352
E01015048,16.8676601,17.16232847,18.35636159,18.03635006,17.7077379,16.36494462,15.59267541,14.23632094,13.13055439
E01015049,7.33975821,7.569293565,7.453068726,7.441145165,7.420086346,7.39511668,6.895902119,7.060159472,6.915751991
E01015050,7.001402646,6.980102326,6.879886685,6.510058569,6.292316105,5.635676915,5.155426893,4.930226575,4.468928045
E01015051,7.066265528,6.19615008,5.536364406,4.922750354,4.180841716,4.088938735,3.713897551,4.09031893,4.067356204
E01015052,6.597264706,6.568283587,6.293259075,6.366566439,6.266290406,5.971507934,5.528573013,5.660777688,5.41981046
E01015053,5.307061066,5.511049715,5.979736638,6.266869697,6.803961325,6.887159324,7.295772113,7.351459255,7.247528071
E01015054,3.196499062,2.918290488,2.945428715,3.073367525,3.124359305,2.974208442,3.083010878,2.976431737,2.987593197
E01015055,13.69186653,13.81762776,14.20007952,14.13587019,13.8711238,13.51293695,14.18564211,14.20007952,14.1421302
E01015056,13.18239821,14.27599834,14.78898073,14.67469253,14.99988755,15.24467029,14.47355494,14.29736353,14.15443911
E01015057,13.45389684,13.59047804,13.60584175,13.78184359,13.9732781,13.20198746,13.30438353,13.36197188,13.04296044
E01015058,13.03789275,12.67959538,12.86135783,12.78387444,13.06011322,13.26246758,13.2484598,13.06147485,12.75704801
E01015059,12.48729696,12.8583849,12.77518102,12.83956952,12.47141754,12.98133462,12.47096519,12.48561138,12.45067564
E01015060,13.28188821,13.16523443,13.04038392,12.77514143,12.10704357,11.51184605,11.11397711,10.81389262,11.00009753
E01015061,11.57966611,11.53946943,11.26303239,11.49884447,10.70523133,10.69534717,10.42698012,10.45758629,10.58781193
E01015062,6.484733358,6.291541958,5.909775931,5.769768951,5.407208808,5.098265643,4.995151843,5.038274204,4.91695084
E01015063,13.06351746,13.44067004,13.8695066,14.43965581,14.66855982,15.06309743,14.74707208,15.08029058,14.60428296
E01015064,12.7832259,12.08752226,12.63555957,13.06675772,13.2355597,13.44713209,13.57503915,13.72127729,13.91201462
E01015065,14.37106339,14.37228587,15.01234743,14.88388423,15.68929962,16.97675761,17.49905047,17.0187179,17.25496737
E01015066,10.876647,11.59925042,11.79917143,12.19606659,12.42918635,13.1080191,13.28680541,13.45418803,14.34599682
E01015067,12.56455405,12.74535256,13.22107446,14.02182477,14.69248954,15.49118422,16.19586459,16.53149167,16.05357244
E01015068,11.96661951,12.61343346,12.50072751,12.68935159,12.56190968,13.31883516,13.32886233,13.37868083,13.48767448
E01015069,12.42812204,12.76007084,12.96022105,13.03158391,13.56747973,13.95603661,13.8937037,13.77871277,13.7754337
E01015070,9.798842592,10.0739592,10.21368713,10.35254473,10.50204193,10.42952072,10.25232006,10.18912509,10.14023044
E01015071,13.1692489,13.02690509,13.21688508,14.39245019,14.40446066,15.02492399,15.86361588,15.835413,15.13573084
E01015072,12.58332711,13.03329991,13.36056318,13.63348447,13.71346413,13.90660987,13.74439641,14.02039846,13.81916532
E01015073,13.36570817,13.72970051,14.41871287,15.45229292,15.3871408,15.8759746,16.4387392,16.58765213,15.93235906
E01015074,13.24414696,13.37267058,13.3422911,13.3598988,13.73837495,13.76870687,14.46776882,14.84923973,15.50815404
E01015075,12.33246362,12.14219078,12.99003961,13.44279273,13.7738286,13.92029344,14.70448158,14.43752627,14.92741447
E01015076,12.59070241,12.07202109,12.61271556,13.03970961,13.60753987,13.54076023,13.75490746,14.32790167,14.45407596
E01015077,12.7910282,13.09357453,13.54996979,13.66915337,13.85863308,14.21269714,13.98671719,13.92883396,13.30283156
E01015078,13.58483069,13.8552327,14.17321338,14.05757263,13.74962934,13.67205738,14.777128,15.02553846,15.02837499
E01015079,15.92466148,16.44773206,16.09208954,15.93493015,15.95999739,15.65462673,14.54394907,14.73206834,14.93791993
E01015080,13.90779664,13.94386393,13.78207959,13.90076661,14.35021585,14.6167205,15.05675857,16.34264951,17.35679573
E01015081,12.70464247,12.85676281,12.7592884,12.53880667,13.01067942,13.35372523,13.7508714,14.04861016,13.93840334
E01015082,14.38357136,14.50817623,14.58470271,14.4078955,14.45159169,14.60902333,14.65879466,14.49836561,15.0330646
E01015083,14.04346168,14.20213284,14.3781885,14.85158073,15.31536622,15.46323663,15.47664175,15.64307502,15.24882672
E01015084,14.26387372,15.04901109,15.31173115,15.64125958,15.96467668,15.12851488,14.55470292,14.89390026,14.54612462
E01015085,13.64350968,14.15363241,14.13666193,13.8971284,14.29347903,13.94194294,14.07053712,14.033518,14.78282705
E01015086,13.35812076,14.09546114,14.87509924,15.74213043,17.31413463,17.74266727,17.58182925,17.18910685,16.95661215
E01015087,12.77221182,12.90659385,13.44316065,12.85624888,13.06979231,13.27275161,13.02223143,12.64168155,13.11648033
E01015088,12.24114461,12.3371072,12.57995237,12.88554142,13.0257708,13.31225935,13.48311525,13.18986058,13.03404854
E01015089,13.30732814,13.17746876,13.5501687,13.98719759,14.55324638,14.94470659,14.61279112,14.49284173,14.81713714
E01015090,11.91296278,11.79132509,12.89550605,13.9493897,14.96145909,15.96773571,16.72649085,16.85830151,15.9401347
E01015091,13.04577746,13.19206461,14.74622637,14.91883017,14.60930347,14.50185005,15.1203731,14.19822968,14.1833386
E01015092,7.186808843,6.883711401,6.967860789,7.450952529,7.758359884,7.602264406,7.496865832,7.344044417,7.563753241
E01015093,14.52383942,14.56184024,15.14774827,15.5537485,15.94485404,16.41878343,16.70317259,17.04020282,17.17830755
E01015094,12.92049586,13.85090636,13.89532609,14.28734122,14.68645584,15.06800695,15.19768657,15.46383756,15.29395063
E01015095,15.04731313,15.29567414,15.8905249,16.40145772,16.87144477,16.93519532,16.90724008,16.80189306,17.00548804
E01015096,13.52595124,13.48318812,13.27322982,13.30632685,12.89832888,12.24190591,12.10348891,12.37987479,12.23438748
E01015097,15.89242025,15.90720614,16.07409582,17.87575076,18.72298297,19.3754841,18.8149452,18.67126482,17.08479715
E01015098,12.68547074,12.83463854,12.67839885,12.53474908,12.34334227,12.24915339,12.16779823,11.62861988,11.64161346
E01015099,9.797059538,9.949363135,10.51919339,10.54911997,10.82421109,11.2546449,11.26051259,11.27740686,11.81926307
E01015100,11.0845651,10.7052254,10.4394023,10.56379771,10.68961222,10.80704974,10.87625689,10.70749592,10.1721493
E01015101,15.09636884,14.48614579,14.77061698,14.44084367,14.19610894,14.2864966,14.7484485,14.62751309,15.110498
E01015102,11.98935968,12.40222903,12.38654258,12.12023141,11.71755969,11.96884346,11.74792172,11.82517558,12.01255721
E01015103,11.31562079,11.43326647,11.78357006,12.0470156,12.47126399,12.90814992,13.12018573,13.56242791,13.58518529
E01015104,11.23027989,11.14357832,11.92276693,12.32613215,12.52616062,13.00444183,13.08392146,12.78799055,12.86819285
E01015105,11.93764221,12.18657437,12.31282618,12.88485251,13.53416353,14.2056231,14.3326922,14.49012672,13.87207685
E01015106,14.44544287,13.18578745,13.48146224,12.98529096,13.76352177,13.79866995,15.74307241,15.87661858,16.59771101
E01015107,11.28833935,11.5074959,11.99128736,12.25998444,12.59125854,13.15669237,13.42245685,13.47512085,13.61600884
E01015108,12.6705187,12.65405202,12.55185812,12.65230301,13.13674765,13.29732332,13.47210665,13.62961671,13.68529065
E01015109,11.29007322,11.70435222,11.76911498,12.12386328,12.23016953,12.43823807,12.43955675,13.08525958,13.23807501
E01015110,11.39018766,11.12649357,11.91773338,12.82350691,13.73264395,13.80623825,14.42466507,14.15452313,13.84232733
E01015111,11.83312166,11.39045511,11.50853521,11.72421691,11.7914085,11.92867052,12.46229649,12.29411762,12.24288669
E01015112,13.76888271,13.73172833,14.20458074,13.74099816,13.09871191,13.90790929,14.39083845,14.08741151,14.124925
E01015113,13.69752643,13.81351567,14.73451937,14.80240681,14.30886593,14.05044804,14.38651825,13.50294237,13.06193216
E01015114,14.02324693,13.74594065,14.07573597,13.95615956,13.53108683,13.28996224,13.93858615,13.64553037,14.39067624
E01015115,12.08558474,12.66675953,13.24455343,13.91001275,15.06569786,15.78752629,16.05718732,17.27069888,18.11669997
E01015116,12.60829195,13.60929339,13.58207581,13.83090855,15.02519564,14.99819332,14.96229416,15.38392979,14.95457483
E01015117,9.97267155,10.88161595,11.61639906,11.77854524,13.10827332,13.72205512,13.27319988,13.20184853,13.47469126
E01015118,13.87241386,13.9225369,13.69007027,13.49524219,13.2325729,12.97668272,12.29694716,12.4682285,12.41104306
E01015119,9.877670784,10.50875179,10.63911027,11.06767883,11.49712893,11.6818607,11.27943492,11.86960447,11.9211036
E01015120,13.19966203,13.06635144,13.70231461,13.55495699,13.41069963,12.42786873,11.95889907,11.12251861,10.92604502
E01015121,12.08752226,12.08752226,12.52093654,12.44832049,12.72135047,13.27689608,13.3995195,13.49173131,13.89163513
E01015122,11.09492956,11.76119417,12.33479153,12.30258758,12.22606228,12.68183044,12.66998616,12.8397208,13.27701855
E01015123,14.08233071,15.46656024,15.27099855,15.36166232,15.30781862,15.45508791,14.47507489,14.63296108,14.4544909
E01015124,13.2300763,13.6955708,14.44311764,14.43356897,14.86263147,14.69936838,14.75920077,15.26885193,15.08646214
E01015125,11.39780435,12.68130267,13.12563733,13.36444327,13.61586428,13.6729773,13.07067754,13.56762868,14.04931929
E01015126,15.96402881,16.42174585,16.49218263,16.76854335,16.72058659,15.00117772,15.03631989,15.62722463,15.81844375
E01015127,10.98761984,11.00672014,11.05365156,11.23703792,11.09294397,12.08702144,12.42368281,13.16242527,13.28373096
E01015128,11.8031677,11.99915405,12.55123244,12.69096616,12.89697524,13.49467745,14.14069221,14.7120635,14.62403261
E01015129,12.56711684,13.02690337,13.32450154,13.47512085,13.87828981,13.67109525,13.3760264,13.56229384,13.60935873
E01015130,11.9477874,12.20123398,12.47972829,12.94598565,13.36939662,13.7865962,13.94527912,14.38718535,13.84842001
E01015131,16.51047008,15.83997884,15.79940536,15.48125304,14.3725157,14.64755953,14.79372371,14.50084166,14.4170596
E01015132,12.75538094,12.71429375,13.6154219,13.85316207,14.93160446,15.71665203,16.08628971,16.17367949,16.29068051
E01015133,12.22229929,11.76151472,12.68828188,14.00741694,14.17608077,14.69805094,15.97705968,16.44907308,15.75668869
E01015134,12.79387254,13.00450269,13.39170701,14.16842142,14.84300002,14.60663323,14.56064449,15.01712187,14.8925036
E01015135,12.69828266,13.22575415,14.05233708,14.08472793,13.81919105,13.8197398,13.65062939,13.58722829,13.64018804
E01015136,13.87709508,13.11166188,12.95868068,12.33855404,12.10268315,12.01221335,12.2303175,13.50536864,13.51830798
E01015137,12.74798194,13.24952372,13.24009893,13.84211746,14.13523015,14.55649684,14.49650518,14.42685186,14.77803728
E01015138,12.49800832,12.73610528,13.46537371,14.13091048,15.36670907,16.39173011,17.21961533,17.00407722,16.93160009
E01015139,13.07906459,13.42392445,13.06531782,13.25328125,14.75411272,15.24681047,16.02276017,16.60713797,17.47102432
E01015140,15.94239527,16.07034904,15.97709086,16.50514826,17.15507763,17.32647005,18.39300868,18.93570314,18.76045323
E01015141,12.25260001,12.92567647,13.41767784,13.80227617,14.01193582,14.5214082,13.81563369,13.65808103,14.11739467
E01015142,13.89016917,14.3278329,14.81955378,14.89732985,15.22671843,15.616882,16.21362079,17.06855238,17.2588948
E01015143,13.95570014,14.21045244,15.00323575,15.31998234,16.28417195,16.3182477,16.85432889,16.90022439,16.35340307
E01015144,14.02596103,14.20606761,14.21111281,14.44353425,14.4151239,13.99642538,13.91314025,13.17038849,12.84279771
E01015145,13.92340828,13.69041558,13.74830635,13.70871429,13.58547206,13.61360656,13.33992059,12.69036874,12.25995742
E01015146,10.91600282,10.84654919,11.11643768,11.5199102,11.54911165,11.64949908,11.65439309,11.86413965,11.33474351
E01015147,11.93157129,12.52103487,12.73426544,14.36653913,15.25248622,16.16025654,16.19061698,16.9470249,17.2770518
E01015148,13.5225562,14.41128058,14.4759656,14.16190977,14.12240248,13.97430254,13.46945704,13.52851754,14.15020907
E01015149,12.06511733,12.10342649,12.34971685,13.12387684,13.71116907,14.06199409,14.79501177,15.26025649,15.02572155
E01015150,13.90496286,14.67732079,14.79246147,15.25131935,16.32374099,16.69566294,16.82836041,16.66974846,16.04173193
E01015151,8.787049722,8.666586546,8.573775815,8.973428748,9.245968854,9.410743094,9.330079803,9.460155865,9.396329509
E01015152,11.37348254,10.28129867,11.01409082,11.30821846,11.89442722,11.98721469,12.56411958,12.37962548,12.29271303
