Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,20,20,20,30,30,25,30,35,40,35,40,45,45,50,55,50
E01015024,15,15,10,15,10,15,10,10,10,10,15,10,10,10,15,10
E01015025,5,0,5,5,5,10,5,10,5,5,5,5,5,5,5,5
E01015026,20,15,15,15,20,20,20,15,20,15,15,15,25,25,35,30
E01015027,15,15,10,10,10,15,15,10,15,10,10,10,10,20,15,20
E01015028,25,20,20,15,15,20,15,15,15,20,15,20,30,25,30,35
E01015029,5,15,25,30,25,25,25,25,20,20,20,20,25,35,35,30
E01015030,25,20,25,25,25,25,25,20,20,20,20,20,25,30,35,35
E01015031,10,5,5,5,5,5,10,5,0,5,5,5,5,0,5,10
E01015032,5,0,5,5,5,5,10,5,5,5,5,5,5,10,10,10
E01015033,10,10,10,10,10,10,5,10,5,5,5,5,10,5,10,15
E01015034,10,10,10,5,10,5,5,10,5,5,5,5,5,5,5,5
E01015035,5,0,5,5,5,5,5,5,5,10,10,10,5,5,10,5
E01015036,0,5,5,0,0,0,0,0,0,0,5,5,5,5,5,10
E01015037,10,15,15,15,15,20,15,15,15,15,20,15,20,20,20,20
E01015038,10,10,10,10,15,10,10,15,15,10,10,5,5,10,10,10
E01015039,10,15,15,10,10,10,5,15,10,10,10,10,10,10,15,15
E01015040,30,35,25,30,25,30,25,20,30,30,20,25,25,30,35,35
E01015041,10,10,10,15,15,10,15,15,20,15,20,15,15,10,25,25
E01015042,10,10,15,10,10,10,15,15,5,10,10,10,10,20,20,25
E01015043,10,15,20,15,15,20,20,15,20,15,15,15,20,30,25,30
E01015044,10,10,10,10,5,0,10,10,5,10,10,10,15,15,20,15
E01015045,10,10,10,10,15,10,10,15,15,15,15,20,25,30,30,30
E01015046,20,20,25,30,30,25,30,30,30,25,30,35,35,35,45,45
E01015047,15,20,20,15,20,15,25,25,20,25,25,25,30,30,40,40
E01015048,10,15,10,10,5,10,15,15,5,15,20,25,30,30,45,40
E01015049,5,10,10,5,5,5,5,5,0,5,5,10,5,5,5,5
E01015050,5,5,5,5,0,5,0,5,0,5,0,5,5,5,5,5
E01015051,5,10,5,10,10,5,5,5,5,5,5,5,5,5,0,5
E01015052,5,5,5,10,5,10,10,10,10,15,15,15,15,15,15,20
E01015053,5,10,10,10,5,10,10,5,10,5,10,10,5,10,10,10
E01015054,5,5,5,5,10,10,5,5,10,5,5,0,0,5,5,5
E01015055,20,15,15,15,20,25,30,30,30,25,25,30,30,30,40,40
E01015056,10,10,15,15,15,10,15,15,15,10,10,15,15,15,25,30
E01015057,15,15,15,20,15,15,10,10,10,15,20,20,25,30,25,35
E01015058,20,15,25,20,20,15,10,20,25,30,25,25,25,25,30,35
E01015059,10,5,10,15,20,15,15,20,25,20,20,20,25,30,30,30
E01015060,15,10,5,10,20,15,10,10,10,20,25,20,25,25,25,30
E01015061,10,10,10,5,5,10,5,5,10,5,10,10,10,15,15,10
E01015062,5,10,10,5,5,5,5,5,5,5,5,5,5,10,10,10
E01015063,15,15,15,15,15,20,15,10,15,15,10,15,20,25,25,30
E01015064,5,5,5,5,5,10,10,10,5,5,5,5,5,5,10,5
E01015065,10,15,15,15,15,15,10,15,15,15,15,10,10,15,20,20
E01015066,10,10,10,10,5,10,15,5,5,5,10,10,15,10,20,10
E01015067,15,15,10,20,20,20,15,10,5,10,10,15,10,10,10,10
E01015068,15,15,15,20,15,15,20,15,20,15,20,20,25,25,25,25
E01015069,20,15,15,15,15,20,15,15,15,15,10,15,20,20,25,20
E01015070,15,20,15,10,10,10,15,10,10,10,10,20,20,25,30,35
E01015071,10,5,10,10,10,10,10,10,5,10,15,20,15,15,20,25
E01015072,25,25,20,20,20,20,25,20,30,25,25,20,30,35,40,40
E01015073,35,30,25,30,35,30,30,30,30,35,30,35,40,45,45,45
E01015074,10,15,15,15,20,15,15,20,20,20,20,25,40,35,40,45
E01015075,30,30,30,25,25,30,25,30,30,25,30,35,30,25,25,30
E01015076,10,5,5,10,10,10,5,10,15,20,15,10,20,15,20,15
E01015077,10,5,5,10,5,10,10,5,10,5,10,15,15,15,20,25
E01015078,35,30,40,40,30,30,30,30,30,30,20,25,35,35,40,45
E01015079,10,10,10,10,15,10,15,15,5,10,10,10,15,10,20,25
E01015080,20,15,25,20,20,15,20,25,35,30,35,45,40,30,25,30
E01015081,20,25,25,25,30,30,35,30,35,35,30,25,25,30,25,30
E01015082,30,25,25,25,30,30,25,25,30,30,30,45,50,40,55,60
E01015083,20,20,25,20,15,20,15,20,20,25,25,25,25,30,30,25
