Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.008502823,0.007971653,0.008020939,0.009795665,0.009399482,0.008423021,0.009230593,0.010199974,0.010969402,0.010379346,0.010813698,0.011074745,0.011155881,0.011399592,0.011975381,0.011399592
E01015024,0.006359184,0.006304553,0.004887198,0.006541841,0.004914889,0.006304553,0.004942895,0.005058185,0.005241571,0.005122909,0.006554826,0.005133014,0.005199679,0.00518931,0.0065744,0.00518931
E01015025,0.003518767,0,0.003712196,0.003609033,0.003740987,0.005776804,0.003804209,0.006038179,0.00391901,0.003993166,0.003988449,0.004045797,0.004201874,0.00421762,0.00421762,0.00421762
E01015026,0.007657952,0.00652246,0.006465001,0.006446072,0.007488506,0.007224399,0.0072177,0.00618066,0.007605575,0.00645237,0.006359184,0.006322658,0.008398965,0.008120648,0.009741675,0.008967694
E01015027,0.006006418,0.006244942,0.004714546,0.00473169,0.004638909,0.005920275,0.005984648,0.004797108,0.006209714,0.0050095,0.004966478,0.004938205,0.004924189,0.007510181,0.006383769,0.007510181
E01015028,0.01071434,0.009652012,0.009688049,0.007980413,0.007542951,0.008932119,0.007542951,0.007603737,0.0076125,0.008577781,0.007333573,0.008512121,0.010445581,0.009243776,0.010205323,0.011083145
E01015029,0.00354835,0.006377605,0.00783923,0.008404037,0.007682225,0.00760278,0.007668869,0.007662209,0.00687353,0.006837304,0.00676011,0.006748388,0.00793798,0.009523357,0.009523357,0.00876634
E01015030,0.009765598,0.008521439,0.009411409,0.009606106,0.009263187,0.009205197,0.009282679,0.008062478,0.00817252,0.008070837,0.007811655,0.007803823,0.00898947,0.009894965,0.010746817,0.010746817
E01015031,0.005038598,0.003076346,0.003226258,0.00318367,0.003367849,0.003207867,0.004896393,0.00310749,0,0.002884497,0.002850407,0.002978648,0.002970786,0,0.003079152,0.004740309
E01015032,0.003048571,0,0.002807742,0.002821821,0.002706467,0.00238695,0.003462943,0.002151232,0.002041951,0.002019963,0.001986684,0.001991371,0.001880467,0.002821014,0.002821014,0.002821014
E01015033,0.005321967,0.005507821,0.005382508,0.005620837,0.005416115,0.005438754,0.003515104,0.005478831,0.003555823,0.003533497,0.003464609,0.003478887,0.005289514,0.003482475,0.005360335,0.0067907
E01015034,0.006116231,0.006087616,0.006024201,0.003900899,0.005854785,0.003791394,0.003766022,0.005822038,0.00383445,0.003974365,0.004036125,0.004002633,0.00413498,0.004070182,0.004070182,0.004070182
E01015035,0.00342942,0,0.003357801,0.003412092,0.00340521,0.003464609,0.003415543,0.003422468,0.003486071,0.005225783,0.005231035,0.005158451,0.003475307,0.003401779,0.005236298,0.003401779
E01015036,0,0.003997894,0.003891907,0,0,0,0,0,0,0,0.003932704,0.00396038,0.003974365,0.00414005,0.00414005,0.006370773
E01015037,0.006225977,0.007866358,0.007755518,0.008117728,0.007942029,0.009429857,0.008009445,0.008117728,0.008218739,0.008353873,0.009712224,0.007980413,0.009120497,0.009077952,0.009077952,0.009077952
E01015038,0.005284144,0.005107826,0.005163569,0.005127956,0.006465001,0.004910252,0.004878037,0.006011885,0.006055984,0.004714546,0.004553676,0.002916891,0.002929545,0.004597927,0.004597927,0.004597927
E01015039,0.003919295,0.004801307,0.004682177,0.003426465,0.00329209,0.003183357,0.001992546,0.003777127,0.002844138,0.002707995,0.002727865,0.002844138,0.003150598,0.003146788,0.003989299,0.003989299
E01015040,0.010120674,0.010471417,0.008898797,0.009795665,0.008774885,0.0097565,0.008603736,0.007866919,0.010047749,0.010037417,0.007772654,0.008863038,0.008934846,0.010173414,0.011048568,0.011048568
E01015041,0.005560783,0.005225783,0.005321967,0.006587514,0.006548327,0.005273436,0.006408545,0.006548327,0.007780423,0.006839927,0.007890843,0.006897067,0.006647182,0.005194489,0.008757464,0.008757464
E01015042,0.005376948,0.005321967,0.006439787,0.005082885,0.004933524,0.004975975,0.006244942,0.006359184,0.003298753,0.005257455,0.005102818,0.005043481,0.005112844,0.007546587,0.007546587,0.008537132
E01015043,0.006003355,0.007366289,0.008521439,0.007021717,0.0066139,0.007866919,0.007780423,0.006402333,0.007590742,0.006567862,0.006427254,0.006687564,0.007680621,0.009444958,0.008553686,0.009444958
E01015044,0.005043481,0.005048373,0.004985508,0.004933524,0.00318367,0,0.004680627,0.004928852,0.003148051,0.00486891,0.00478388,0.004740309,0.005904398,0.005899124,0.006940951,0.005899124
E01015045,0.006255911,0.006123427,0.006240908,0.006857626,0.008626644,0.006613634,0.006378581,0.007466212,0.006875528,0.006509604,0.006389945,0.007177767,0.008024624,0.008742784,0.008742784,0.008742784
