Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.01,0.011,0.011,0.012,0.013,0.014,0.015,0.012
E12000009,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.009,0.009,0.01,0.01,0.011,0.012,0.012,0.013,0.011
E01015023,0.021978022,0.020597322,0.020725389,0.030395137,0.029154519,0.024038462,0.028625954,0.033980583,0.038910506,0.03458498,0.038350911,0.041512915,0.041821561,0.04492363,0.049415993,0.04492363
E01015024,0.014492754,0.014367816,0.009407338,0.014910537,0.009460738,0.014367816,0.009514748,0.009737098,0.010090817,0.009861933,0.014940239,0.009881423,0.01001001,0.00999001,0.014985015,0.00999001
E01015025,0.005213764,0,0.00550055,0.005347594,0.005543237,0.011123471,0.005636979,0.011627907,0.005807201,0.00591716,0.005910165,0.005995204,0.00622665,0.00625,0.00625,0.00625
E01015026,0.019782394,0.014866204,0.014734774,0.014691479,0.01934236,0.018656716,0.018639329,0.014084507,0.019646365,0.014705882,0.014492754,0.014409222,0.023969319,0.023169601,0.032437442,0.027803522
E01015027,0.013686131,0.014231499,0.00907441,0.009107468,0.008928571,0.013489209,0.013636364,0.00923361,0.014150943,0.009643202,0.009560229,0.009505703,0.009478673,0.019398642,0.014548982,0.019398642
E01015028,0.030637255,0.024968789,0.025062657,0.018203883,0.017201835,0.023094688,0.017201835,0.01734104,0.017361111,0.022172949,0.016722408,0.0220022,0.032432432,0.026399155,0.031678986,0.036958817
E01015029,0.005257624,0.014534884,0.02236136,0.026041667,0.021910605,0.021682567,0.021872266,0.021853147,0.017746229,0.017652251,0.017452007,0.017421603,0.022644928,0.031702899,0.031702899,0.027173913
E01015030,0.027901786,0.022026432,0.02688172,0.027442371,0.026455026,0.026288118,0.026511135,0.020833333,0.021119324,0.020855057,0.020181635,0.02016129,0.025667351,0.030706244,0.035823951,0.035823951
E01015031,0.009699321,0.004557885,0.004780115,0.004716981,0.00499002,0.004752852,0.009425071,0.004604052,0,0.004273504,0.004222973,0.004413063,0.004401408,0,0.004562044,0.009124088
E01015032,0.004516712,0,0.004159734,0.004180602,0.004009623,0.003536068,0.006662225,0.003186743,0.003024803,0.00299222,0.002942908,0.002949853,0.002785515,0.005425936,0.005425936,0.005425936
