Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.011761937,0.011035015,0.011102508,0.012713033,0.012205236,0.011243563,0.011988602,0.012963254,0.013699935,0.013188102,0.013508243,0.01364274,0.013741221,0.013876425,0.014422934,0.013876425
E01015024,0.009298335,0.009219139,0.007824846,0.009563041,0.007868874,0.009219139,0.0079134,0.00809666,0.008388035,0.008199514,0.009581853,0.00821557,0.008321487,0.008305015,0.00961021,0.008305015
E01015025,0.006911169,0.003920813,0.007288872,0.007087457,0.00734507,0.00923758,0.007468462,0.009651973,0.007692456,0.007837102,0.007827903,0.007939743,0.008244022,0.008274711,0.008274711,0.008274711
E01015026,0.010605209,0.009534961,0.009451701,0.00942427,0.010372896,0.010010589,0.010001396,0.009039491,0.010533411,0.009433396,0.009298335,0.009245387,0.011211807,0.010844271,0.012388263,0.011651182
E01015027,0.008786733,0.00913271,0.007550252,0.007577525,0.007429912,0.008661728,0.008755145,0.007681579,0.009081626,0.00801928,0.007950892,0.007905944,0.00788366,0.010402619,0.009333972,0.010402619
E01015028,0.014258662,0.013331025,0.013380149,0.011643143,0.011011472,0.012348672,0.011011472,0.011099289,0.011111949,0.011864434,0.010708871,0.011774652,0.013544861,0.012325743,0.013237527,0.014069275
E01015029,0.006968949,0.009325037,0.010472358,0.010926945,0.010264742,0.010159655,0.010247077,0.010238267,0.009528857,0.009479094,0.009373037,0.009356931,0.010602895,0.012114104,0.012114104,0.011392592
E01015030,0.013012519,0.011787395,0.012546473,0.012802714,0.012351307,0.01227493,0.012376978,0.011159386,0.011310032,0.011170831,0.010815845,0.010805114,0.011990693,0.012840223,0.013648397,0.013648397
E01015031,0.008065529,0.006046402,0.006339558,0.006256291,0.006616315,0.006303602,0.007839467,0.006107316,0.003224981,0.005671036,0.005604311,0.005855276,0.005839893,0.003360108,0.00605189,0.007591236
E01015032,0.005992071,0.003150612,0.005520795,0.005548356,0.005322503,0.004696492,0.005555612,0.00423426,0.00401985,0.0039767,0.003911388,0.003920587,0.003702881,0.004529846,0.004529846,0.004529846
E01015033,0.008515725,0.0088108,0.008611863,0.008990156,0.008665222,0.008701164,0.006904014,0.008764784,0.006983545,0.006939939,0.006805374,0.006833268,0.008464186,0.006840277,0.008576654,0.009923471
E01015034,0.009775661,0.009730318,0.00962982,0.007657125,0.009361245,0.007443453,0.007393935,0.009309318,0.007527475,0.007800433,0.007920882,0.007855566,0.008113627,0.007987292,0.007987292,0.007987292
E01015035,0.006736625,0.003745642,0.00659668,0.006702769,0.006689322,0.006805374,0.006709513,0.006723042,0.006847301,0.008362956,0.008371299,0.008255987,0.006826273,0.006682618,0.008379659,0.006682618
E01015036,0.004455998,0.007846323,0.007639581,0.004340646,0.004335544,0.004345759,0.004290164,0.00425552,0.004340646,0.004310215,0.007719169,0.007773156,0.007800433,0.008123511,0.008123511,0.010178833
E01015037,0.009949524,0.011478529,0.011318503,0.01184126,0.011587749,0.013028084,0.011685037,0.01184126,0.01198695,0.012181792,0.013413101,0.011643143,0.012605917,0.01254783,0.01254783,0.01254783
E01015038,0.008455656,0.008175547,0.008264118,0.008207534,0.009451701,0.007861501,0.007810279,0.008794665,0.008858646,0.007550252,0.007294275,0.005734433,0.005759196,0.0073647,0.0073647,0.0073647
E01015039,0.006283706,0.007035265,0.006861812,0.005497373,0.005282781,0.005109079,0.003922893,0.005542213,0.004566828,0.004349054,0.004380844,0.004566828,0.005056734,0.005050647,0.00585186,0.00585186
E01015040,0.013129196,0.013303475,0.011871176,0.012713033,0.011707797,0.012662859,0.011482046,0.010891557,0.01303585,0.013022623,0.010762405,0.011824033,0.011918696,0.013196694,0.014026023,0.014026023
E01015041,0.008894857,0.008362956,0.008515725,0.009629209,0.009572438,0.008438649,0.009369883,0.009572438,0.010773051,0.009994738,0.010924331,0.01007745,0.009715639,0.008313243,0.011684823,0.011684823
E01015042,0.008603033,0.008515725,0.009415162,0.008135912,0.007898502,0.007965988,0.00913271,0.009298335,0.006481274,0.008413266,0.008167589,0.008073289,0.008183521,0.010452537,0.010452537,0.011394164
E01015043,0.00959678,0.010756165,0.011787395,0.010257838,0.009667431,0.010891557,0.010773051,0.009360879,0.010513076,0.009600739,0.009396998,0.009774126,0.01063628,0.012263552,0.011416008,0.012263552
E01015044,0.008073289,0.008081064,0.007981142,0.007898502,0.006256291,0.003285296,0.00749629,0.007891074,0.00618664,0.007795767,0.00766054,0.007591236,0.008638685,0.008631031,0.009621459,0.008631031
