Area,16 to 24
E92000001,
E12000009,
E01015023,0.073311005
E01015024,0.041534392
E01015025,0.080021858
E01015026,0.066051613
E01015027,0.059954751
E01015028,0.06316875
E01015029,0.061702532
E01015030,0.072452514
E01015031,0.127779762
E01015032,0.11344
E01015033,0.070594828
E01015034,0.106018868
E01015035,0.061815
E01015036,0.113581081
E01015037,0.058471154
E01015038,0.07779476
E01015039,0.057037736
E01015040,0.044654135
E01015041,0.062893805
E01015042,0.047172043
E01015043,0.059989362
E01015044,0.069338346
E01015045,0.055274809
E01015046,0.066081522
E01015047,0.046981595
E01015048,0.029822917
E01015049,0.059903226
E01015050,0.119613333
E01015051,0.071290323
E01015052,0.078561983
E01015053,0.077557377
E01015054,0.07478
E01015055,0.056930481
E01015056,0.071360656
E01015057,0.092242604
E01015058,0.05042953
E01015059,0.051066225
E01015060,0.046095808
E01015061,0.074830189
E01015062,0.065088889
E01015063,0.066184971
E01015064,0.078573134
E01015065,0.075858238
E01015066,0.047579909
E01015067,0.06613355
E01015068,0.058048544
E01015069,0.067080569
E01015070,0.056213675
E01015071,0.069418327
E01015072,0.058382716
E01015073,0.058960674
E01015074,0.058742222
E01015075,0.070014851
E01015076,0.06546988
E01015077,0.094442029
E01015078,0.05947929
E01015079,0.07144
E01015080,0.057245614
E01015081,0.067689119
E01015082,0.066038462
E01015083,0.072709677
E01015084,0.061037209
E01015085,0.068964286
E01015086,0.06867382
E01015087,0.058623288
E01015088,0.045382114
E01015089,0.069849421
E01015090,0.05062381
E01015091,0.05859
E01015092,0.064547059
E01015093,0.045012397
E01015094,0.059227907
E01015095,0.048257463
E01015096,0.053235043
E01015097,0.05924307
E01015098,0.073452229
E01015099,0.060207143
E01015100,0.05995122
E01015101,0.115677419
E01015102,0.063549708
E01015103,0.063692308
E01015104,0.074151685
E01015105,0.088050279
E01015106,0.062955556
E01015107,0.036731707
E01015108,0.055773399
E01015109,0.056284768
E01015110,0.044032432
E01015111,0.047626761
E01015112,0.082263682
E01015113,0.057956349
E01015114,0.07735
E01015115,0.09647352
E01015116,0.060183962
E01015117,0.045107477
E01015118,0.074287449
E01015119,0.043565476
E01015120,0.0698
E01015121,0.058194357
E01015122,0.080654275
E01015123,0.116666667
E01015124,0.080198113
E01015125,0.047084615
E01015126,0.093363636
E01015127,0.072914089
E01015128,0.063778481
E01015129,0.068387879
E01015130,0.044726667
E01015131,0.079896
E01015132,0.08012069
E01015133,0.064068323
E01015134,0.10690146
E01015135,0.074145228
E01015136,0.077972851
E01015137,0.063237885
E01015138,0.050812925
E01015139,0.082410788
E01015140,0.085066667
E01015141,0.056910714
E01015142,0.056544974
E01015143,0.053371981
E01015144,0.06002649
E01015145,0.034022222
E01015146,0.045649123
E01015147,0.079078341
E01015148,0.06005641
E01015149,0.05697861
E01015150,0.063150862
E01015151,0.061901961
E01015152,0.06003871
E01015153,0.084823171
E01015155,0.060635514
E01015156,0.046263158
E01015157,0.071551724
E01015158,0.072581871
E01015159,0.069584158
E01015160,0.061035587
E01015161,0.05056422
E01015162,0.071009569
E01015163,0.073917266
E01015164,0.041253968
E01015165,0.042317829
E01015166,0.049507463
E01015167,0.061654867
E01015168,0.044658228
E01015169,0.100175879
E01015170,0.09045641
E01015171,0.0806875
E01015172,0.050543046
E01015173,0.077
E01015174,0.067520833
E01015175,0.078283465
E01015176,0.070528846
E01015177,0.054143939
E01015178,0.07236036
E01015179,0.074231579
E01015180,0.079115854
E01015181,0.045006536
E01015182,0.0775
E01015183,0.074721014
E01015184,0.072531172
E01015185,0.081232877
E01015186,0.049676471
E01015187,0.067648294
E01015188,0.072557103
E01015189,0.061028169
E01015190,0.043143369
E01015191,0.048852273
E01015192,0.058477419
E01015193,0.060690141
E01015194,0.051570136
E01015195,0.066810484
E01015196,0.056963504
E01015197,0.069603217
E01015198,0.067654378
E01015199,0.085418719
E01015200,0.064
E01015201,0.075276817
E01015202,0.070753555
E01015203,0.074302326
E01015204,0.060671958
E01015205,0.06395045
E01015206,0.100544061
E01015207,0.053080952
E01015208,0.070031189
E01015209,0.079830645
E01015210,0.069697143
E01015211,0.070260331
E01015212,0.046019231
E01015213,0.064299435
E01015214,0.08111194
E01015215,0.054977778
E01015216,0.053473373
E01015217,0.075251497
E01015218,0.064802956
E01015219,0.084351585
E01015220,0.053532609
E01015221,0.065370748
E01015222,0.063544892
E01015223,0.05304712
E01015224,0.061966387
E01015225,0.089958647
E01015226,0.063831081
E01015227,0.085993031
E01015228,0.095317784
E01015229,0.13163587
E01015230,0.067545455
E01015231,0.088447826
E01015232,0.08724359
E01015233,0.090823009
E01015234,0.062408759
E01015235,0.097491363
E01015236,0.063238434
E01015237,0.063211538
E01015238,0.089292
