Area,16 to 24
E92000001,
E12000009,
E01015023,0.049515429
E01015024,0.031383025
E01015025,0.051697156
E01015026,0.035543969
E01015027,0.043678544
E01015028,0.040024031
E01015029,0.047933108
E01015030,0.044510377
E01015031,0.050882214
E01015032,0.045142286
E01015033,0.048826588
E01015034,0.05459715
E01015035,0.036576903
E01015036,0.042153858
E01015037,0.047328645
E01015038,0.038029251
E01015039,0.03026101
E01015040,0.040392901
E01015041,0.040226341
E01015042,0.036731089
E01015043,0.025421042
E01015044,0.030203099
E01015045,0.036460874
E01015046,0.03669931
E01015047,0.029627484
E01015048,0.03243
E01015049,0.042121744
E01015050,0.046605854
E01015051,0.038872747
E01015052,0.0401375
E01015053,0.034945375
E01015054,0.040750169
E01015055,0.035205506
E01015056,0.044519367
E01015057,0.047501811
E01015058,0.0399105
E01015059,0.031556381
E01015060,0.041883766
E01015061,0.036217935
E01015062,0.042028068
E01015063,0.048436507
E01015064,0.047893477
E01015065,0.049388615
E01015066,0.034813722
E01015067,0.052727639
E01015068,0.047358223
E01015069,0.041008733
E01015070,0.043404386
E01015071,0.047130863
E01015072,0.042087969
E01015073,0.039573667
E01015074,0.047186127
E01015075,0.038591493
E01015076,0.044342581
E01015077,0.053375226
E01015078,0.04356125
E01015079,0.042718978
E01015080,0.028782273
E01015081,0.044743026
E01015082,0.034388529
E01015083,0.049899733
E01015084,0.046493532
E01015085,0.041993618
E01015086,0.041847988
E01015087,0.037472308
E01015088,0.04129098
E01015089,0.047329663
E01015090,0.036316762
E01015091,0.032979552
E01015092,0.033236202
E01015093,0.030571304
E01015094,0.046724468
E01015095,0.036723783
E01015096,0.032694332
E01015097,0.044858818
E01015098,0.051750467
E01015099,0.037026055
E01015100,0.038164889
E01015101,0.05743217
E01015102,0.04485173
E01015103,0.037684673
E01015104,0.044062159
E01015105,0.046856692
E01015106,0.040527256
E01015107,0.036150857
E01015108,0.037514534
E01015109,0.030867727
E01015110,0.042056056
E01015111,0.028985679
E01015112,0.051107674
E01015113,0.04605655
E01015114,0.038248534
E01015115,0.065049026
E01015116,0.0416426
E01015117,0.033382584
E01015118,0.05214602
E01015119,0.034339388
E01015120,0.044047306
E01015121,0.046130427
E01015122,0.048091321
E01015123,0.05817429
E01015124,0.056971673
E01015125,0.041280591
E01015126,0.065238877
E01015127,0.045526723
E01015128,0.048368167
E01015129,0.034430991
E01015130,0.037911905
E01015131,0.055914517
E01015132,0.048386223
E01015133,0.055961269
E01015134,0.059757076
E01015135,0.039319747
E01015136,0.052150966
E01015137,0.043374724
E01015138,0.04419289
E01015139,0.051719502
E01015140,0.054712963
E01015141,0.045804895
E01015142,0.037622264
E01015143,0.042124444
E01015144,0.050604567
E01015145,0.02797678
E01015146,0.033125763
E01015147,0.044984545
E01015148,0.03378104
E01015149,0.040531232
E01015150,0.044198985
E01015151,0.041071111
E01015152,0.036462732
E01015153,0.043743736
E01015155,0.034911146
E01015156,0.033170739
E01015157,0.039710377
E01015158,0.056442115
E01015159,0.054959865
E01015160,0.050541993
E01015161,0.042382193
E01015162,0.05069
E01015163,0.048650197
E01015164,0.036724258
E01015165,0.045788175
E01015166,0.040045739
E01015167,0.043897879
E01015168,0.029409762
E01015169,0.042428197
E01015170,0.04742256
E01015171,0.045277902
E01015172,0.041014685
E01015173,0.049645902
E01015174,0.045343191
E01015175,0.038828017
E01015176,0.045403254
E01015177,0.047003824
E01015178,0.043015366
E01015179,0.034003133
E01015180,0.040507815
E01015181,0.030848864
E01015182,0.043522276
E01015183,0.041761078
E01015184,0.050098135
E01015185,0.043764122
E01015186,0.040748462
E01015187,0.04427039
E01015188,0.044848322
E01015189,0.031935926
E01015190,0.037251802
E01015191,0.042518129
E01015192,0.042478766
E01015193,0.046103889
E01015194,0.036830053
E01015195,0.046540825
E01015196,0.049190268
E01015197,0.043832405
E01015198,0.046821563
E01015199,0.055253519
E01015200,0.046053509
E01015201,0.049793571
E01015202,0.048921
E01015203,0.04870903
E01015204,0.035893523
E01015205,0.043000673
E01015206,0.051185397
E01015207,0.042651587
E01015208,0.046406486
E01015209,0.049145989
E01015210,0.047317451
E01015211,0.040953318
E01015212,0.037926204
E01015213,0.044290248
E01015214,0.0345284
E01015215,0.048668931
E01015216,0.033198613
E01015217,0.038837665
E01015218,0.045201976
E01015219,0.058155362
E01015220,0.039876357
E01015221,0.044497098
E01015222,0.045487184
E01015223,0.038350939
E01015224,0.045078531
E01015225,0.051060323
E01015226,0.043976097
E01015227,0.041526043
E01015228,0.058599757
E01015229,0.053998383
E01015230,0.046500251
E01015231,0.042621885
E01015232,0.040019759
E01015233,0.048611481
E01015234,0.038104419
E01015235,0.0556624
E01015236,0.037583242
E01015237,0.038694632
