Area,60 to 69,70 to 74,75 to 79,80 to 84,85 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,2,2,3,4,13,24
E01015024,3,2,3,2,4,13
E01015025,3,4,7,10,22,46
E01015026,2,2,2,3,6,15
E01015027,3,2,4,4,10,22
E01015028,2,1,2,4,6,15
E01015029,2,1,3,5,5,17
E01015030,2,2,2,4,10,20
E01015031,1,1,2,4,19,28
E01015032,1,1,1,2,8,13
E01015033,3,2,4,5,13,27
E01015034,2,2,4,6,24,39
E01015035,2,2,3,5,6,18
E01015036,2,3,4,6,26,42
E01015037,2,2,3,5,6,19
E01015038,3,2,4,5,12,25
E01015039,1,2,1,2,3,9
E01015040,2,1,2,3,3,11
E01015041,2,1,1,3,5,12
E01015042,1,1,2,2,2,8
E01015043,1,1,1,1,3,8
E01015044,2,2,2,2,6,14
E01015045,2,1,2,2,5,11
E01015046,2,2,3,4,7,19
E01015047,2,2,2,2,4,12
E01015048,2,1,2,1,2,7
E01015049,1,1,2,2,4,9
E01015050,1,1,1,2,8,13
E01015051,1,1,1,3,4,10
E01015052,1,1,1,2,7,13
E01015053,1,0,1,2,3,8
E01015054,1,0,1,1,3,6
E01015055,2,2,2,3,7,16
E01015056,3,2,4,6,12,27
E01015057,2,1,3,3,13,22
E01015058,2,1,2,3,5,12
E01015059,2,2,2,3,3,11
E01015060,2,2,2,3,5,14
E01015061,1,1,2,2,5,11
E01015062,1,1,2,2,4,10
E01015063,2,2,3,4,7,19
E01015064,3,3,7,10,18,41
E01015065,2,3,4,7,13,29
E01015066,3,3,2,3,6,17
E01015067,3,4,6,6,17,35
E01015068,2,3,3,6,8,21
E01015069,2,2,3,4,9,20
E01015070,3,3,2,5,10,23
E01015071,2,3,4,6,12,27
E01015072,2,2,3,4,5,15
E01015073,2,2,4,4,5,16
E01015074,2,2,4,3,10,21
E01015075,2,2,3,5,8,19
E01015076,2,2,3,5,7,18
E01015077,3,2,4,5,23,37
E01015078,2,1,3,4,6,17
E01015079,2,3,3,6,12,26
E01015080,1,1,0,1,2,5
E01015081,2,2,3,3,10,20
E01015082,2,3,3,4,8,20
E01015083,2,2,3,4,13,25
E01015084,2,2,3,5,10,22
E01015085,3,3,5,7,11,28
E01015086,2,3,3,4,11,23
E01015087,2,1,2,3,5,13
E01015088,1,2,2,2,4,10
E01015089,3,3,3,5,14,28
E01015090,3,2,2,3,8,18
E01015091,4,3,3,3,13,26
E01015092,2,2,2,2,8,15
E01015093,3,2,3,3,6,17
E01015094,3,2,2,4,11,22
E01015095,3,4,4,3,7,21
E01015096,3,3,4,2,7,19
E01015097,5,7,8,11,17,48
E01015098,2,1,2,5,9,19
E01015099,2,2,1,3,5,12
E01015100,1,2,2,2,4,11
E01015101,3,2,4,8,36,53
E01015102,2,1,3,4,8,19
E01015103,2,1,2,3,5,12
E01015104,2,2,3,5,9,21
E01015105,2,1,3,3,13,22
E01015106,2,2,2,4,8,18
E01015107,2,1,2,2,2,8
E01015108,2,2,3,5,5,17
E01015109,2,2,2,2,5,13
E01015110,3,2,3,4,5,17
E01015111,2,1,1,1,4,9
E01015112,2,2,5,5,12,25
E01015113,3,3,4,8,7,24
E01015114,2,2,4,4,13,26
E01015115,2,2,5,8,26,44
E01015116,3,3,3,4,8,21
E01015117,3,2,3,2,6,16
E01015118,2,2,5,5,14,29
E01015119,2,2,2,3,3,12
E01015120,3,3,3,5,12,26
E01015121,3,4,7,7,8,29
E01015122,3,3,5,6,16,32
E01015123,3,4,6,10,46,70
E01015124,3,3,6,8,20,40
E01015125,3,3,5,5,6,21
E01015126,3,3,6,13,28,52
E01015127,3,3,5,6,15,32
E01015128,3,4,5,8,12,32
E01015129,2,1,2,2,7,15
E01015130,2,2,2,4,3,12
E01015131,4,4,6,10,25,48
E01015132,2,3,5,8,16,35
E01015133,3,4,5,10,13,35
E01015134,2,2,4,8,24,40
E01015135,3,2,4,4,13,26
E01015136,2,2,5,6,12,26
E01015137,3,3,3,4,11,23
E01015138,3,4,5,6,9,27
E01015139,3,2,3,6,17,30
E01015140,3,3,6,9,21,41
E01015141,4,4,5,9,10,32
E01015142,2,2,2,3,8,17
E01015143,2,3,3,5,6,19
E01015144,2,2,2,2,8,15
E01015145,1,0,1,0,1,3
E01015146,2,1,3,1,3,9
E01015147,2,2,4,5,12,26
E01015148,2,2,2,4,6,16
E01015149,2,2,2,4,6,16
E01015150,3,2,4,5,10,23
E01015151,1,1,1,3,4,11
E01015152,2,2,3,4,5,16
E01015153,2,1,3,3,12,22
E01015155,2,1,2,3,3,12
E01015156,2,1,3,3,3,12
E01015157,3,2,3,4,14,27
E01015158,3,3,6,9,19,41
E01015159,3,3,6,10,13,33
