Area,16 to 24
E92000001,
E12000009,
E01015023,0.062466667
E01015024,0.036849145
E01015025,0.066809169
E01015026,0.052077832
E01015027,0.052102529
E01015028,0.052837716
E01015029,0.05504281
E01015030,0.059308136
E01015031,0.094088863
E01015032,0.073599667
E01015033,0.060226659
E01015034,0.084349891
E01015035,0.050795549
E01015036,0.085039168
E01015037,0.053713333
E01015038,0.059919399
E01015039,0.044106537
E01015040,0.042539659
E01015041,0.051079831
E01015042,0.041736289
E01015043,0.042523263
E01015044,0.049130327
E01015045,0.046993462
E01015046,0.051800782
E01015047,0.03852283
E01015048,0.031317644
E01015049,0.051360168
E01015050,0.081482038
E01015051,0.055257717
E01015052,0.062383254
E01015053,0.053380355
E01015054,0.056360183
E01015055,0.046981072
E01015056,0.058603828
E01015057,0.073046385
E01015058,0.045737026
E01015059,0.043064141
E01015060,0.044075078
E01015061,0.056889141
E01015062,0.053688034
E01015063,0.05806185
E01015064,0.064027991
E01015065,0.064538991
E01015066,0.041820727
E01015067,0.059644639
E01015068,0.052822754
E01015069,0.056247396
E01015070,0.049892208
E01015071,0.059617813
E01015072,0.051190552
E01015073,0.050094665
E01015074,0.053719095
E01015075,0.057482917
E01015076,0.055268224
E01015077,0.0772372
E01015078,0.051941776
E01015079,0.059187454
E01015080,0.044845743
E01015081,0.057579536
E01015082,0.051804365
E01015083,0.062151609
E01015084,0.054010096
E01015085,0.057759353
E01015086,0.057396294
E01015087,0.049213916
E01015088,0.043527467
E01015089,0.059819208
E01015090,0.043470286
E01015091,0.046506197
E01015092,0.051038361
E01015093,0.038354699
E01015094,0.053395037
E01015095,0.042930663
E01015096,0.044111259
E01015097,0.052280396
E01015098,0.062848762
E01015099,0.050059598
E01015100,0.050745728
E01015101,0.091914167
E01015102,0.053833062
E01015103,0.051950464
E01015104,0.059191921
E01015105,0.070490192
E01015106,0.052262994
E01015107,0.036464211
E01015108,0.047697363
E01015109,0.043451246
E01015110,0.042974724
E01015111,0.040855785
E01015112,0.067896836
E01015113,0.052690951
E01015114,0.060021972
E01015115,0.084597984
E01015116,0.051183301
E01015117,0.039783418
E01015118,0.064491242
E01015119,0.039259968
E01015120,0.057512767
E01015121,0.053089548
E01015122,0.066302204
E01015123,0.092618077
E01015124,0.069816904
E01015125,0.044424438
E01015126,0.080993951
E01015127,0.060592363
E01015128,0.056956631
E01015129,0.054731304
E01015130,0.041353704
E01015131,0.068835575
E01015132,0.065982772
E01015133,0.060446615
E01015134,0.088785303
E01015135,0.058438064
E01015136,0.066525365
E01015137,0.053959085
E01015138,0.047687127
E01015139,0.068453891
E01015140,0.072194154
E01015141,0.05180418
E01015142,0.047899253
E01015143,0.048003838
E01015144,0.05572223
E01015145,0.030592596
E01015146,0.039279483
E01015147,0.062811904
E01015148,0.049792594
E01015149,0.0499948
E01015150,0.054448019
E01015151,0.051188952
E01015152,0.047274201
E01015153,0.063675769
E01015155,0.045337311
E01015156,0.038805987
E01015157,0.054573944
E01015158,0.065330676
E01015159,0.063400171
E01015160,0.055883841
E01015161,0.046786346
E01015162,0.062421464
E01015163,0.063253617
E01015164,0.039212965
E01015165,0.044032588
E01015166,0.045090318
E01015167,0.052087837
E01015168,0.037893063
E01015169,0.072511414
E01015170,0.070539917
E01015171,0.062982701
E01015172,0.045908503
E01015173,0.064065116
E01015174,0.056548737
E01015175,0.059448765
E01015176,0.05926565
E01015177,0.050520597
E01015178,0.059892539
E01015179,0.055473371
E01015180,0.060608508
E01015181,0.038449298
E01015182,0.060799085
E01015183,0.059668445
E01015184,0.062454794
E01015185,0.063512996
E01015186,0.045169126
E01015187,0.056745154
E01015188,0.060270729
E01015189,0.047350473
E01015190,0.040176619
E01015191,0.045886133
E01015192,0.050503981
E01015193,0.053663187
E01015194,0.044794743
E01015195,0.057613238
E01015196,0.053467108
E01015197,0.057783803
E01015198,0.058518124
E01015199,0.071648527
E01015200,0.05549903
E01015201,0.063063225
E01015202,0.060408953
E01015203,0.062048566
E01015204,0.048724
E01015205,0.053452022
E01015206,0.079813422
E01015207,0.048140727
E01015208,0.059340822
E01015209,0.066843186
E01015210,0.059257835
E01015211,0.05630461
E01015212,0.042235119
E01015213,0.054768432
E01015214,0.061204444
E01015215,0.052018761
E01015216,0.044396111
E01015217,0.057044581
E01015218,0.055956027
E01015219,0.073774072
E01015220,0.046934644
E01015221,0.057098439
E01015222,0.055755915
E01015223,0.045896559
E01015224,0.054030223
E01015225,0.072482588
E01015226,0.054378
E01015227,0.066210812
E01015228,0.079946
E01015229,0.101379138
E01015230,0.058702666
E01015231,0.067657435
E01015232,0.064494568
E01015233,0.071598964
E01015234,0.050622068
E01015235,0.079984821
E01015236,0.051008026
E01015237,0.051792705
