Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total,,,
E92000001,,,,,,,,,
E12000009,,,,,,,,,
E01015023,4,4,11,7,4,30,,,
E01015024,4,3,9,9,3,28,,,
E01015025,2,2,7,8,6,24,,,
E01015026,4,5,8,7,3,26,,,
E01015027,4,2,11,10,4,31,,,
E01015028,4,4,8,7,3,25,,,
E01015029,4,6,13,7,3,32,,,
E01015030,4,4,9,7,3,26,,,
E01015031,7,4,7,5,3,25,,,
E01015032,19,4,6,3,1,34,,,
E01015033,3,1,8,8,3,24,,,
E01015034,3,1,8,6,4,23,,,
E01015035,2,2,6,5,2,16,,,
E01015036,2,1,6,4,3,17,,,
E01015037,2,3,8,9,4,27,,,
E01015038,2,2,7,5,2,18,,,
E01015039,3,5,7,5,2,22,,,
E01015040,4,3,9,7,2,26,,,
E01015041,3,4,9,7,2,26,,,
E01015042,3,5,9,6,2,26,,,
E01015043,5,4,9,6,1,25,,,
E01015044,4,4,9,6,2,26,,,
E01015045,5,5,8,6,2,26,,,
E01015046,4,5,9,6,3,27,,,
E01015047,5,5,11,8,3,31,,,
E01015048,6,7,10,5,1,29,,,
E01015049,14,3,6,4,2,28,,,
E01015050,24,4,4,2,1,36,,,
E01015051,27,2,5,2,2,38,,,
E01015052,19,4,7,4,2,36,,,
E01015053,14,2,4,4,1,24,,,
E01015054,32,2,3,2,1,40,,,
E01015055,3,3,10,8,3,26,,,
E01015056,3,5,8,9,4,29,,,
E01015057,5,4,10,6,3,28,,,
E01015058,5,4,9,8,2,28,,,
E01015059,3,4,11,7,2,28,,,
E01015060,5,3,9,7,3,27,,,
E01015061,8,4,9,5,2,27,,,
E01015062,21,4,7,4,2,37,,,
E01015063,3,4,7,7,3,25,,,
E01015064,3,1,6,9,5,24,,,
E01015065,2,2,4,4,3,14,,,
E01015066,1,2,5,5,2,15,,,
E01015067,2,1,7,7,5,22,,,
E01015068,2,2,6,4,2,16,,,
E01015069,4,3,9,7,3,27,,,
E01015070,5,7,18,13,4,47,,,
E01015071,3,2,10,8,4,27,,,
E01015072,4,4,9,8,3,27,,,
E01015073,3,3,7,9,3,26,,,
E01015074,3,3,8,7,4,25,,,
E01015075,4,3,8,7,4,26,,,
E01015076,4,3,10,8,3,27,,,
E01015077,4,5,10,9,5,33,,,
E01015078,4,4,9,8,3,27,,,
E01015079,3,3,10,9,4,29,,,
E01015080,1,2,5,3,1,12,,,
E01015081,3,3,10,7,3,27,,,
E01015082,4,3,8,9,3,27,,,
E01015083,5,3,8,8,4,28,,,
E01015084,3,2,9,8,4,26,,,
E01015085,3,3,8,9,5,28,,,
E01015086,3,3,7,8,4,24,,,
E01015087,5,3,11,7,2,28,,,
E01015088,6,5,9,5,2,28,,,
E01015089,4,4,8,8,4,28,,,
E01015090,1,1,4,5,2,14,,,
E01015091,4,1,7,12,5,29,,,
E01015092,12,4,10,7,3,36,,,
E01015093,2,2,7,10,3,25,,,
E01015094,4,3,7,8,3,24,,,
E01015095,3,2,8,6,5,24,,,
E01015096,3,2,9,8,4,26,,,
E01015097,2,1,5,7,5,19,,,
E01015098,2,2,6,4,2,16,,,
E01015099,3,2,7,4,1,17,,,
E01015100,3,3,6,4,1,16,,,
E01015101,2,1,8,8,5,24,,,
E01015102,4,5,11,8,3,30,,,
E01015103,2,2,6,4,1,16,,,
E01015104,3,2,9,6,3,23,,,
E01015105,3,3,10,6,3,24,,,
E01015106,3,3,7,7,3,23,,,
E01015107,4,4,10,7,2,28,,,
E01015108,2,4,6,5,2,18,,,
E01015109,4,3,9,10,3,28,,,
E01015110,3,2,8,8,3,23,,,
E01015111,2,3,6,4,1,17,,,
E01015112,2,2,6,5,2,16,,,
E01015113,2,2,5,5,2,16,,,
E01015114,1,1,5,5,2,15,,,
E01015115,2,2,8,7,6,25,,,
E01015116,3,3,9,8,4,26,,,
E01015117,2,2,5,6,2,17,,,
E01015118,2,2,11,6,4,26,,,
E01015119,2,2,7,4,2,17,,,
E01015120,2,1,6,5,2,17,,,
E01015121,2,1,7,7,5,22,,,
E01015122,2,1,6,4,3,16,,,
E01015123,3,2,9,9,9,32,,,
E01015124,1,1,5,5,3,15,,,
E01015125,2,1,5,5,3,16,,,
E01015126,2,1,6,6,6,21,,,
E01015127,2,1,5,5,3,15,,,
E01015128,2,1,4,5,3,17,,,
E01015129,4,4,10,8,3,29,,,
E01015130,3,3,9,7,2,24,,,
E01015131,2,1,7,7,6,22,,,
E01015132,3,2,8,9,6,28,,,
E01015133,2,1,7,7,5,23,,,
E01015134,2,2,5,4,3,16,,,
E01015135,5,3,11,9,4,31,,,
E01015136,3,2,9,8,4,26,,,
E01015137,2,2,6,5,2,16,,,
