Area,16 to 24
E92000001,
E12000009,
E01015023,0.041516575
E01015024,0.043786047
E01015025,0.032260929
E01015026,0.041051402
E01015027,0.044319484
E01015028,0.041254516
E01015029,0.042150131
E01015030,0.041328125
E01015031,0.039084243
E01015032,0.041363971
E01015033,0.036328704
E01015034,0.034347826
E01015035,0.024331845
E01015036,0.023044693
E01015037,0.042362637
E01015038,0.024637602
E01015039,0.042807466
E01015040,0.043198988
E01015041,0.043019672
E01015042,0.042498339
E01015043,0.043588235
E01015044,0.042463576
E01015045,0.041452681
E01015046,0.040745914
E01015047,0.042631651
E01015048,0.041937861
E01015049,0.043350153
E01015050,0.040385051
E01015051,0.043080682
E01015052,0.042334495
E01015053,0.042477273
E01015054,0.041654849
E01015055,0.042781906
E01015056,0.039532698
E01015057,0.042136432
E01015058,0.043028744
E01015059,0.042768161
E01015060,0.04233125
E01015061,0.042686998
E01015062,0.043522459
E01015063,0.040270701
E01015064,0.033421637
E01015065,0.022263934
E01015066,0.024145663
E01015067,0.033382398
E01015068,0.024196402
E01015069,0.040810448
E01015070,0.044856053
E01015071,0.040329803
E01015072,0.042118565
E01015073,0.041438312
E01015074,0.040098413
E01015075,0.041167203
E01015076,0.044643092
E01015077,0.039567857
E01015078,0.041967341
E01015079,0.042608631
E01015080,0.043116197
E01015081,0.041936826
E01015082,0.041328267
E01015083,0.041354354
E01015084,0.041774878
E01015085,0.039170183
E01015086,0.039537829
E01015087,0.044812199
E01015088,0.042412121
E01015089,0.039040222
E01015090,0.024475265
E01015091,0.042516082
E01015092,0.043880395
E01015093,0.041568528
E01015094,0.040616667
E01015095,0.038118297
E01015096,0.041750789
E01015097,0.021625971
E01015098,0.02464688
E01015099,0.02538914
E01015100,0.024914861
E01015101,0.033506849
E01015102,0.043558952
E01015103,0.025558824
E01015104,0.037053571
E01015105,0.037196621
E01015106,0.042298701
E01015107,0.044983845
E01015108,0.023894668
E01015109,0.044560127
E01015110,0.036914013
E01015111,0.024887574
E01015112,0.02450536
E01015113,0.02354858
E01015114,0.023644444
E01015115,0.037319149
E01015116,0.042233444
E01015117,0.024687034
E01015118,0.035862553
E01015119,0.0255997
E01015120,0.024304161
E01015121,0.033278027
E01015122,0.023267964
E01015123,0.038003521
E01015124,0.02239207
E01015125,0.023677661
E01015126,0.03094387
E01015127,0.022713235
E01015128,0.022391892
E01015129,0.044365325
E01015130,0.037270016
E01015131,0.03184
E01015132,0.04030219
E01015133,0.032856938
E01015134,0.022562319
E01015135,0.043324438
E01015136,0.042957724
E01015137,0.024354167
E01015138,0.023876217
E01015139,0.040962838
E01015140,0.030440758
E01015141,0.034578608
E01015142,0.040921502
E01015143,0.039645045
E01015144,0.043530844
E01015145,0.043427408
E01015146,0.044458108
E01015147,0.039137803
E01015148,0.041443598
E01015149,0.041115824
E01015150,0.039543046
E01015151,0.043582985
E01015152,0.042133793
E01015153,0.041487382
E01015155,0.043333333
E01015156,0.041691412
E01015157,0.040950644
E01015158,0.038366799
E01015159,0.038576177
E01015160,0.034089063
E01015161,0.039272868
E01015162,0.040385965
E01015163,0.04075228
E01015164,0.044938499
E01015165,0.025329154
E01015166,0.040497055
E01015167,0.04403645
E01015168,0.042709318
E01015169,0.040936508
E01015170,0.040790419
E01015171,0.041109859
E01015172,0.042354839
E01015173,0.04052924
E01015174,0.044604749
E01015175,0.041723765
E01015176,0.041218299
E01015177,0.042197977
E01015178,0.041354878
E01015179,0.04453
E01015180,0.041135908
E01015181,0.041973494
E01015182,0.042300261
E01015183,0.038896382
E01015184,0.035445161
E01015185,0.037152709
E01015186,0.041208754
E01015187,0.037281669
E01015188,0.039707493
E01015189,0.040064386
E01015190,0.040609375
E01015191,0.045331352
E01015192,0.042429027
E01015193,0.040062057
E01015194,0.041679934
E01015195,0.041401399
E01015196,0.043821898
E01015197,0.031512158
E01015198,0.021291498
E01015199,0.02999689
E01015200,0.040818985
E01015201,0.022345902
E01015202,0.043825617
E01015203,0.023147425
E01015204,0.041223752
E01015205,0.042282095
E01015206,0.040505263
E01015207,0.044474164
E01015208,0.031755708
E01015209,0.038552588
E01015210,0.041958333
E01015211,0.023709677
E01015212,0.04347331
E01015213,0.043286207
E01015214,0.041643617
E01015215,0.043792422
E01015216,0.041660959
E01015217,0.042145286
E01015218,0.04200165
E01015219,0.035611455
E01015220,0.0416979
E01015221,0.041247761
E01015222,0.040257598
E01015223,0.024921101
E01015224,0.0424816
E01015225,0.041876524
E01015226,0.02282194
E01015227,0.02310089
E01015228,0.036328424
E01015229,0.036477011
E01015230,0.021100752
E01015231,0.040974249
E01015232,0.038715789
E01015233,0.039368336
E01015234,0.042379747
E01015235,0.033541176
E01015236,0.040062038
E01015237,0.043121547
