Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,1,7,8,9,2,29
E01015024,1,3,5,8,2,19
E01015025,0,1,2,4,2,11
E01015026,1,11,7,8,2,30
E01015027,1,4,5,7,2,19
E01015028,1,8,5,8,2,24
E01015029,1,6,6,7,2,22
E01015030,1,7,8,9,3,28
E01015031,2,9,5,6,2,23
E01015032,7,11,6,5,2,30
E01015033,1,1,3,4,1,11
E01015034,0,1,2,3,1,9
E01015035,1,3,4,4,1,13
E01015036,0,2,3,4,2,11
E01015037,1,3,3,5,2,15
E01015038,1,3,4,5,1,15
E01015039,3,18,8,5,1,34
E01015040,1,4,7,8,2,21
E01015041,1,6,6,7,2,22
E01015042,1,7,7,7,1,23
E01015043,1,9,7,7,2,26
E01015044,1,11,7,8,3,30
E01015045,1,10,7,9,1,29
E01015046,1,9,7,11,3,32
E01015047,2,7,6,9,3,27
E01015048,2,11,9,9,2,32
E01015049,4,4,2,4,1,16
E01015050,7,8,3,3,1,22
E01015051,6,3,2,2,1,14
E01015052,7,9,6,5,1,28
E01015053,4,4,4,5,2,19
E01015054,8,3,2,3,1,16
E01015055,1,5,6,9,2,24
E01015056,1,7,6,10,3,26
E01015057,1,6,7,8,2,24
E01015058,2,7,6,6,2,22
E01015059,1,7,7,8,2,26
E01015060,1,7,6,6,3,23
E01015061,2,7,5,5,1,20
E01015062,5,6,4,3,1,19
E01015063,1,8,5,6,2,22
E01015064,0,2,3,4,2,11
E01015065,0,2,2,3,2,10
E01015066,0,2,3,4,2,12
E01015067,0,1,2,4,2,10
E01015068,1,3,4,4,2,13
E01015069,1,6,6,7,2,23
E01015070,1,8,9,9,3,31
E01015071,1,4,6,9,3,22
E01015072,1,7,7,9,2,25
E01015073,1,7,7,10,2,27
E01015074,1,6,6,8,3,25
E01015075,0,3,5,7,3,18
E01015076,1,4,5,6,2,18
E01015077,1,7,7,10,2,28
E01015078,1,7,6,8,2,24
E01015079,1,4,4,7,2,18
E01015080,1,3,4,3,1,12
E01015081,1,6,6,8,2,23
E01015082,1,9,6,9,3,29
E01015083,1,7,7,10,3,28
E01015084,1,4,5,8,3,21
E01015085,1,6,6,8,3,23
E01015086,1,6,5,6,3,21
E01015087,2,7,8,7,2,25
E01015088,1,6,6,5,2,21
E01015089,1,7,6,8,4,25
E01015090,0,2,2,5,2,12
E01015091,1,3,3,8,3,18
E01015092,2,4,4,4,2,16
E01015093,1,4,6,9,3,22
E01015094,1,4,4,7,3,19
E01015095,1,4,5,6,4,20
E01015096,1,4,5,7,3,21
E01015097,0,2,3,6,4,16
E01015098,1,4,4,4,1,13
E01015099,1,4,4,3,1,13
E01015100,1,4,4,4,1,13
E01015101,0,1,3,4,1,10
E01015102,1,7,6,7,2,23
E01015103,0,4,4,4,1,14
E01015104,0,2,3,4,1,11
E01015105,0,3,3,4,1,11
E01015106,1,3,4,5,2,15
E01015107,1,5,5,5,1,17
E01015108,1,5,4,4,1,14
E01015109,1,5,5,7,2,19
E01015110,0,2,3,5,1,12
E01015111,0,5,5,4,1,14
E01015112,0,3,4,4,1,12
E01015113,0,2,4,4,2,12
E01015114,0,2,4,5,1,13
E01015115,1,5,4,6,3,19
E01015116,1,3,4,6,3,17
E01015117,0,3,3,5,2,13
E01015118,0,2,4,3,1,11
E01015119,1,3,4,5,1,14
E01015120,0,2,3,5,2,13
E01015121,0,1,2,3,2,9
E01015122,1,3,4,4,2,13
E01015123,1,3,5,7,3,19
E01015124,0,2,4,4,2,12
E01015125,1,2,4,4,2,12
E01015126,0,1,2,3,2,8
E01015127,0,2,3,4,2,12
E01015128,0,3,2,5,2,13
E01015129,1,4,5,5,1,16
E01015130,1,2,3,4,1,11
E01015131,0,1,2,4,2,9
E01015132,1,3,4,5,2,16
E01015133,0,1,2,4,2,10
E01015134,0,3,3,3,1,11
E01015135,1,3,5,6,2,18
E01015136,1,3,4,6,2,16
E01015137,0,2,3,5,2,13
E01015138,0,1,4,6,2,14
E01015139,1,3,4,6,2,16
E01015140,0,2,2,3,2,9
E01015141,0,2,3,5,2,12
E01015142,1,6,5,10,3,24
E01015143,1,4,5,8,3,21
E01015144,1,8,6,9,2,26
E01015145,1,9,7,5,1,22
E01015146,1,8,8,9,2,28
E01015147,1,4,5,7,3,18
E01015148,1,7,6,6,2,23
E01015149,1,6,6,7,3,23
E01015150,1,5,5,10,3,24
E01015151,5,10,6,8,2,30
E01015152,3,11,7,9,3,33
E01015153,2,8,7,10,3,30
E01015155,2,12,8,11,3,36
E01015156,4,10,7,8,3,32
E01015157,2,20,11,16,4,53
E01015158,3,16,8,11,4,43
E01015159,1,5,6,9,3,23
