Area,16 to 24
E92000001,
E12000009,
E01015023,0.04079661
E01015024,0.029893142
E01015025,0.015589102
E01015026,0.044637181
E01015027,0.028293179
E01015028,0.042793165
E01015029,0.03655082
E01015030,0.041765766
E01015031,0.036244961
E01015032,0.02796186
E01015033,0.016455099
E01015034,0.016220532
E01015035,0.0208608
E01015036,0.019924596
E01015037,0.028351351
E01015038,0.020703448
E01015039,0.02883852
E01015040,0.043525105
E01015041,0.041340074
E01015042,0.039746599
E01015043,0.04401505
E01015044,0.044121701
E01015045,0.04392006
E01015046,0.042564069
E01015047,0.042515674
E01015048,0.042412385
E01015049,0.018845036
E01015050,0.023616193
E01015051,0.015612798
E01015052,0.028880829
E01015053,0.029047546
E01015054,0.019134911
E01015055,0.041768959
E01015056,0.039281437
E01015057,0.042296429
E01015058,0.040008897
E01015059,0.040068323
E01015060,0.037552066
E01015061,0.034408935
E01015062,0.019393939
E01015063,0.038553982
E01015064,0.015873239
E01015065,0.019138554
E01015066,0.020998276
E01015067,0.015158295
E01015068,0.019857805
E01015069,0.037476974
E01015070,0.029396535
E01015071,0.037556684
E01015072,0.042302829
E01015073,0.043086124
E01015074,0.0401248
E01015075,0.044026961
E01015076,0.029541946
E01015077,0.038138122
E01015078,0.041025253
E01015079,0.029133226
E01015080,0.039221854
E01015081,0.039861831
E01015082,0.042705357
E01015083,0.041678519
E01015084,0.035788562
E01015085,0.038112195
E01015086,0.040330116
E01015087,0.040502392
E01015088,0.040759542
E01015089,0.037231689
E01015090,0.020780576
E01015091,0.028294931
E01015092,0.02480721
E01015093,0.03895993
E01015094,0.036787763
E01015095,0.035231834
E01015096,0.03954797
E01015097,0.019057043
E01015098,0.020009132
E01015099,0.021441026
E01015100,0.020612954
E01015101,0.016573506
E01015102,0.029938911
E01015103,0.02228479
E01015104,0.017686985
E01015105,0.018028099
E01015106,0.02765666
E01015107,0.029627148
E01015108,0.021542348
E01015109,0.030091627
E01015110,0.017261735
E01015111,0.023217886
E01015112,0.020647059
E01015113,0.019747557
E01015114,0.020805601
E01015115,0.03416458
E01015116,0.02746458
E01015117,0.02159596
E01015118,0.016554331
E01015119,0.020899381
E01015120,0.020147854
E01015121,0.015532399
E01015122,0.019209653
E01015123,0.025808926
E01015124,0.018795069
E01015125,0.019597134
E01015126,0.014705357
E01015127,0.019179739
E01015128,0.019793262
E01015129,0.030489279
E01015130,0.017259319
E01015131,0.014549521
E01015132,0.026156406
E01015133,0.015721781
E01015134,0.019570144
E01015135,0.026906585
E01015136,0.027572917
E01015137,0.020683442
E01015138,0.02004519
E01015139,0.026846021
E01015140,0.015783394
E01015141,0.016470672
E01015142,0.040212838
E01015143,0.037818681
E01015144,0.042158833
E01015145,0.047071279
E01015146,0.042307927
E01015147,0.036332016
E01015148,0.037921569
E01015149,0.040125887
E01015150,0.039236629
E01015151,0.034497738
E01015152,0.03879717
E01015153,0.039502591
E01015155,0.042666271
E01015156,0.036104903
E01015157,0.043953604
E01015158,0.038401427
E01015159,0.036883281
E01015160,0.016703827
E01015161,0.036381533
E01015162,0.038187931
E01015163,0.026773748
E01015164,0.029667143
E01015165,0.020649007
E01015166,0.037197415
E01015167,0.039233333
E01015168,0.04106275
E01015169,0.030219239
E01015170,0.04132093
E01015171,0.042756345
E01015172,0.039336352
E01015173,0.038442935
E01015174,0.029095833
E01015175,0.035005602
E01015176,0.040397106
E01015177,0.03511215
E01015178,0.029154555
E01015179,0.021261745
E01015180,0.04194171
E01015181,0.041074658
E01015182,0.042676942
E01015183,0.037626354
E01015184,0.023932727
E01015185,0.035686594
E01015186,0.040796763
E01015187,0.025041739
E01015188,0.025431438
E01015189,0.037810502
E01015190,0.038985316
E01015191,0.028883573
E01015192,0.040578571
E01015193,0.03589916
E01015194,0.04003663
E01015195,0.037044776
E01015196,0.038242424
E01015197,0.01598145
E01015198,0.018969925
E01015199,0.014737113
E01015200,0.026913793
E01015201,0.019313793
E01015202,0.027294416
E01015203,0.018503745
E01015204,0.037439421
E01015205,0.027526316
E01015206,0.037123264
E01015207,0.028515873
E01015208,0.015506918
E01015209,0.03745614
E01015210,0.040319569
E01015211,0.019772809
E01015212,0.03922619
E01015213,0.028241563
E01015214,0.044081301
E01015215,0.027943005
E01015216,0.039808429
E01015217,0.041775449
E01015218,0.040237931
E01015219,0.033901328
E01015220,0.0268
E01015221,0.028080279
E01015222,0.026801029
E01015223,0.020105058
E01015224,0.026994801
E01015225,0.026928453
E01015226,0.018945133
E01015227,0.020211221
E01015228,0.03560371
E01015229,0.036730072
E01015230,0.017949212
E01015231,0.042294781
E01015232,0.042267943
E01015233,0.040727915
E01015234,0.041564299
E01015235,0.033727394
E01015236,0.037819549
E01015237,0.028511152
