Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,6,11,19,17,6,59
E01015024,4,7,14,17,5,47
E01015025,3,3,9,12,8,34
E01015026,5,16,15,15,5,56
E01015027,5,6,16,18,6,50
E01015028,5,12,13,15,5,49
E01015029,5,12,19,14,5,55
E01015030,5,11,16,16,5,54
E01015031,8,13,11,11,5,48
E01015032,26,15,12,8,3,64
E01015033,3,2,11,13,5,34
E01015034,4,3,10,10,6,31
E01015035,3,5,9,9,3,29
E01015036,2,3,10,8,5,28
E01015037,3,7,11,15,6,42
E01015038,3,5,11,11,4,33
E01015039,6,22,16,10,3,56
E01015040,5,7,16,15,4,46
E01015041,4,11,16,15,4,49
E01015042,4,12,16,14,3,49
E01015043,7,13,16,13,3,52
E01015044,6,15,16,14,5,56
E01015045,6,16,15,15,3,55
E01015046,5,14,17,17,6,60
E01015047,6,12,18,17,5,58
E01015048,8,18,19,14,4,61
E01015049,18,8,8,8,2,44
E01015050,32,12,6,5,3,58
E01015051,33,5,6,5,3,52
E01015052,26,13,13,9,3,64
E01015053,18,6,8,8,3,43
E01015054,40,5,5,5,2,56
E01015055,4,8,16,17,5,50
E01015056,4,11,13,20,7,55
E01015057,6,10,17,14,5,52
E01015058,7,11,15,14,4,51
E01015059,4,12,18,15,4,53
E01015060,7,10,15,13,5,50
E01015061,10,10,14,9,3,47
E01015062,26,10,11,7,3,56
E01015063,4,12,12,14,5,47
E01015064,3,3,9,13,7,35
E01015065,2,3,6,8,5,23
E01015066,2,4,9,9,4,27
E01015067,3,2,8,12,7,32
E01015068,3,5,9,8,4,29
E01015069,5,10,15,14,5,50
E01015070,7,15,27,22,7,78
E01015071,3,6,16,16,7,49
E01015072,5,10,15,17,5,52
E01015073,4,10,14,19,5,53
E01015074,4,10,14,16,7,50
E01015075,4,5,13,14,6,44
E01015076,4,7,15,14,5,45
E01015077,5,12,18,19,7,61
E01015078,5,11,15,16,5,51
E01015079,4,7,14,16,7,47
E01015080,2,5,9,6,2,24
E01015081,5,9,16,15,6,50
E01015082,5,12,14,18,7,56
E01015083,6,10,15,19,6,56
E01015084,4,6,14,16,7,46
E01015085,4,8,14,17,8,51
E01015086,4,8,12,14,7,45
E01015087,7,10,18,14,4,53
E01015088,8,11,16,11,4,49
E01015089,5,11,14,15,8,53
E01015090,1,3,7,10,4,25
E01015091,4,4,11,20,8,48
E01015092,14,9,13,11,4,51
E01015093,2,6,13,19,6,47
E01015094,4,7,12,14,6,44
E01015095,3,7,13,12,9,45
E01015096,4,7,15,16,7,48
E01015097,2,3,8,13,9,36
E01015098,3,6,11,7,3,29
E01015099,3,6,11,7,2,29
E01015100,4,6,10,7,2,29
E01015101,2,2,11,12,7,35
E01015102,4,12,17,14,5,52
E01015103,2,6,11,9,2,29
E01015104,3,4,12,11,4,34
E01015105,3,5,13,10,3,35
E01015106,4,6,11,12,5,38
E01015107,5,9,15,13,3,45
E01015108,3,8,10,9,3,33
E01015109,5,9,14,16,4,47
E01015110,3,4,11,13,4,35
E01015111,3,7,11,8,2,31
E01015112,2,5,9,9,3,28
E01015113,2,4,8,9,4,28
E01015114,2,4,9,9,4,28
E01015115,3,7,12,13,8,44
E01015116,4,6,13,14,6,42
E01015117,2,5,8,11,3,29
E01015118,3,4,15,9,5,36
E01015119,3,5,11,9,3,31
E01015120,3,3,10,10,4,30
E01015121,3,2,9,10,7,31
E01015122,2,4,9,8,5,28
E01015123,4,6,13,16,12,51
E01015124,2,4,8,9,5,27
E01015125,2,4,9,9,4,28
E01015126,2,3,7,9,8,29
E01015127,2,3,7,9,5,27
E01015128,3,4,7,11,6,29
E01015129,4,8,15,13,4,44
E01015130,3,5,13,10,3,34
E01015131,2,2,9,11,8,31
E01015132,4,5,12,14,8,43
E01015133,3,3,10,11,7,33
E01015134,2,4,8,7,4,26
E01015135,6,6,16,15,6,48
E01015136,4,5,14,14,6,42
E01015137,2,4,9,10,4,29
E01015138,2,2,10,12,5,31
E01015139,3,5,11,13,7,40
E01015140,2,5,7,8,7,28
E01015141,3,3,12,13,7,38
E01015142,4,9,12,19,5,48
E01015143,3,7,11,16,6,43
E01015144,5,11,17,15,4,53
E01015145,8,17,18,10,1,54
E01015146,7,13,21,16,3,61
E01015147,3,6,11,13,7,39
E01015148,5,11,15,15,5,50
E01015149,5,9,13,15,6,48
E01015150,4,7,13,18,7,48
E01015151,15,14,16,14,3,62
E01015152,10,15,17,15,6,63
E01015153,7,12,15,18,5,57
E01015155,8,17,17,18,4,65
E01015156,16,13,12,14,5,60
E01015157,6,28,22,27,8,91
E01015158,10,23,17,22,10,82
E01015159,4,7,14,18,9,51
