Area,16 to 24
E92000001,
E12000009,
E01015023,0.041160615
E01015024,0.036937893
E01015025,0.024238129
E01015026,0.042878533
E01015027,0.036358327
E01015028,0.041988841
E01015029,0.039667878
E01015030,0.041551302
E01015031,0.037660187
E01015032,0.033745108
E01015033,0.026323372
E01015034,0.026355407
E01015035,0.022659214
E01015036,0.021679497
E01015037,0.036078788
E01015038,0.022682659
E01015039,0.033025913
E01015040,0.043344538
E01015041,0.042227903
E01015042,0.041138655
E01015043,0.043805272
E01015044,0.043342924
E01015045,0.042713955
E01015046,0.041708392
E01015047,0.042577681
E01015048,0.042186079
E01015049,0.029673649
E01015050,0.031689749
E01015051,0.029026637
E01015052,0.035224535
E01015053,0.035323529
E01015054,0.03110643
E01015055,0.042297639
E01015056,0.039412981
E01015057,0.042209454
E01015058,0.041641047
E01015059,0.041421379
E01015060,0.040008835
E01015061,0.038688797
E01015062,0.030511983
E01015063,0.03945767
E01015064,0.024714885
E01015065,0.020859206
E01015066,0.02261293
E01015067,0.024284195
E01015068,0.022060122
E01015069,0.03922457
E01015070,0.037163314
E01015071,0.039020767
E01015072,0.042207729
E01015073,0.042269509
E01015074,0.040111554
E01015075,0.0423
E01015076,0.037167774
E01015077,0.03890601
E01015078,0.041514956
E01015079,0.036125869
E01015080,0.041109215
E01015081,0.040958469
E01015082,0.04202406
E01015083,0.041517524
E01015084,0.038872269
E01015085,0.038679487
E01015086,0.039902309
E01015087,0.0426504
E01015088,0.041680743
E01015089,0.038169784
E01015090,0.022644385
E01015091,0.035581273
E01015092,0.035482402
E01015093,0.040283262
E01015094,0.038833482
E01015095,0.036741749
E01015096,0.040735544
E01015097,0.020372159
E01015098,0.022328006
E01015099,0.023538462
E01015100,0.02278577
E01015101,0.025736842
E01015102,0.036436806
E01015103,0.023913821
E01015104,0.027441537
E01015105,0.027963376
E01015106,0.035018657
E01015107,0.037542048
E01015108,0.02279681
E01015109,0.037320158
E01015110,0.026534185
E01015111,0.024092177
E01015112,0.022665865
E01015113,0.02172954
E01015114,0.022251415
E01015115,0.035870173
E01015116,0.034830718
E01015117,0.023235573
E01015118,0.026767062
E01015119,0.023287129
E01015120,0.022332579
E01015121,0.025106452
E01015122,0.021246431
E01015123,0.032430848
E01015124,0.020636842
E01015125,0.021698842
E01015126,0.023592563
E01015127,0.021039474
E01015128,0.021173726
E01015129,0.038223469
E01015130,0.027424242
E01015131,0.023677225
E01015132,0.033691291
E01015133,0.024740964
E01015134,0.021227127
E01015135,0.03547033
E01015136,0.035517212
E01015137,0.022598602
E01015138,0.022005694
E01015139,0.033988889
E01015140,0.023599832
E01015141,0.025997288
E01015142,0.040565365
E01015143,0.038739328
E01015144,0.042844282
E01015145,0.044859143
E01015146,0.043447708
E01015147,0.037776606
E01015148,0.039743691
E01015149,0.040641461
E01015150,0.039388206
E01015151,0.038566521
E01015152,0.040335029
E01015153,0.040397582
E01015155,0.042960875
E01015156,0.038558824
E01015157,0.042645161
E01015158,0.038385049
E01015159,0.037784661
E01015160,0.025669621
E01015161,0.037911403
E01015162,0.039329743
E01015163,0.034209378
E01015164,0.0378731
E01015165,0.02305314
E01015166,0.038845294
E01015167,0.041527631
E01015168,0.04186921
E01015169,0.035129697
E01015170,0.041051028
E01015171,0.041975968
E01015172,0.040847545
E01015173,0.039447887
E01015174,0.036828691
E01015175,0.038201909
E01015176,0.040808032
E01015177,0.03851492
E01015178,0.034721758
E01015179,0.032533564
E01015180,0.041558804
E01015181,0.041493543
E01015182,0.042493976
E01015183,0.038290878
E01015184,0.030033333
E01015185,0.036455642
E01015186,0.041009565
E01015187,0.031633226
E01015188,0.033099845
E01015189,0.039008556
E01015190,0.03981083
E01015191,0.037398462
E01015192,0.041556024
E01015193,0.038156731
E01015194,0.040899043
E01015195,0.039293863
E01015196,0.041309791
E01015197,0.02415028
E01015198,0.020193457
E01015199,0.022746939
E01015200,0.034246799
E01015201,0.020868067
E01015202,0.035940274
E01015203,0.020886964
E01015204,0.039378307
E01015205,0.034922947
E01015206,0.038935536
E01015207,0.036668478
E01015208,0.024025135
E01015209,0.038046763
E01015210,0.04120083
E01015211,0.021843087
E01015212,0.041465291
E01015213,0.035875766
E01015214,0.042779356
E01015215,0.036054806
E01015216,0.040786618
E01015217,0.041957414
E01015218,0.041139123
E01015219,0.034843137
E01015220,0.034459302
E01015221,0.035177796
E01015222,0.034099686
E01015223,0.022583569
E01015224,0.035047421
E01015225,0.034729515
E01015226,0.020987437
E01015227,0.021732813
E01015228,0.035990566
E01015229,0.036588942
E01015230,0.019644822
E01015231,0.041639205
E01015232,0.040576441
E01015233,0.040017722
E01015234,0.041984171
E01015235,0.033628589
E01015236,0.03895082
E01015237,0.035850139
