Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,
E01015023,15,15,15,15,15,20,25,25,25,30,30,30,35,35,30
E01015024,10,15,10,15,15,10,10,10,10,10,15,15,15,15,10
E01015025,5,5,5,5,5,10,10,5,10,10,10,15,10,15,10
E01015026,10,10,10,15,15,15,20,20,25,20,20,20,25,25,15
E01015027,5,10,10,5,5,10,10,5,15,15,15,20,20,15,10
E01015028,10,10,15,15,15,20,20,20,15,20,15,20,20,25,25
E01015029,10,10,15,15,20,10,10,15,25,25,25,25,20,20,25
E01015030,10,15,15,20,20,25,25,20,30,20,20,25,25,25,20
E01015031,5,0,5,5,5,10,5,5,15,15,15,15,15,10,5
E01015032,5,5,5,5,10,5,10,10,10,10,15,10,5,15,10
E01015033,5,5,5,10,10,20,10,10,10,15,15,15,10,15,10
E01015034,5,5,0,5,0,5,10,5,5,5,5,5,5,5,0
E01015035,10,10,10,10,15,15,15,15,15,15,20,15,15,15,15
E01015036,5,5,0,5,0,0,5,5,5,5,10,10,10,10,5
E01015037,5,10,10,10,5,5,10,10,10,10,10,20,20,15,20
E01015038,10,5,0,0,5,0,0,5,5,10,10,15,15,15,10
E01015039,5,5,10,10,10,5,5,5,10,10,15,10,15,15,10
E01015040,15,10,15,20,20,25,25,20,25,25,20,25,25,25,20
E01015041,5,10,10,15,15,15,10,20,10,20,15,20,15,20,15
E01015042,10,5,10,5,5,15,15,15,15,15,15,25,20,25,15
E01015043,10,10,15,10,10,15,20,20,20,15,30,25,25,25,25
E01015044,10,10,10,10,10,15,10,10,10,5,10,5,10,5,0
E01015045,5,15,5,5,10,10,5,15,15,15,15,20,15,15,15
E01015046,10,10,15,15,20,20,25,30,25,25,20,30,20,25,25
E01015047,15,15,15,15,20,25,20,20,30,30,25,30,30,30,20
E01015048,10,10,5,10,10,5,10,10,5,15,15,20,25,25,15
E01015049,5,5,0,5,5,5,5,5,10,10,15,15,10,10,10
E01015050,5,5,5,5,5,5,5,10,10,10,15,15,10,15,5
E01015051,0,0,5,5,5,5,5,10,5,10,5,5,5,10,15
E01015052,5,5,5,5,10,5,10,10,5,15,10,10,10,15,10
E01015053,5,0,5,10,5,5,10,0,5,5,15,10,5,5,5
E01015054,0,5,5,5,5,0,10,5,5,5,10,10,5,10,5
E01015055,5,10,5,20,15,20,25,25,25,35,30,30,25,25,20
E01015056,10,15,10,10,10,10,10,10,5,15,15,15,20,15,10
E01015057,10,10,10,10,10,10,15,20,20,20,20,30,35,25,20
E01015058,10,15,15,10,15,20,20,20,20,20,20,15,25,20,25
E01015059,5,10,15,15,10,10,10,10,15,20,25,25,25,25,20
E01015060,10,5,10,10,20,20,20,25,20,25,15,20,20,20,15
E01015061,5,5,10,5,5,5,15,15,10,10,15,15,15,15,10
E01015062,0,5,10,10,10,10,10,10,10,5,15,10,15,10,15
E01015063,5,10,10,10,15,15,15,20,15,15,20,15,20,25,20
E01015064,10,10,5,5,5,0,5,10,10,10,15,10,15,15,15
E01015065,0,0,0,5,5,10,10,15,10,15,10,10,10,10,15
E01015066,10,10,10,5,5,10,10,5,5,10,10,10,15,10,10
E01015067,10,10,10,10,5,10,10,10,10,10,20,20,15,20,10
E01015068,10,10,10,10,15,15,10,15,20,20,20,25,20,20,15
E01015069,10,10,10,20,10,10,10,10,15,15,20,20,25,20,15
E01015070,10,10,15,10,15,15,15,20,20,20,20,30,35,40,35
E01015071,10,5,5,5,5,10,5,10,5,10,10,10,15,15,10
E01015072,20,25,20,25,25,25,25,25,20,25,20,25,20,30,20
E01015073,15,15,20,25,25,20,20,25,25,25,30,35,35,30,20
E01015074,15,10,10,10,15,15,20,20,25,30,30,30,35,30,30
E01015075,10,10,10,10,15,15,20,20,25,35,25,30,20,25,20
E01015076,10,5,10,10,10,15,10,15,10,15,15,15,20,20,15
E01015077,5,10,10,15,15,10,15,15,20,25,20,25,25,25,20
E01015078,15,15,15,10,20,25,30,30,20,20,20,20,20,20,15
E01015079,10,10,10,15,15,15,20,25,20,15,20,30,30,30,25
E01015080,5,0,5,10,10,10,15,25,25,20,15,10,15,10,10
E01015081,20,20,20,20,20,25,25,25,30,30,35,20,20,20,20
E01015082,20,20,20,20,20,20,20,25,25,30,25,35,35,35,30
E01015083,15,20,15,25,20,20,20,30,25,20,30,30,25,25,25
E01015084,10,10,15,15,15,20,25,20,25,25,25,20,25,30,25
E01015085,15,5,10,10,10,10,10,20,20,20,20,20,25,25,15
E01015086,10,15,10,10,10,15,15,20,20,25,20,25,30,25,15
E01015087,25,25,30,20,30,25,40,45,45,40,35,35,35,35,30
