Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,
E01015023,0.006776765,0.006818743,0.006667312,0.006396133,0.006328717,0.007388987,0.008504214,0.008520641,0.008654376,0.009274446,0.008926687,0.00899248,0.009447138,0.009447138,0.008696048
E01015024,0.004975975,0.006192249,0.005163569,0.006227279,0.006304553,0.004942895,0.005058185,0.005241571,0.005122909,0.005173834,0.006503194,0.006587514,0.0065744,0.0065744,0.00518931
E01015025,0.003593668,0.003712196,0.003609033,0.003740987,0.003753463,0.005854785,0.006038179,0.00391901,0.006145117,0.00613787,0.006225977,0.008188173,0.006489933,0.008218739,0.006489933
E01015026,0.005148246,0.005102818,0.005087853,0.006365312,0.006140437,0.006134733,0.007271641,0.007605575,0.008586988,0.007481308,0.007438413,0.007424224,0.008120648,0.008120648,0.006100734
E01015027,0.003201783,0.004714546,0.00473169,0.003013204,0.00303487,0.004723103,0.004797108,0.00318367,0.006346962,0.00629254,0.006256774,0.007340212,0.007510181,0.006383769,0.005038598
E01015028,0.00648185,0.006506158,0.007980413,0.007542951,0.007594993,0.008871044,0.008942381,0.008952665,0.007293085,0.008625304,0.007237146,0.008365751,0.00817252,0.009243776,0.009243776
E01015029,0.005033725,0.004647193,0.005715354,0.00577028,0.006719261,0.004545722,0.004541755,0.005841731,0.007736118,0.007648922,0.007635682,0.00793798,0.007016025,0.007016025,0.00793798
E01015030,0.005719669,0.007074363,0.007221321,0.008189717,0.008138343,0.009282679,0.00911956,0.00817252,0.010078873,0.007811655,0.007803823,0.00898947,0.008962075,0.008962075,0.00792297
E01015031,0.003076346,0,0.00318367,0.003367849,0.003207867,0.004896393,0.00310749,0.002955185,0.005627697,0.005561356,0.005810894,0.005795597,0.006006418,0.004740309,0.003079152
E01015032,0.002886964,0.002807742,0.002821821,0.002706467,0.003675715,0.002248652,0.003313046,0.003144887,0.003111049,0.003059837,0.003888311,0.002896369,0.001831506,0.003576673,0.002821014
E01015033,0.003578434,0.003496902,0.003651971,0.005416115,0.005438754,0.008062478,0.005478831,0.00547307,0.005438754,0.00675597,0.006783726,0.006701134,0.005360335,0.0067907,0.005360335
E01015034,0.00395574,0.003914467,0,0.003804209,0,0.003766022,0.005822038,0.00383445,0.003974365,0.004036125,0.004002633,0.00413498,0.004070182,0.004070182,0
E01015035,0.005284144,0.005168696,0.00525215,0.005241571,0.00675597,0.006660588,0.006674049,0.006797689,0.00662053,0.006627173,0.007688207,0.006776765,0.006633829,0.006633829,0.006633829
E01015036,0.003997894,0.003891907,0,0.003974365,0,0,0.003900899,0.003979049,0.003951111,0.003932704,0.006094745,0.006116231,0.006370773,0.006370773,0.00414005
E01015037,0.004036125,0.006123427,0.006410004,0.006270986,0.004114823,0.004109815,0.006410004,0.006489933,0.006596869,0.006522465,0.006301355,0.009120497,0.009077952,0.007719262,0.009077952
E01015038,0.005107826,0.003354465,0,0,0.003189685,0,0,0.003104632,0.003062395,0.004553676,0.00449081,0.005715354,0.005826271,0.005826271,0.004597927
E01015039,0.002459989,0.002398821,0.003426465,0.00329209,0.003183357,0.001992546,0.001934331,0.00184653,0.002707995,0.002727865,0.003605964,0.003150598,0.003989299,0.003989299,0.003146788
E01015040,0.006561337,0.005278785,0.006667312,0.007757162,0.007811655,0.008603736,0.008898797,0.008045811,0.009091368,0.008792375,0.007835244,0.008934846,0.009214811,0.009214811,0.00814686
E01015041,0.003394938,0.005321967,0.005199679,0.006548327,0.0066808,0.006408545,0.005168696,0.007780423,0.00539926,0.007890843,0.006897067,0.007819502,0.00658095,0.007741732,0.00658095
E01015042,0.005321967,0.003301979,0.005082885,0.003204822,0.003232435,0.006244942,0.006359184,0.006433514,0.006660588,0.006465001,0.006389945,0.00862055,0.007546587,0.008537132,0.006414769
E01015043,0.005815533,0.005719669,0.007021717,0.005220541,0.005278785,0.0066139,0.007531982,0.007590742,0.007726363,0.006427254,0.009825245,0.008688468,0.008553686,0.008553686,0.008553686
E01015044,0.005048373,0.004985508,0.004933524,0.004901004,0.004634778,0.005930908,0.004928852,0.004846242,0.00486891,0.00310749,0.004740309,0.003026709,0.004655506,0.003023998,0
E01015045,0.003979049,0.007904013,0.004457012,0.004427789,0.006613634,0.006378581,0.003830101,0.006875528,0.006509604,0.006389945,0.006100734,0.007092741,0.005946928,0.005946928,0.005946928
E01015046,0.005907952,0.005738588,0.007127805,0.00675597,0.007517434,0.007347141,0.007695628,0.0082131,0.006922667,0.006884849,0.006239868,0.008389589,0.006713466,0.007596234,0.007596234
