Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,0.006,0.007,0.007,0.008,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.011,0.011,0.011,0.009
E12000009,0.006,0.006,0.007,0.007,0.008,0.008,0.009,0.009,0.01,0.01,0.011,0.012,0.012,0.012,0.011
E01015023,0.015447992,0.015544041,0.015197568,0.014577259,0.014423077,0.019083969,0.024271845,0.024319066,0.024703557,0.028763183,0.027675277,0.027881041,0.031446541,0.031446541,0.026954178
E01015024,0.009578544,0.014111007,0.009940358,0.014191107,0.014367816,0.009514748,0.009737098,0.010090817,0.009861933,0.009960159,0.014822134,0.015015015,0.014985015,0.014985015,0.00999001
E01015025,0.005324814,0.00550055,0.005347594,0.005543237,0.005561735,0.011273957,0.011627907,0.005807201,0.01183432,0.011820331,0.011990408,0.01867995,0.0125,0.01875,0.0125
E01015026,0.009910803,0.009823183,0.009794319,0.01450677,0.013992537,0.013979497,0.018779343,0.019646365,0.024509804,0.019323671,0.019212296,0.019175455,0.023169601,0.023169601,0.013901761
E01015027,0.004743833,0.00907441,0.009107468,0.004464286,0.004496403,0.009090909,0.00923361,0.004716981,0.014464802,0.014340344,0.014258555,0.018957346,0.019398642,0.014548982,0.009699321
E01015028,0.012484395,0.012531328,0.018203883,0.017201835,0.017321016,0.02293578,0.023121387,0.023148148,0.016629712,0.022296544,0.01650165,0.021621622,0.021119324,0.026399155,0.026399155
E01015029,0.009689922,0.008944544,0.013020833,0.013146363,0.017346054,0.008748906,0.008741259,0.013309672,0.022065313,0.021815009,0.021777003,0.022644928,0.018115942,0.018115942,0.022644928
E01015030,0.011013216,0.016129032,0.016465423,0.021164021,0.021030494,0.026511135,0.026041667,0.021119324,0.031282586,0.020181635,0.02016129,0.025667351,0.025588536,0.025588536,0.020470829
E01015031,0.004557885,0,0.004716981,0.00499002,0.004752852,0.009425071,0.004604052,0.004378284,0.012820513,0.012668919,0.013239188,0.013204225,0.013686131,0.009124088,0.004562044
E01015032,0.00427716,0.004159734,0.004180602,0.004009623,0.007072136,0.003331113,0.006373486,0.006049607,0.00598444,0.005885815,0.008849558,0.005571031,0.002712968,0.008138904,0.005425936
E01015033,0.005302227,0.005181347,0.005411255,0.010427529,0.010471204,0.020833333,0.010548523,0.010537408,0.010471204,0.015400411,0.015463918,0.015274949,0.010319917,0.015479876,0.010319917
E01015034,0.005861665,0.005800464,0,0.005636979,0,0.005580357,0.011210762,0.005681818,0.005889282,0.005980861,0.005931198,0.006127451,0.006031363,0.006031363,0
E01015035,0.01017294,0.009950249,0.010111223,0.010090817,0.015400411,0.015182186,0.015212982,0.015495868,0.015090543,0.01510574,0.019860973,0.015447992,0.015120968,0.015120968,0.015120968
E01015036,0.005924171,0.005767013,0,0.005889282,0,0,0.005780347,0.005896226,0.005854801,0.005827506,0.011737089,0.011778563,0.012269939,0.012269939,0.006134969
E01015037,0.005980861,0.011792453,0.012345679,0.012077295,0.006097561,0.006090134,0.012345679,0.0125,0.01270648,0.012562814,0.012135922,0.023584906,0.023474178,0.017605634,0.023474178
E01015038,0.009832842,0.004970179,0,0,0.004725898,0,0,0.004599816,0.004537205,0.008764242,0.008643042,0.013020833,0.013274336,0.013274336,0.008849558
E01015039,0.003644315,0.00355366,0.006591958,0.006333122,0.006123699,0.002951594,0.00286533,0.00273523,0.005208333,0.00524659,0.008205689,0.006060606,0.009079903,0.009079903,0.006053269
E01015040,0.014955135,0.010162602,0.015197568,0.02004008,0.020181635,0.024557957,0.025406504,0.020790021,0.02596054,0.025100402,0.020242915,0.025510204,0.026315789,0.026315789,0.021052632
E01015041,0.005030181,0.010245902,0.01001001,0.014925373,0.015228426,0.014605648,0.009950249,0.020100503,0.01039501,0.02038736,0.01572327,0.02020202,0.015,0.02,0.015
E01015042,0.010245902,0.004892368,0.009784736,0.004748338,0.004789272,0.014231499,0.014492754,0.014662757,0.015182186,0.014734774,0.014563107,0.024606299,0.019493177,0.024366472,0.014619883
E01015043,0.011198208,0.011013216,0.016008538,0.010050251,0.010162602,0.015075377,0.019455253,0.019607843,0.01996008,0.014648438,0.030487805,0.024801587,0.024414063,0.024414063,0.024414063
E01015044,0.009718173,0.009596929,0.009496676,0.009433962,0.008920607,0.013513514,0.009487666,0.009328358,0.009372071,0.004604052,0.009124088,0.004484305,0.008960573,0.004480287,0
E01015045,0.005896226,0.018028846,0.00660502,0.00656168,0.012738854,0.012285012,0.005675369,0.015673981,0.014836795,0.014563107,0.013901761,0.018315018,0.013550136,0.013550136,0.013550136
E01015046,0.011376564,0.011049724,0.016251354,0.015400411,0.019417476,0.018975332,0.021949078,0.025445293,0.01973165,0.019623234,0.01610306,0.025996534,0.017331023,0.021663778,0.021663778
E01015047,0.016429354,0.016304348,0.016872891,0.015991471,0.020449898,0.025176234,0.020263425,0.02016129,0.030120482,0.030737705,0.024131274,0.027027027,0.026315789,0.026315789,0.01754386
E01015048,0.011933174,0.012406948,0.006289308,0.0124533,0.012033694,0.006345178,0.013140604,0.013927577,0.006811989,0.018427518,0.015889831,0.019474197,0.022084806,0.022084806,0.013250883
E01015049,0.004911591,0.004655493,0,0.004340278,0.004240882,0.003974563,0.003897116,0.003808073,0.007501875,0.00728863,0.010645848,0.010281014,0.006920415,0.006920415,0.006920415
E01015050,0.004269855,0.004132231,0.004038772,0.004115226,0.003787879,0.003415301,0.003180662,0.006333122,0.006207325,0.006127451,0.009196812,0.00867052,0.005767013,0.008650519,0.002883506
E01015051,0,0,0.004599816,0.004306632,0.004295533,0.004291845,0.003787879,0.006784261,0.003128911,0.005882353,0.003142678,0.002896871,0.002804262,0.005608525,0.008412787
E01015052,0.0042337,0.004194631,0.004,0.00394011,0.007352941,0.003556188,0.006510417,0.006112469,0.003103662,0.009057971,0.005827506,0.005512679,0.005485464,0.008228195,0.005485464
E01015053,0.003265839,0,0.003282994,0.006459948,0.003227889,0.003232062,0.006968641,0,0.003558719,0.003834356,0.01305483,0.008340284,0.004142502,0.004142502,0.004142502
E01015054,0,0.003097893,0.002613696,0.002422481,0.002204586,0,0.004282655,0.002119542,0.002307337,0.002378687,0.005757052,0.005154639,0.00273523,0.00547046,0.00273523
E01015055,0.005219207,0.01019368,0.005138746,0.020060181,0.01503006,0.02016129,0.02543235,0.025588536,0.026232949,0.037593985,0.031678986,0.031678986,0.026096033,0.026096033,0.020876827
E01015056,0.00997009,0.015090543,0.009569378,0.009363296,0.009363296,0.009460738,0.009746589,0.009891197,0.004844961,0.01476378,0.014577259,0.014880952,0.019474197,0.014605648,0.009737098
E01015057,0.011709602,0.011286682,0.011709602,0.01146789,0.010649627,0.010341262,0.015772871,0.021074816,0.021186441,0.020618557,0.020060181,0.03021148,0.035105316,0.025075226,0.020060181
E01015058,0.011534025,0.017421603,0.017006803,0.011098779,0.016574586,0.021505376,0.0220022,0.022172949,0.022321429,0.022075055,0.021528525,0.016111708,0.024606299,0.019685039,0.024606299
E01015059,0.005,0.009727626,0.014577259,0.014285714,0.009910803,0.009891197,0.010141988,0.009718173,0.014354067,0.018957346,0.023126735,0.023126735,0.022747953,0.022747953,0.018198362
E01015060,0.010405827,0.005364807,0.010718114,0.009871668,0.019685039,0.019860973,0.019782394,0.025176234,0.020366599,0.025588536,0.014910537,0.019900498,0.01984127,0.01984127,0.014880952
E01015061,0.005202914,0.005102041,0.010245902,0.004708098,0.004761905,0.004578755,0.013648772,0.014058107,0.00952381,0.009514748,0.014285714,0.013812155,0.013786765,0.013786765,0.009191176
E01015062,0,0.003977725,0.008169935,0.007535795,0.006662225,0.006548788,0.006476684,0.00591716,0.005903188,0.002797985,0.008250825,0.005512679,0.008498584,0.005665722,0.008498584
E01015063,0.005112474,0.01001001,0.010111223,0.01010101,0.015756303,0.015592516,0.015756303,0.021691974,0.016304348,0.016146394,0.021141649,0.01607717,0.021528525,0.026910657,0.021528525
E01015064,0.010649627,0.010604454,0.00524109,0.00524109,0.005387931,0,0.005405405,0.010604454,0.010695187,0.011037528,0.016703786,0.011389522,0.016968326,0.016968326,0.016968326
E01015065,0,0,0,0.006002401,0.005834306,0.011627907,0.011695906,0.018541409,0.012468828,0.018726592,0.012970169,0.013227513,0.013157895,0.013157895,0.019736842
E01015066,0.008944544,0.009066183,0.008984726,0.00450045,0.004655493,0.009199632,0.009920635,0.004945598,0.00501002,0.010298661,0.01048218,0.011037528,0.016759777,0.011173184,0.011173184
E01015067,0.010277492,0.010384216,0.010405827,0.01025641,0.005302227,0.010683761,0.010834236,0.010660981,0.011376564,0.011600928,0.023866348,0.024301337,0.017899761,0.023866348,0.011933174
E01015068,0.009302326,0.009302326,0.009267841,0.009174312,0.013736264,0.013574661,0.009157509,0.014423077,0.019455253,0.02,0.019685039,0.025,0.02020202,0.02020202,0.015151515
E01015069,0.010235415,0.01025641,0.010245902,0.019607843,0.01010101,0.009803922,0.009940358,0.010341262,0.015592516,0.015136226,0.020263425,0.02034588,0.025329281,0.020263425,0.015197568
E01015070,0.009149131,0.008223684,0.010901163,0.007062147,0.00998004,0.009339975,0.0089982,0.011848341,0.012019231,0.011911852,0.01170275,0.017615972,0.020527859,0.023460411,0.020527859
E01015071,0.011454754,0.005973716,0.005875441,0.005820722,0.005592841,0.011261261,0.005586592,0.011325028,0.005675369,0.010928962,0.010905125,0.011235955,0.016853933,0.016853933,0.011235955
E01015072,0.020964361,0.025746653,0.020554985,0.02543235,0.02543235,0.024850895,0.025201613,0.024557957,0.019782394,0.024437928,0.018993352,0.02401537,0.019230769,0.028846154,0.019230769
E01015073,0.01607717,0.016519824,0.021598272,0.026427061,0.02596054,0.020597322,0.020725389,0.026315789,0.02688172,0.026652452,0.030927835,0.037234043,0.037194474,0.031880978,0.021253985
E01015074,0.017730496,0.011428571,0.011587486,0.011299435,0.016778523,0.016556291,0.021436227,0.022123894,0.027593819,0.032822757,0.031678986,0.032502709,0.038377193,0.032894737,0.032894737
E01015075,0.0110011,0.010834236,0.010729614,0.01059322,0.015839493,0.016008538,0.021715527,0.02247191,0.027685493,0.039772727,0.029205607,0.038167939,0.025316456,0.03164557,0.025316456
E01015076,0.010471204,0.005159959,0.010330579,0.010309278,0.010822511,0.015756303,0.010775862,0.016111708,0.010660981,0.015991471,0.015706806,0.016059957,0.021390374,0.021390374,0.016042781
E01015077,0.006188119,0.012269939,0.011750881,0.015974441,0.015974441,0.01048218,0.015495868,0.015212982,0.019685039,0.024154589,0.01843318,0.023719165,0.02374169,0.02374169,0.018993352
E01015078,0.016216216,0.016556291,0.016538037,0.010810811,0.02173913,0.02708559,0.032930845,0.033594625,0.022246941,0.027100271,0.029069767,0.025220681,0.022650057,0.022650057,0.016987542
E01015079,0.011160714,0.010775862,0.011037528,0.016233766,0.016163793,0.015839493,0.022123894,0.027442371,0.022497188,0.016556291,0.021321962,0.03257329,0.033149171,0.033149171,0.027624309
E01015080,0.006134969,0,0.006112469,0.011778563,0.011682243,0.011013216,0.017064846,0.028604119,0.029274005,0.024449878,0.019973369,0.01650165,0.027522936,0.018348624,0.018348624
E01015081,0.021574973,0.021186441,0.021505376,0.021321962,0.020986359,0.025773196,0.02617801,0.026624068,0.031347962,0.031479538,0.03567788,0.020746888,0.020855057,0.020855057,0.020855057
E01015082,0.020449898,0.021052632,0.019900498,0.019474197,0.019083969,0.019138756,0.02016129,0.026096033,0.026205451,0.029211295,0.024061598,0.033881897,0.033175355,0.033175355,0.028436019
E01015083,0.015923567,0.021030494,0.016094421,0.026652452,0.021299255,0.021008403,0.020512821,0.031152648,0.025458248,0.020811655,0.03021148,0.030991736,0.025510204,0.025510204,0.025510204
E01015084,0.010683761,0.010548523,0.016339869,0.016286645,0.015856237,0.021551724,0.027624309,0.022026432,0.028280543,0.027472527,0.027777778,0.022909507,0.0287687,0.03452244,0.0287687
E01015085,0.015182186,0.00522466,0.010384216,0.010288066,0.010548523,0.010131712,0.010460251,0.021208908,0.021668472,0.021186441,0.021008403,0.021390374,0.027593819,0.027593819,0.016556291
