Area,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,
E01015023,0.009903295,0.00996407,0.009744795,0.009351893,0.00925417,0.010236404,0.011350725,0.011372403,0.011548852,0.012044862,0.01159853,0.011683004,0.012018352,0.012018352,0.011302285
E01015024,0.007965988,0.009056298,0.008264118,0.009107096,0.009219139,0.0079134,0.00809666,0.008388035,0.008199514,0.008280428,0.009507045,0.009629209,0.00961021,0.00961021,0.008305015
E01015025,0.007057454,0.007288872,0.007087457,0.00734507,0.007369421,0.009361245,0.009651973,0.007692456,0.009821427,0.009809946,0.009949524,0.011942868,0.010367471,0.01198695,0.010367471
E01015026,0.008239773,0.008167589,0.008143808,0.009307219,0.008981154,0.008972881,0.010075416,0.010533411,0.011459948,0.010363026,0.010304198,0.010284737,0.010844271,0.010844271,0.008923565
E01015027,0.006291707,0.007550252,0.007577525,0.005922884,0.005965271,0.007563864,0.007681579,0.006256291,0.009280618,0.009201722,0.009149866,0.010169496,0.010402619,0.009333972,0.008065529
E01015028,0.010354678,0.010393152,0.011643143,0.011011472,0.011086658,0.012265241,0.012362688,0.012376736,0.010650335,0.011929407,0.010569451,0.01157445,0.011310032,0.012325743,0.012325743
E01015029,0.008057784,0.007443093,0.008364241,0.008443994,0.009316906,0.007281615,0.007275302,0.008547724,0.010336017,0.010220693,0.010203179,0.010602895,0.009724554,0.009724554,0.010602895
E01015030,0.009146954,0.010334007,0.010546567,0.01133357,0.011263248,0.012376978,0.012162117,0.011310032,0.013075693,0.010815845,0.010805114,0.011990693,0.011954586,0.011954586,0.010968337
E01015031,0.006046402,0.003520442,0.006256291,0.006616315,0.006303602,0.007839467,0.006107316,0.005809368,0.008236936,0.008140569,0.008502958,0.00848075,0.008786733,0.007591236,0.00605189
E01015032,0.005675863,0.005520795,0.005548356,0.005322503,0.0058952,0.004425338,0.005316252,0.005047608,0.004993536,0.004911689,0.005704498,0.004650355,0.003606747,0.005249503,0.004529846
E01015033,0.007027703,0.006868459,0.007171296,0.008665222,0.008701164,0.011159386,0.008764784,0.008755639,0.008701164,0.009873185,0.009913373,0.009793778,0.008576654,0.009923471,0.008576654
E01015034,0.007764106,0.007683593,0.00425552,0.007468462,0.004136231,0.007393935,0.009309318,0.007527475,0.007800433,0.007920882,0.007855566,0.008113627,0.007987292,0.007987292,0.004439909
E01015035,0.008455656,0.008272265,0.008404839,0.008388035,0.009873185,0.009735057,0.009754552,0.00993359,0.009677035,0.009686657,0.010646677,0.009903295,0.009696298,0.009696298,0.009696298
E01015036,0.007846323,0.007639581,0.004340646,0.007800433,0.004345759,0.004290164,0.007657125,0.007809568,0.007755076,0.007719169,0.009741614,0.009775661,0.010178833,0.010178833,0.008123511
E01015037,0.007920882,0.009787062,0.010240945,0.010020814,0.008074331,0.008064566,0.010240945,0.010367471,0.010536703,0.01041896,0.01006891,0.012605917,0.01254783,0.011266148,0.01254783
E01015038,0.008175547,0.006590161,0.003634917,0.003617096,0.006268052,0.003457745,0.003363172,0.006101727,0.006019114,0.007294275,0.007194211,0.008364241,0.008525282,0.008525282,0.0073647
E01015039,0.004839649,0.004719761,0.005497373,0.005282781,0.005109079,0.003922893,0.003808625,0.003636249,0.004349054,0.004380844,0.005292285,0.005056734,0.00585186,0.00585186,0.005050647
E01015040,0.009591287,0.008447144,0.009744795,0.010741177,0.010815845,0.011482046,0.011871176,0.011136565,0.012124972,0.011730861,0.010848164,0.011918696,0.012287594,0.012287594,0.011274907
E01015041,0.006669252,0.008515725,0.008321487,0.009572438,0.009764329,0.009369883,0.008272265,0.010773051,0.00863846,0.010924331,0.01007745,0.010826596,0.0096197,0.010720033,0.0096197
E01015042,0.008515725,0.006487579,0.008135912,0.006297649,0.006351635,0.00913271,0.009298335,0.009406071,0.009735057,0.009451701,0.009342924,0.011504229,0.010452537,0.011394164,0.009378903
E01015043,0.009299001,0.009146954,0.010257838,0.008354629,0.008447144,0.009667431,0.010432513,0.010513076,0.010698971,0.009396998,0.012750925,0.011593823,0.011416008,0.011416008,0.011416008
E01015044,0.008081064,0.007981142,0.007898502,0.007846798,0.007423339,0.008677159,0.007891074,0.00775972,0.007795767,0.006107316,0.007591236,0.005949305,0.007456322,0.005944002,0.003299991
E01015045,0.007809568,0.01153288,0.008741102,0.008684187,0.010563231,0.010191195,0.007518987,0.010046273,0.009516332,0.009342924,0.008923565,0.009829881,0.008700408,0.008700408,0.008700408
E01015046,0.009445545,0.009176964,0.010411314,0.009873185,0.010412564,0.010179001,0.010282469,0.010681364,0.009259101,0.009208977,0.0086577,0.010908368,0.009308943,0.010150994,0.010150994
