Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,110,110,120,125,140,135,130,125,135,145,145,145,145,140,135,130
E01015024,65,70,75,65,65,70,70,55,60,55,55,60,60,65,65,65
E01015025,25,35,35,40,30,30,35,30,35,30,35,25,20,20,25,25
E01015026,120,135,145,135,150,155,160,160,140,140,145,150,140,135,145,140
E01015027,60,55,60,60,60,65,55,55,65,65,55,65,55,60,50,45
E01015028,105,120,115,120,130,130,145,130,130,130,135,135,145,140,135,145
E01015029,55,65,75,85,70,80,65,80,75,70,80,65,65,70,65,55
E01015030,170,170,170,175,180,185,185,195,200,200,190,185,190,190,190,200
E01015031,80,80,75,70,50,60,40,45,65,65,55,65,70,65,70,65
E01015032,120,110,105,100,105,95,95,95,90,95,85,95,100,105,100,105
E01015033,50,50,50,40,35,30,35,35,30,30,35,25,25,30,30,30
E01015034,45,40,40,50,35,40,35,30,35,35,25,25,25,30,30,30
E01015035,55,60,55,45,50,50,40,40,35,35,30,30,25,20,30,30
E01015036,55,50,45,45,50,50,55,50,45,40,40,45,40,35,45,40
E01015037,70,65,65,75,60,65,70,70,70,65,60,65,65,60,55,50
E01015038,45,60,65,60,60,65,60,55,55,50,55,50,45,40,45,40
E01015039,50,55,60,60,60,60,55,50,55,55,55,60,55,50,55,55
E01015040,125,135,145,135,135,135,150,145,155,165,160,165,155,145,145,140
E01015041,85,85,95,100,95,105,100,90,85,80,70,75,75,80,85,65
E01015042,75,75,70,75,80,70,70,75,75,75,75,85,75,85,85,85
E01015043,120,130,135,140,140,145,140,145,140,150,155,155,175,185,225,210
E01015044,135,130,130,140,140,145,140,135,135,140,145,140,145,150,155,160
E01015045,120,115,125,115,120,140,145,145,165,150,145,145,135,155,140,140
E01015046,200,200,205,235,240,250,255,265,260,275,285,280,245,255,270,270
E01015047,110,110,115,120,120,130,130,130,120,125,130,150,150,160,170,160
E01015048,180,190,185,200,200,205,165,155,150,155,155,170,160,170,180,165
E01015049,50,40,60,55,70,60,60,55,55,40,50,40,40,60,50,50
E01015050,70,75,65,75,70,80,65,65,75,65,75,70,80,70,80,70
E01015051,75,60,65,75,80,85,65,60,65,70,65,55,70,70,70,80
E01015052,115,120,125,125,125,125,120,110,120,125,135,130,120,125,120,120
E01015053,95,90,90,90,95,105,105,100,115,110,105,95,95,105,105,90
E01015054,70,85,75,60,65,65,70,70,70,75,75,60,60,65,70,70
E01015055,130,155,155,150,140,155,140,150,140,150,150,165,155,160,150,140
E01015056,100,95,110,100,100,105,115,100,95,100,105,95,90,95,95,100
E01015057,85,90,100,95,90,80,95,95,100,105,100,130,140,135,135,115
E01015058,115,115,110,105,100,110,105,100,110,115,110,105,110,105,120,115
E01015059,80,75,70,65,70,70,75,70,75,75,75,70,65,75,80,70
E01015060,80,85,85,90,100,95,90,100,100,90,85,90,85,90,90,90
E01015061,55,65,65,65,70,70,70,80,80,80,75,75,70,75,85,90
E01015062,65,70,65,70,60,70,65,65,60,70,80,65,75,75,80,95
E01015063,100,105,90,90,95,90,85,85,85,80,85,80,80,75,80,75
E01015064,55,50,55,50,45,40,40,40,45,40,40,40,35,35,30,30
E01015065,30,35,25,35,30,35,20,25,25,25,25,30,35,35,25,40
E01015066,40,40,40,40,45,40,35,30,30,35,35,30,25,25,25,30
E01015067,55,50,55,45,45,40,40,40,45,45,45,35,35,35,40,35
E01015068,55,55,55,50,55,50,45,45,50,50,45,35,45,40,40,45
E01015069,105,120,110,100,90,100,115,105,95,90,90,85,75,65,80,80
E01015070,90,95,100,95,105,105,130,135,130,150,130,135,130,130,120,120
E01015071,65,65,70,60,60,55,65,65,70,65,60,60,60,65,65,70
E01015072,125,130,130,120,135,120,115,120,115,125,120,125,110,110,120,115
E01015073,120,125,120,115,125,120,120,120,120,125,130,110,115,105,105,115
E01015074,140,140,165,160,150,145,145,155,155,155,145,150,135,140,125,120
E01015075,110,110,120,120,120,110,115,95,110,100,100,105,95,95,90,85
E01015076,50,60,55,50,55,45,50,45,50,55,50,50,60,60,55,55
E01015077,75,75,75,75,80,85,90,90,85,90,80,80,80,80,80,80
E01015078,130,130,135,160,135,145,145,145,145,165,120,105,100,115,130,125
E01015079,60,60,70,70,55,55,45,50,60,60,50,55,60,65,50,60
E01015080,125,135,135,135,125,130,140,130,125,120,130,110,70,70,65,40
E01015081,95,100,110,115,120,105,110,115,100,115,110,115,110,100,110,105
E01015082,150,145,145,150,150,150,150,155,165,165,170,150,150,140,135,125
E01015083,120,125,120,130,130,135,140,140,145,150,155,150,150,155,165,160
