Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.020475285,0.019253558,0.020166768,0.020116909,0.020369358,0.01983688,0.019356676,0.019323316,0.020054432,0.021017823,0.020434021,0.019709563,0.019846891,0.018921779,0.01860825,0.018286199
E01015024,0.014001878,0.014411738,0.014657967,0.01439548,0.013717334,0.014411738,0.014318251,0.012958431,0.014028357,0.013121239,0.013249285,0.013743775,0.013918568,0.014465587,0.014465587,0.014465587
E01015025,0.009128997,0.011176416,0.011540615,0.012044614,0.010709157,0.01074452,0.011823144,0.011226442,0.012175401,0.011423507,0.012388337,0.010485148,0.009628136,0.009663995,0.010926644,0.010926644
E01015026,0.019298216,0.020408745,0.020902264,0.020183539,0.020914766,0.02052093,0.020793868,0.0209388,0.020575355,0.020537594,0.02058158,0.020783737,0.020113023,0.019161118,0.019795171,0.019482367
E01015027,0.01271215,0.012632867,0.012644352,0.01268947,0.012445225,0.013054074,0.012114308,0.012300917,0.013679425,0.013975524,0.012727614,0.013780984,0.012621123,0.013496056,0.012290461,0.011635367
E01015028,0.0222127,0.024014263,0.023642956,0.023389252,0.022995995,0.023144104,0.024125495,0.023168973,0.023193894,0.022282747,0.02277856,0.022498903,0.022847821,0.022011191,0.021656531,0.022355925
E01015029,0.013971884,0.014041596,0.013956057,0.014426014,0.013215891,0.013986881,0.012707725,0.014093834,0.01384754,0.013306966,0.014069926,0.012653575,0.013146538,0.013647891,0.013146538,0.012071219
E01015030,0.0251772,0.024876036,0.024341884,0.025101752,0.024569465,0.024706759,0.024895183,0.025028946,0.025592776,0.025307865,0.024068962,0.023783341,0.024446865,0.024379334,0.024379334,0.024891904
E01015031,0.015590363,0.014679996,0.014889408,0.014199819,0.012639779,0.013232438,0.010632587,0.011054645,0.012718611,0.01242069,0.011269504,0.012817427,0.013272666,0.01324032,0.013745031,0.01324032
E01015032,0.017705665,0.016126736,0.015353138,0.015066536,0.014818909,0.012491674,0.011786411,0.011288213,0.010440923,0.010615099,0.009875181,0.010468212,0.010155471,0.010141309,0.00989683,0.010141309
E01015033,0.012970271,0.013415466,0.013115352,0.012185887,0.01094612,0.010120674,0.010934854,0.011071595,0.010184028,0.010120674,0.010779529,0.009026258,0.008916785,0.009975867,0.009975867,0.009975867
E01015034,0.014083174,0.01318395,0.013048485,0.014599842,0.011823144,0.012644278,0.01170591,0.01082795,0.011915963,0.012345157,0.010460285,0.010374189,0.01071434,0.011641478,0.011641478,0.011641478
E01015035,0.013513016,0.014139891,0.013236368,0.012121607,0.012777526,0.01299641,0.011407403,0.011430222,0.010845553,0.010565137,0.009737035,0.009602924,0.009017033,0.007803823,0.009746758,0.009746758
E01015036,0.016033925,0.014955278,0.013796157,0.01409947,0.014869091,0.014903446,0.015450255,0.014599842,0.01409947,0.01316876,0.013108346,0.014034512,0.013245064,0.012852882,0.014659207,0.013788329
E01015037,0.01792076,0.01723473,0.016998143,0.019066667,0.016714029,0.017560597,0.018194879,0.018433447,0.018655807,0.01827311,0.017366539,0.017477983,0.016998143,0.016255896,0.015556438,0.014817854
E01015038,0.012194405,0.013677709,0.01439548,0.013730511,0.013664572,0.013704674,0.013074341,0.012168603,0.012256494,0.011511529,0.011686708,0.010972788,0.010429944,0.009991123,0.010630185,0.009991123
E01015039,0.00959314,0.009747904,0.009947101,0.009236388,0.008878808,0.008589182,0.00791682,0.007313107,0.007342779,0.006994563,0.007045407,0.007684006,0.008125395,0.007720405,0.008115677,0.008115677
E01015040,0.020750821,0.020523228,0.021574276,0.020834842,0.02061961,0.020756062,0.021220494,0.021574276,0.022686485,0.023284065,0.022276988,0.02274347,0.022301736,0.022290467,0.022290467,0.021946518
E01015041,0.017667827,0.016639062,0.017871444,0.01791181,0.0173764,0.018581186,0.017443816,0.016928071,0.016622928,0.016670917,0.015311393,0.01628029,0.015706231,0.016058017,0.016542721,0.01447969
E01015042,0.016084339,0.015924608,0.014713656,0.015228852,0.015274638,0.014411738,0.014278555,0.015043092,0.015214401,0.015737061,0.015286934,0.016077242,0.015316142,0.01613779,0.01613779,0.01613779
E01015043,0.022351563,0.022492076,0.022521948,0.02222952,0.021019713,0.021574276,0.021019713,0.020712437,0.020537594,0.0215352,0.021413415,0.022217981,0.022898777,0.023108392,0.02501403,0.024341825
E01015044,0.020017845,0.019693512,0.019461802,0.019933813,0.019810239,0.019098203,0.01896995,0.019588921,0.01927902,0.019688177,0.019675525,0.019198009,0.019194771,0.019475621,0.019765213,0.020047686
