Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.120879121,0.113285273,0.124352332,0.126646403,0.136054422,0.129807692,0.124045802,0.121359223,0.131322957,0.143280632,0.139022052,0.133763838,0.134758364,0.125786164,0.121293801,0.116801438
E01015024,0.062801932,0.067049808,0.070555033,0.064612326,0.061494797,0.067049808,0.066603235,0.053554041,0.060544904,0.054240631,0.054780876,0.059288538,0.06006006,0.064935065,0.064935065,0.064935065
E01015025,0.026068822,0.037273695,0.03850385,0.042780749,0.033259424,0.033370412,0.03945885,0.034883721,0.040650407,0.035502959,0.041371158,0.029976019,0.0249066,0.025,0.03125,0.03125
E01015026,0.118694362,0.133795837,0.142436149,0.13222331,0.145067698,0.144589552,0.149114632,0.150234742,0.137524558,0.137254902,0.140096618,0.144092219,0.134228188,0.125115848,0.134383689,0.129749768
E01015027,0.054744526,0.052182163,0.054446461,0.054644809,0.053571429,0.058453237,0.05,0.050784857,0.061320755,0.06268081,0.052581262,0.061787072,0.052132701,0.058195926,0.048496605,0.043646945
E01015028,0.128676471,0.149812734,0.144110276,0.145631068,0.149082569,0.150115473,0.166284404,0.150289017,0.150462963,0.144124169,0.150501672,0.148514851,0.156756757,0.147835269,0.142555438,0.1531151
E01015029,0.057833859,0.062984496,0.067084079,0.073784722,0.061349693,0.069384215,0.056867892,0.06993007,0.066548358,0.061782877,0.069808028,0.056620209,0.058876812,0.063405797,0.058876812,0.049818841
E01015030,0.189732143,0.18722467,0.182795699,0.192096597,0.19047619,0.194532072,0.196182397,0.203125,0.211193242,0.208550574,0.19172553,0.186491935,0.195071869,0.194472876,0.194472876,0.204708291
E01015031,0.077594568,0.072926162,0.071701721,0.066037736,0.0499002,0.057034221,0.037700283,0.041436464,0.056917688,0.055555556,0.046452703,0.057369815,0.061619718,0.059306569,0.063868613,0.059306569
E01015032,0.108401084,0.094097519,0.087354409,0.08361204,0.084202085,0.06718529,0.063291139,0.06054812,0.054446461,0.056852184,0.050029429,0.056047198,0.055710306,0.056972328,0.05425936,0.056972328
E01015033,0.051229508,0.053022269,0.051813472,0.043290043,0.03649635,0.031413613,0.036458333,0.036919831,0.031612223,0.031413613,0.035934292,0.025773196,0.025458248,0.030959752,0.030959752,0.030959752
E01015034,0.053003534,0.046893318,0.046403712,0.057803468,0.03945885,0.04494382,0.0390625,0.033632287,0.039772727,0.041224971,0.029904306,0.029655991,0.030637255,0.036188179,0.036188179,0.036188179
E01015035,0.055894309,0.06103764,0.054726368,0.045500506,0.050454087,0.051334702,0.04048583,0.040567951,0.036157025,0.035211268,0.03021148,0.02979146,0.025746653,0.02016129,0.030241935,0.030241935
E01015036,0.066585956,0.059241706,0.051903114,0.053066038,0.058892815,0.059031877,0.064102564,0.057803468,0.053066038,0.046838407,0.046620047,0.052816901,0.047114252,0.042944785,0.055214724,0.049079755
E01015037,0.083932854,0.077751196,0.076650943,0.092592593,0.072463768,0.079268293,0.085261876,0.086419753,0.0875,0.082592122,0.075376884,0.078883495,0.076650943,0.070422535,0.064553991,0.058685446
E01015038,0.04577823,0.05899705,0.064612326,0.05923001,0.058939096,0.061436673,0.056338028,0.050228311,0.050597976,0.045372051,0.04820333,0.043215212,0.0390625,0.03539823,0.039823009,0.03539823
E01015039,0.037707391,0.040087464,0.042643923,0.039551747,0.037998733,0.036742192,0.032467532,0.028653295,0.030087527,0.028645833,0.028856243,0.032822757,0.033333333,0.030266344,0.033292978,0.033292978
E01015040,0.130890052,0.134596211,0.147357724,0.136778116,0.135270541,0.136226034,0.147347741,0.147357724,0.161122661,0.171339564,0.16064257,0.167004049,0.158163265,0.152631579,0.152631579,0.147368421
E01015041,0.091006424,0.085513078,0.097336066,0.1001001,0.094527363,0.106598985,0.097370983,0.089552239,0.085427136,0.083160083,0.071355759,0.078616352,0.075757576,0.08,0.085,0.065
E01015042,0.077639752,0.076844262,0.068493151,0.073385519,0.075973409,0.067049808,0.066413662,0.072463768,0.073313783,0.075910931,0.07367387,0.082524272,0.073818898,0.082846004,0.082846004,0.082846004
E01015043,0.138728324,0.145576708,0.148678414,0.14941302,0.140703518,0.147357724,0.140703518,0.141050584,0.137254902,0.149700599,0.151367188,0.157520325,0.173611111,0.180664063,0.219726563,0.205078125
E01015044,0.131067961,0.126336249,0.124760077,0.132953466,0.132075472,0.129348796,0.126126126,0.128083491,0.125932836,0.131208997,0.133517495,0.127737226,0.130044843,0.134408602,0.138888889,0.143369176
