Area,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,
E01015023,0.022964692,0.021633214,0.022489947,0.022373186,0.022475924,0.021957875,0.021495248,0.02151595,0.022191422,0.023116392,0.022494465,0.021720884,0.021867677,0.020924177,0.020635606,0.020338592
E01015024,0.016547415,0.016907439,0.017086266,0.017003548,0.016217345,0.016907439,0.016799887,0.015586539,0.016704678,0.01577894,0.015930199,0.016372059,0.016576389,0.017084739,0.017084739,0.017084739
E01015025,0.01217455,0.014185925,0.014641128,0.015021417,0.013881792,0.013926978,0.014993939,0.014542332,0.015433438,0.014793724,0.015698903,0.013957921,0.013298475,0.013347359,0.014537071,0.014537071
E01015026,0.021549021,0.022571406,0.02299339,0.022329937,0.022957533,0.022493116,0.022738423,0.022891723,0.022696103,0.022655755,0.022651784,0.02281833,0.022201718,0.0212313,0.021812401,0.021526035
E01015027,0.015164044,0.015201534,0.015084531,0.015137447,0.014850907,0.015446925,0.014587572,0.014808615,0.01617335,0.016516856,0.015313615,0.016291202,0.015187639,0.016082307,0.01494324,0.01432276
E01015028,0.02493374,0.026623804,0.026306455,0.025956176,0.02539542,0.025553059,0.026404304,0.025579519,0.025606033,0.024635067,0.02510053,0.024803215,0.02505724,0.024226244,0.023905791,0.024536856
E01015029,0.016782768,0.016593466,0.01628355,0.016645172,0.015529491,0.016229255,0.015044041,0.016350985,0.016159303,0.0156346,0.016323777,0.014981016,0.015554415,0.01602782,0.015554415,0.014536516
E01015030,0.027235453,0.026923459,0.026369105,0.027110031,0.026515003,0.026614143,0.026808384,0.026864321,0.027402392,0.027111146,0.025915561,0.025659894,0.026305352,0.026235745,0.026235745,0.026685235
E01015031,0.018050298,0.017017466,0.017350586,0.016663595,0.015360828,0.015773734,0.013285171,0.013618339,0.015056709,0.014709853,0.013585445,0.015171692,0.015595018,0.015663408,0.016139791,0.015663408
E01015032,0.019816652,0.018201224,0.017405543,0.017149451,0.016812338,0.014324327,0.013528355,0.012965117,0.012056085,0.01220287,0.01146367,0.012036342,0.011636173,0.011578283,0.011343672,0.011578283
E01015033,0.015755537,0.016286657,0.015928692,0.015194757,0.013897849,0.013129196,0.013883752,0.014054828,0.013210277,0.013129196,0.013689349,0.012039177,0.011894888,0.012943822,0.012943822,0.012943822
E01015034,0.017279521,0.016417426,0.016251674,0.017696377,0.014993939,0.015756727,0.014847574,0.014033565,0.015109787,0.015645083,0.013925287,0.013812256,0.014258662,0.015071627,0.015071627,0.015071627
E01015035,0.016241568,0.016834965,0.015914943,0.014911706,0.015525385,0.015786739,0.014238728,0.014266782,0.013771994,0.013420882,0.01263792,0.01246606,0.012027019,0.010805114,0.012650377,0.012650377
E01015036,0.019206032,0.018118514,0.016933875,0.017299137,0.018016193,0.018056982,0.018521578,0.017696377,0.017299137,0.016398843,0.016324928,0.017220939,0.016492183,0.016277503,0.017972372,0.01715616
E01015037,0.020923064,0.020278408,0.020006571,0.022089984,0.019830261,0.020652513,0.021234984,0.021506236,0.021758882,0.021469219,0.020585944,0.020557704,0.020006571,0.019298817,0.018646182,0.017955352
E01015038,0.014999814,0.016294803,0.017003548,0.01635655,0.016279439,0.016202653,0.015588565,0.014651898,0.014756005,0.014010614,0.014080636,0.013364397,0.012859318,0.012494201,0.013102756,0.012494201
E01015039,0.011705166,0.011774602,0.011909002,0.011068346,0.010644778,0.010301406,0.00958553,0.008949528,0.008897054,0.008478912,0.00853999,0.00922654,0.009835425,0.009443016,0.009823784,0.009823784
E01015040,0.023056255,0.022694082,0.023707952,0.023027745,0.022797323,0.022943425,0.02328207,0.023707952,0.024782196,0.025313072,0.024303219,0.024747157,0.024376875,0.024467533,0.024467533,0.024157496
E01015041,0.020294459,0.01914026,0.020341817,0.020306878,0.019792199,0.020969136,0.019789459,0.019375553,0.019122129,0.019272583,0.017940955,0.018935267,0.018282012,0.018579779,0.019031986,0.01710107
E01015042,0.018712409,0.018530647,0.017254582,0.017737928,0.017692417,0.016907439,0.01675421,0.017526004,0.017721445,0.018317123,0.017804167,0.018508406,0.017837472,0.018576554,0.018576554,0.018576554
E01015043,0.024844343,0.024858429,0.024827726,0.024458207,0.0231705,0.023707952,0.0231705,0.022791227,0.022655755,0.023615756,0.023438772,0.024288561,0.024822476,0.024960007,0.026636144,0.026049778
E01015044,0.022152157,0.021858332,0.021608611,0.022009864,0.021877503,0.021066528,0.02097594,0.021691467,0.021358189,0.021746704,0.02168449,0.021220889,0.021169981,0.021424991,0.021689953,0.021947852
