Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,
E12000009,,,,,,
E01015023,992.2918777,1006.840397,1029.70713,1035.578363,1023.39262,1004.026984
E01015024,920.9293317,938.4361523,906.6810888,885.4487318,866.8158304,859.3423992
E01015025,853.475239,869.1690753,882.3154947,888.2191868,881.3952006,847.8813865
E01015026,966.9097352,959.5952629,1005.30554,1031.266036,1021.038644,986.5757196
E01015027,932.171519,961.8629618,989.4191501,989.154033,970.1897918,967.0359104
E01015028,1119.160986,1102.079062,1135.215127,1066.193286,1048.77941,1041.007845
E01015029,878.8988171,873.3734712,888.5221526,925.1596947,911.2713562,908.2230594
E01015030,1030.484931,1019.608098,1055.572434,1111.454537,1097.661551,1094.637206
E01015031,936.217182,1002.504611,1072.108621,1046.886859,1022.989775,1003.621761
E01015032,946.734312,907.3398697,1098.174663,1063.952517,1022.709186,1019.320466
E01015033,877.4808376,916.2755692,923.5795618,960.2142878,944.4757525,938.5984499
E01015034,808.7513432,787.2742901,764.3188088,795.3010618,784.0459756,785.3197461
E01015035,940.2544474,910.1286723,894.0914206,917.4782172,902.4377042,878.3182056
E01015036,902.5772452,928.3339743,936.7820561,911.1453537,882.4693252,858.5008222
E01015037,824.9960632,901.0436805,900.8738842,843.0565255,825.5314229,826.4565254
E01015038,884.326033,864.8412682,885.2580557,855.7850275,849.2762764,811.8807468
E01015039,943.6323063,946.2086844,1056.426344,1146.383425,1137.284487,1139.976404
E01015040,1052.475075,1022.050227,1064.249275,1055.195156,1048.744378,1034.041393
E01015041,1020.159169,990.3450888,1030.604573,969.955092,965.5886841,937.6103876
E01015042,1014.070725,1001.843298,1027.096174,1106.643814,1093.681573,1090.078199
E01015043,958.7550519,959.0499501,1099.297181,1104.598614,1099.618904,1083.790024
E01015044,1031.183332,980.5820001,964.8232242,920.0241664,869.0990902,858.3096867
E01015045,1289.649068,1073.667999,1006.666675,1002.82261,993.4661546,914.0292611
E01015046,920.6860852,986.3919941,1024.549008,1050.24701,1035.733653,955.5237931
E01015047,1065.348811,1005.193957,961.9046512,968.1824619,958.585618,936.9537321
E01015048,1314.488811,1200.622376,1133.109433,1046.93804,1033.102758,994.134946
E01015049,930.2617645,994.206641,1014.082557,1008.585457,979.3816325,961.6875037
E01015050,1176.356448,1014.123555,1004.702446,997.4193849,994.4290431,1002.170057
E01015051,1249.82022,1240.829937,1087.601813,1105.418595,1077.300397,1084.317183
E01015052,962.6746029,1018.477702,996.0364023,969.663181,953.5043504,932.8077529
E01015053,1090.72188,990.1118652,1069.591516,1119.603076,1100.607379,1077.473545
E01015054,1382.16123,1099.578599,1385.087977,1453.781872,1437.082503,1438.363726
E01015055,1081.706186,1052.756886,1057.708273,1078.820284,1060.583332,1051.688444
E01015056,881.6845704,869.5224138,868.7238242,875.430289,869.2783625,864.981054
E01015057,978.1459194,992.6999637,1051.212584,1114.958592,1108.977286,1091.433842
E01015058,1107.459585,1123.929635,1108.880223,1092.131605,1070.562803,1049.335497
E01015059,1015.066372,972.2183431,926.4638502,885.0379376,873.8375066,857.3194638
E01015060,965.0439414,993.3606298,950.3468328,1020.729534,985.9650065,991.3323378
E01015061,1096.369007,1067.739041,1062.113034,945.6146913,936.7279827,917.9094949
E01015062,874.8336277,1030.721761,1235.95884,1233.602529,1230.013824,999.6567873
E01015063,1032.109966,1047.719001,1048.45384,989.6172157,980.1540174,960.0020017
E01015064,786.6802167,865.937089,892.7224567,901.5221101,895.3191038,878.8449922
E01015065,788.4385461,828.2781157,857.4544194,903.5386276,883.8265273,874.7035625
E01015066,914.851922,874.0019806,881.9557001,896.0066565,857.6586537,848.3104138
E01015067,770.9143457,795.3624497,866.7121955,929.5577807,917.6670022,908.8355643
E01015068,919.8811613,884.0699548,878.728885,939.2730219,920.4534617,906.3369291
E01015069,977.8511835,946.5287061,955.4481262,952.2499144,937.9785799,918.0036876
E01015070,744.0271145,766.7735256,751.5535204,776.9372551,772.0396984,756.8586922
E01015071,841.2566932,872.3012536,899.9693195,915.5757725,897.5353554,866.6020742
E01015072,929.3869007,991.4709859,1027.408601,1025.19574,1009.932375,994.2016756
E01015073,1426.477603,1385.047619,1197.559683,1004.622635,983.1093901,955.3989297
E01015074,967.7950721,1038.656425,1052.196776,1083.496789,1064.083184,1056.947755
E01015075,980.5861823,1039.023886,1073.97237,1110.763126,1098.259724,1091.633647
E01015076,1092.684894,1092.290285,1082.982928,1029.413363,1017.199579,1004.85009
E01015077,892.1181512,899.2128523,879.8249653,924.735476,909.3957473,901.2735189
E01015078,901.1649654,1048.100553,1143.469877,1095.395974,1075.451319,1064.81843
