Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,
E12000009,,,,,,
E01015023,13678.69907,14058.70991,14970.47785,15413.15964,15160.02777,14766.91671
E01015024,10121.13516,10886.64172,10558.86769,10360.96534,10065.50671,9997.970258
E01015025,12270.01534,13027.27534,13504.829,13351.3119,13225.8217,12671.34379
E01015026,11421.21367,11729.72878,12781.676,13300.41134,12918.84436,12654.14745
E01015027,12520.059,13915.06229,15093.60568,15513.99899,15119.64002,15102.76017
E01015028,14998.95617,14737.88111,15334.90561,13457.22715,13030.3304,13074.77557
E01015029,10938.08494,10823.55505,11278.66022,12061.94166,11641.94166,12171.9735
E01015030,13689.90457,14016.69151,15089.22023,16464.53307,16124.62584,16205.789
E01015031,9777.493759,11076.86159,12292.1657,12273.27988,11810.00828,11609.01995
E01015032,9278.659315,8746.77654,10850.03107,10469.78214,9968.791617,9976.508617
E01015033,11802.49899,12368.55759,12827.0665,13272.7258,12983.83691,12903.04083
E01015034,9021.378241,8754.206815,8489.999147,9073.200188,8917.921661,8977.22902
E01015035,12202.29346,11571.57635,11136.50679,11370.13697,11145.76722,10810.78688
E01015036,11658.89319,11831.51798,12119.5914,11969.84034,11443.52455,11098.19006
E01015037,10171.90343,11765.50096,11545.76212,10753.27201,10462.13018,10516.20719
E01015038,11179.96707,11180.15559,11949.86052,11715.87854,11602.52464,11014.02044
E01015039,16642.96433,16944.79083,19818.53267,21474.28799,21248.45868,21346.34816
E01015040,12524.35007,12072.53748,13211.37881,13176.1985,12996.8941,12933.58997
E01015041,11028.97206,10825.2223,11302.04368,10474.53043,10357.3161,10091.28204
E01015042,11216.59666,11104.90187,11926.6897,13444.45862,13110.05044,13219.82806
E01015043,9746.458713,9980.029408,12389.93289,12739.69036,12456.88874,12511.92286
E01015044,11892.96835,11265.01632,11300.48245,10454.03626,9643.702278,9594.195444
E01015045,15819.01349,12076.24936,10955.5786,11103.97561,10882.97089,9726.322292
E01015046,13034.69492,14886.66769,15664.43857,15940.6864,15496.77195,13685.11789
E01015047,12250.88915,11200.90174,11050.44922,12049.23911,11717.38726,11640.97672
E01015048,13210.42181,12583.64875,12372.24531,11567.81488,11292.59603,10866.64831
E01015049,8530.026116,9186.657185,9269.787053,9060.19359,8697.955828,8568.95419
E01015050,11591.43708,9050.978059,8981.535191,8770.007359,8728.981718,8826.600766
E01015051,13676.35581,13369.7603,11304.14969,11392.02098,11047.68877,11201.91304
E01015052,10017.74813,10912.26109,10451.75747,10782.30565,10535.44851,10284.76839
E01015053,9160.994013,7874.651276,8593.848998,9298.886537,9071.865496,8932.078019
E01015054,12555.44952,10113.7424,13408.26358,13309.78725,13136.45392,13168.62973
E01015055,14070.51262,13438.75963,13652.1112,14161.91642,13806.36086,13743.04443
E01015056,11556.57486,11379.87933,11472.63196,11850.91346,11742.53348,11742.67801
E01015057,11456.52438,11802.16955,13483.20131,15253.41592,15076.33414,14795.97862
E01015058,13478.07747,13869.50572,14007.44106,13648.80186,13222.23544,12960.06266
E01015059,12068.08287,11201.9293,10463.34263,9557.511362,9341.290328,9091.352263
E01015060,11959.61015,12781.42953,12014.62571,13307.95122,12716.15635,12885.03345
E01015061,12075.18066,11478.90698,11210.79862,9527.751974,9340.908204,9117.240182
E01015062,7666.204589,10425.13407,13480.50112,13960.52437,13891.59013,10819.34836
E01015063,14031.33762,14492.13658,14727.4598,13243.5797,13002.04309,12809.85218
E01015064,11722.40368,13574.26324,14214.77097,14443.04514,14321.83081,13993.80086
E01015065,9812.287396,10229.84194,10715.94799,11506.27305,11091.45824,11130.12435
E01015066,11124.20289,10352.63084,10329.89739,10494.46908,9881.96908,9774.258375
E01015067,10104.66742,10911.34181,12724.30307,14235.82742,14022.49409,13879.80123
E01015068,12084.60383,11185.8275,11100.15564,12037.89239,11683.98763,11439.55987
E01015069,12680.4,12397.10917,12664.93392,12490.95376,12182.16149,11830.37997
E01015070,11002.01758,12076.95612,11892.99888,12491.20972,12337.24146,12094.64806
E01015071,11109.89265,11783.36781,12389.03052,12534.42653,12184.62374,11739.73277
E01015072,11029.07546,12411.44034,13527.70863,13629.6784,13297.60222,13119.9288
E01015073,21675.57843,20260.23798,16508.30657,13117.99732,12758.44992,12331.57833
E01015074,12579.1033,14425.30301,15250.27456,15878.09995,15470.25682,15366.51783
E01015075,12437.23772,13536.09077,13698.62717,13846.89975,13587.44029,13631.20512
E01015076,14844.37733,15129.19231,14949.30765,13564.27691,13292.35772,13120.96734
E01015077,13828.24785,14391.43112,13886.60808,14326.0647,13988.74615,13894.27622
E01015078,10352.66611,11897.32918,12861.35694,13094.87151,12785.99705,12682.87579
