Area,RD&E Exeter Hospital,Barnstaple Hospital,Torbay Hospital,Plymouth Hospital,Community Hospital,Outside Devon,Total
E92000001,,,,,,,
E12000009,,,,,,,
E01015023,1,0,1,226,2,31,261
E01015024,0,0,1,132,1,25,159
E01015025,2,0,0,293,5,39,339
E01015026,0,0,0,193,2,23,218
E01015027,6,0,3,271,6,30,316
E01015028,1,0,0,169,2,23,195
E01015029,0,0,0,219,3,30,252
E01015030,2,0,2,201,3,21,229
E01015031,0,0,0,151,5,15,171
E01015032,0,0,0,184,3,18,205
E01015033,1,0,1,201,4,39,246
E01015034,8,0,1,168,2,21,200
E01015035,0,0,0,174,3,24,201
E01015036,0,0,1,206,1,26,234
E01015037,1,0,0,137,4,18,160
E01015038,1,0,1,201,4,38,245
E01015039,1,0,0,143,12,56,212
E01015040,0,0,1,173,4,19,197
E01015041,1,0,1,264,14,89,369
E01015042,0,0,0,146,4,22,172
E01015043,0,0,0,173,4,17,194
E01015044,0,0,1,132,6,20,159
E01015045,0,0,0,153,1,20,174
E01015046,0,0,0,178,4,31,213
E01015047,0,0,0,164,6,21,191
E01015048,1,0,0,178,2,35,216
E01015049,0,0,0,100,4,15,119
E01015050,0,0,0,76,7,12,95
E01015051,0,0,0,123,7,18,148
E01015052,0,0,0,139,8,21,168
E01015053,0,0,0,117,1,31,149
E01015054,0,0,0,97,5,27,129
E01015055,1,0,1,201,4,36,243
E01015056,1,0,0,258,8,22,289
E01015057,0,0,2,224,4,22,252
E01015058,1,0,1,253,4,26,285
E01015059,0,0,1,132,2,38,173
E01015060,0,0,2,163,9,19,193
E01015061,0,0,1,110,6,22,139
E01015062,0,0,0,181,4,14,199
E01015063,2,0,0,189,5,32,228
E01015064,0,0,0,266,5,65,336
E01015065,0,0,3,205,3,37,248
E01015066,0,0,1,129,2,32,164
E01015067,1,0,0,213,4,32,250
E01015068,0,0,1,183,4,28,216
E01015069,0,0,2,163,4,36,205
E01015070,0,0,0,259,9,35,303
E01015071,1,0,0,196,2,29,228
E01015072,1,0,0,182,4,30,217
E01015073,0,0,0,201,2,29,232
E01015074,3,0,1,213,5,21,243
E01015075,3,0,8,165,4,26,206
E01015076,0,0,1,145,4,19,169
E01015077,0,0,0,241,9,31,281
E01015078,0,0,1,233,4,31,269
E01015079,1,0,0,228,5,22,256
E01015080,0,0,0,65,1,7,73
E01015081,0,0,0,166,4,28,198
E01015082,1,0,0,210,3,29,243
E01015083,0,0,0,196,7,18,221
E01015084,2,0,0,182,2,32,218
E01015085,1,0,0,219,3,40,263
E01015086,2,0,2,220,3,20,247
E01015087,1,0,2,154,8,21,186
E01015088,0,0,2,208,4,20,234
E01015089,0,0,0,173,6,29,208
E01015090,1,0,1,172,2,28,204
E01015091,0,0,0,197,8,21,226
E01015092,0,0,0,201,5,35,241
E01015093,1,0,0,242,5,29,277
E01015094,1,0,1,180,2,19,203
E01015095,3,0,0,261,2,31,297
E01015096,1,0,0,139,3,15,158
E01015097,1,0,2,363,13,53,432
E01015098,0,0,0,247,3,46,296
E01015099,0,0,0,132,5,34,171
E01015100,0,0,0,133,6,22,161
E01015101,1,0,0,213,0,35,249
E01015102,0,0,0,141,3,23,167
E01015103,1,0,0,149,3,33,186
E01015104,0,0,0,164,5,32,201
E01015105,1,0,0,175,2,38,216
E01015106,0,0,0,136,0,28,164
E01015107,1,0,1,128,6,26,162
E01015108,2,0,0,148,9,29,188
E01015109,0,0,1,147,1,31,180
E01015110,2,0,0,223,11,30,266
E01015111,1,0,0,171,0,30,202
E01015112,0,0,0,142,10,27,179
E01015113,0,0,1,156,5,24,186
E01015114,2,0,1,170,6,16,195
E01015115,0,0,4,173,7,28,212
E01015116,0,0,0,163,7,41,211
E01015117,2,0,0,224,4,32,262
E01015118,4,0,0,237,7,26,274
E01015119,2,0,1,176,9,19,207
E01015120,1,0,0,201,3,40,245
E01015121,1,0,0,232,4,28,265
E01015122,0,0,3,169,4,31,207
E01015123,1,0,0,261,8,27,297
E01015124,0,0,0,247,6,28,281
E01015125,2,0,0,181,6,37,226
E01015126,0,0,0,207,4,34,245
E01015127,0,0,1,250,1,27,279
E01015128,3,0,1,214,3,57,278
E01015129,1,0,0,236,3,29,269
E01015130,0,0,1,143,6,45,195
E01015131,0,0,0,202,3,45,250
E01015132,7,0,0,198,7,40,252
E01015133,0,0,1,267,4,38,310
E01015134,1,0,1,308,8,32,350
E01015135,1,1,1,202,9,39,253
E01015136,1,0,0,199,5,28,233
E01015137,0,0,0,206,4,37,247
E01015138,4,0,1,255,8,56,324
E01015139,0,0,1,218,8,23,250
E01015140,2,0,0,239,6,43,290
E01015141,0,0,0,273,11,46,330
E01015142,1,0,0,125,7,13,146
