,,14,15,16,17,18,19
Area,Label,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,England,,,,,,
E12000009,South West,,,,,,
E01015023,Plymouth 003A,188,183,185,195,218,229
E01015024,Plymouth 004A,119,115,113,116,114,113
E01015025,Plymouth 001A,166,164,173,170,181,185
E01015026,Plymouth 003B,201,185,174,181,180,194
E01015027,Plymouth 002A,132,124,134,145,151,148
E01015028,Plymouth 003C,196,193,192,183,185,188
E01015029,Plymouth 008A,205,197,193,170,167,160
E01015030,Plymouth 007A,220,215,215,220,217,206
E01015031,Plymouth 023A,176,178,181,182,177,180
E01015032,Plymouth 023B,156,140,145,138,155,151
E01015033,Plymouth 016A,119,111,107,112,117,122
E01015034,Plymouth 016B,161,172,176,178,168,151
E01015035,Plymouth 012A,136,120,112,113,121,136
E01015036,Plymouth 016C,167,143,127,136,151,171
E01015037,Plymouth 012B,125,108,116,127,151,160
E01015038,Plymouth 016D,148,148,150,144,146,144
E01015039,Plymouth 014A,208,203,216,221,225,192
E01015040,Plymouth 014B,177,156,151,152,165,180
E01015041,Plymouth 014C,147,141,129,138,138,179
E01015042,Plymouth 020A,136,132,133,128,126,126
E01015043,Plymouth 026A,189,181,192,196,197,198
E01015044,Plymouth 020B,174,174,162,169,158,149
E01015045,Plymouth 026B,194,176,162,160,172,181
E01015046,Plymouth 026C,342,333,331,348,329,318
E01015047,Plymouth 026D,184,159,156,173,181,193
E01015048,Plymouth 026E,134,140,153,171,194,217
E01015049,Plymouth 023C,106,95,88,90,85,89
E01015050,Plymouth 023D,146,131,108,105,119,132
E01015051,Plymouth 023E,104,101,101,104,103,114
E01015052,Plymouth 028A,183,183,183,176,166,162
E01015053,Plymouth 027A,99,86,94,95,113,129
E01015054,Plymouth 027B,145,129,123,125,132,129
E01015055,Plymouth 021A,214,191,172,182,197,211
E01015056,Plymouth 021B,217,179,164,168,181,201
E01015057,Plymouth 021C,299,277,259,240,242,250
E01015058,Plymouth 012C,183,178,170,170,186,202
E01015059,Plymouth 021D,139,133,132,139,136,136
E01015060,Plymouth 021E,159,164,150,158,157,172
E01015061,Plymouth 025A,131,120,117,124,125,128
E01015062,Plymouth 025B,118,125,132,144,140,135
E01015063,Plymouth 010A,168,167,169,177,188,199
E01015064,Plymouth 008B,169,162,161,171,184,186
E01015065,Plymouth 008C,162,160,141,143,148,170
E01015066,Plymouth 012D,100,112,119,131,131,130
E01015067,Plymouth 012E,157,136,134,135,140,151
E01015068,Plymouth 010B,147,145,142,141,140,124
E01015069,Plymouth 010C,188,196,197,208,189,184
E01015070,Plymouth 007B,279,257,255,258,249,251
E01015071,Plymouth 008D,197,193,182,185,179,188
E01015072,Plymouth 013A,189,186,195,191,184,178
E01015073,Plymouth 013B,195,187,175,188,195,191
E01015074,Plymouth 011A,208,212,214,220,208,208
E01015075,Plymouth 014D,225,195,179,161,154,164
E01015076,Plymouth 009A,134,121,115,126,122,121
E01015077,Plymouth 011B,233,239,233,241,237,243
E01015078,Plymouth 013C,192,161,146,178,206,236
E01015079,Plymouth 011C,170,157,146,156,148,139
E01015080,Plymouth 013D,167,144,119,100,91,86
E01015081,Plymouth 007C,206,201,203,191,185,175
E01015082,Plymouth 004B,228,207,219,215,231,242
E01015083,Plymouth 004C,257,253,244,233,234,238
E01015084,Plymouth 004D,172,156,158,176,181,186
E01015085,Plymouth 006A,206,205,177,182,180,191
E01015086,Plymouth 007D,170,173,174,184,180,180
E01015087,Plymouth 006B,183,157,158,166,184,177
E01015088,Plymouth 006C,211,188,188,175,186,186
E01015089,Plymouth 007E,241,224,206,213,208,212
E01015090,Plymouth 005A,111,103,99,103,114,124
E01015091,Plymouth 005B,141,130,135,141,155,156
E01015092,Plymouth 005C,131,138,159,155,161,157
E01015093,Plymouth 005D,160,156,149,150,148,166
E01015094,Plymouth 005E,161,166,163,168,174,185
E01015095,Plymouth 010D,180,179,177,174,170,178
E01015096,Plymouth 010E,171,160,159,159,159,162
E01015097,Plymouth 001B,164,177,193,206,210,225
E01015098,Plymouth 017A,139,118,114,116,125,121
E01015099,Plymouth 017B,113,120,102,93,80,88
E01015100,Plymouth 017C,128,114,104,105,109,109
E01015101,Plymouth 016E,174,176,184,200,200,202
E01015102,Plymouth 011D,168,148,136,136,145,149
E01015103,Plymouth 017D,127,118,118,122,135,147
E01015104,Plymouth 011E,120,108,113,114,126,127
E01015105,Plymouth 017E,122,117,110,116,124,127
