Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,
E12000009,,,,,,
E01015023,945.9312907,904.742669,865.6676566,862.5995281,812.1843969,813.1878779
E01015024,891.4911914,877.2210211,850.0040398,842.3695524,734.5346651,743.4668739
E01015025,597.0759617,534.2740963,519.9929093,539.7561031,516.2167813,482.1671097
E01015026,966.6499827,887.8388426,863.0945173,885.5780078,840.6075976,821.9061448
E01015027,796.0053717,747.3749562,743.3207008,764.6001802,683.4694907,695.9093538
E01015028,1024.974111,1022.348278,1042.667406,979.9553508,914.6000444,911.192374
E01015029,849.6925011,824.4274755,810.3585901,771.0918983,729.5705484,721.1736347
E01015030,1040.231515,962.7763516,964.4358873,980.7591648,910.6421211,909.2591259
E01015031,817.5103771,834.6033063,822.7819042,826.1256106,782.7435185,762.6315201
E01015032,1040.729929,989.157159,1133.806774,1011.094452,928.1551226,955.2660273
E01015033,769.3320732,674.8796613,625.2765143,664.3594428,604.4095284,620.2140507
E01015034,732.1528753,786.8560177,721.4083264,733.2713048,674.6297617,690.8681486
E01015035,812.1675541,749.6794486,735.1724989,721.2940706,647.3120266,629.808574
E01015036,743.4590062,698.1076021,685.0161395,718.6602584,628.4231989,602.8632091
E01015037,778.7874538,715.4709702,737.353395,785.2951697,738.0413024,705.4890146
E01015038,798.9986344,755.0038028,720.4240817,694.2831142,641.2778999,628.063436
E01015039,749.6718207,749.9836074,742.3259984,815.6791967,756.2744149,768.2156479
E01015040,1048.757288,949.1094497,924.4875356,908.3083372,851.895021,830.8633378
E01015041,982.1889951,929.5246722,865.5954989,883.7040339,836.7021806,802.5141933
E01015042,873.0863174,882.1713696,855.623989,866.3911535,832.8273541,818.0987094
E01015043,1041.944716,1020.476988,1095.536461,1103.011098,1077.915522,1047.252031
E01015044,1035.268571,981.4010578,956.6184347,999.8071691,902.9074099,878.1522985
E01015045,1094.964537,1049.872761,987.4181479,961.2546081,920.9744084,890.6857501
E01015046,1024.298715,983.5237039,1007.181349,1072.951817,1014.37198,1005.52341
E01015047,1025.157672,972.575741,885.9907864,883.2368786,846.6015426,817.9712205
E01015048,1304.142009,1189.241106,1071.273152,1049.584397,986.1850201,951.6011308
E01015049,949.981331,1008.076281,957.7509626,970.7009375,878.5288387,888.0721312
E01015050,939.479916,1072.44044,968.8231483,1048.867379,972.6862051,924.5130587
E01015051,922.2418049,934.2556377,990.3044474,852.9183205,741.4461998,737.4706084
E01015052,1026.185927,1100.44667,1061.933095,1060.032981,994.2595054,1011.818407
E01015053,1136.650996,1034.074365,1031.3618,957.9850386,850.2861308,857.2099806
E01015054,1449.240148,1295.020165,1380.166899,1643.555592,1557.521771,1566.469312
E01015055,1132.456158,1053.514495,1004.12405,1006.206495,946.9701019,939.0861167
E01015056,848.7867604,776.47871,725.7192065,742.8954721,681.8557847,672.4341077
E01015057,1140.555335,1081.75549,994.3826271,1000.397528,909.3136135,903.1025555
E01015058,1110.823827,1076.906285,1017.300446,1035.934954,945.0145555,929.6557667
E01015059,900.39662,899.0587827,853.1981021,904.3047098,804.9060107,805.1967166
E01015060,900.3195797,888.3670263,864.6532725,946.4588429,819.9339899,839.5543023
E01015061,868.4855178,810.4547641,843.9439317,815.484053,763.1168886,754.3038275
E01015062,756.9471448,769.0841903,923.8685588,1034.557686,1025.019961,890.6285172
E01015063,942.3717618,912.7985898,898.1966002,870.0324078,819.3887709,797.3178006
E01015064,753.1078843,729.1147404,646.059075,666.1845473,592.6015039,578.193889
E01015065,762.7201151,755.2547007,726.4942538,677.1698281,624.5834658,606.9056741
E01015066,777.9119191,789.877655,806.7322188,875.6455619,769.2832388,781.8489518
E01015067,838.1175885,732.8627412,699.8736292,739.7845541,696.054414,678.3427356
E01015068,841.0476635,821.0232531,775.9284485,829.0267025,708.2579037,710.6027685
E01015069,885.8249751,889.6978255,889.4404447,919.7221384,868.9742926,839.505316
E01015070,748.5473115,680.049047,658.0837316,668.2025489,642.3101762,618.1165454
E01015071,895.9447281,837.0610759,790.522507,846.6330376,776.278974,781.688131
E01015072,965.56435,939.4945297,949.9796912,962.0297599,901.4472355,870.4927549
E01015073,1012.602315,967.9205629,896.3162301,974.4987415,881.2415683,872.4655558
E01015074,990.846555,1002.72434,972.1847877,992.9792662,907.3993631,905.5678586
E01015075,1071.790406,985.8546661,946.9111816,916.1109919,886.4830487,872.8018881
E01015076,943.6550148,845.9135494,775.8744045,813.8929727,756.6200405,764.3638384
E01015077,821.8395698,802.8890238,764.4460632,783.7962529,696.2577019,715.298126
E01015078,976.4057457,1065.732013,1134.244616,1046.048109,929.4958385,928.223484
E01015079,853.8681008,803.7671109,775.1453372,819.6429688,711.632118,697.4462007
