Area,2009-2011,2010-2012,2011-2013,2012-2014,2013-2015,2014-2016
E92000001,,,,,,
E12000009,,,,,,
E01015023,11451.37714,10815.71348,10404.98867,10653.73654,9788.48929,10077.68619
E01015024,8581.950081,8301.033761,7973.027619,8005.92149,6577.056661,6911.536299
E01015025,6798.109988,6040.16487,6049.827922,6219.086227,5877.474027,5478.760919
E01015026,12110.77212,10671.47771,10070.54863,10518.90166,9425.639056,9726.515738
E01015027,8081.789232,7344.621581,7613.295372,8126.867693,7034.937869,7302.419637
E01015028,12691.54436,12540.2651,12778.43396,11725.50516,10496.64248,10813.16021
E01015029,10759.59861,10225.63122,9939.970328,8875.829681,7904.956665,8153.13279
E01015030,13634.70994,12484.91534,12487.06075,12845.44077,11484.50466,11936.04897
E01015031,9593.234017,9830.77223,9782.020642,9839.845188,9098.024201,8923.835412
E01015032,11499.2203,10342.69868,12078.8676,10496.29013,9553.48221,10000.21436
E01015033,7405.983941,6292.793815,5715.688623,6203.966504,5481.744282,5783.074177
E01015034,8209.548374,9128.185787,8449.487871,8653.374704,7833.832925,8114.785306
E01015035,8359.624475,7247.14179,6865.237798,6785.717092,5907.892629,5854.927736
E01015036,8490.237096,7377.257491,6812.970852,7397.155741,6348.032934,6058.687776
E01015037,7704.718883,6570.651767,7007.842785,7820.586836,7243.116278,6876.70852
E01015038,8580.089713,8116.794539,7797.195207,7362.450788,6600.660664,6567.076639
E01015039,9562.14057,9442.877287,9641.089237,10707.6042,9738.522076,10084.53952
E01015040,12318.47242,10486.88843,10050.1586,9906.844111,8594.455896,9150.956332
E01015041,10523.45352,9742.290508,8687.891742,9162.749043,8144.52051,8127.27138
E01015042,8986.660093,8967.92858,8719.936629,8650.82098,8039.71073,8168.626203
E01015043,12647.2709,12132.40946,13403.08238,13646.22331,12601.09559,12912.23922
E01015044,12067.91409,11439.9915,10759.71602,11497.19855,9997.642417,9856.811514
E01015045,13488.95357,12308.2854,11094.70867,10756.10174,9934.482581,9809.827963
E01015046,16739.56765,15868.23998,16184.80382,17679.35036,15892.67562,16141.86505
E01015047,12299.77481,10837.43613,9768.583082,10256.1887,9413.904514,9507.484615
E01015048,13340.79897,12434.79088,11709.82736,12140.67558,10989.08467,11219.39676
E01015049,8656.739339,8682.799147,7924.54617,8137.879592,7101.282856,7403.682751
E01015050,10020.10211,10860.88516,8911.075352,9512.793043,8666.956263,8291.559438
E01015051,8297.91397,8310.869209,8794.962101,7674.172662,6584.83484,6646.085775
E01015052,12278.67001,13167.22552,12683.27368,12427.39972,11467.11401,11839.66397
E01015053,9994.228859,8490.740793,8836.484595,8265.814824,7246.213495,7562.52358
E01015054,15403.84536,12997.98233,13508.26106,16260.06395,15326.73062,15579.64717
E01015055,14651.11957,12877.76187,11648.67609,11984.75875,11028.05841,11009.4674
E01015056,11057.7387,9180.379276,8212.872809,8500.718455,7613.848214,7724.984954
E01015057,17418.64201,15900.54765,14132.80339,13705.16192,11791.63101,12190.73862
E01015058,13279.30322,12696.74709,11732.85257,11947.77033,10329.72522,10531.4836
E01015059,9380.928204,9162.594449,8662.463194,9421.645272,7835.014256,8123.33386
E01015060,10021.76235,10043.31548,9358.196822,10502.10201,8674.751579,9166.962593
E01015061,8773.028558,7834.656,8066.981884,8035.516871,7179.173552,7362.592817
E01015062,7255.99269,7598.597605,9379.975608,10983.54639,10869.71419,9245.719127
E01015063,10793.97632,10434.47848,10308.38414,10228.84551,9034.255669,9177.708928
E01015064,8651.772729,8192.391085,7236.685167,7690.834464,6699.577633,6543.347381
E01015065,8587.635634,8433.447047,7623.357663,7155.997402,6333.342279,6315.558929
E01015066,6874.402897,7376.089205,7787.80097,8845.355925,7374.244813,7631.454682
E01015067,9270.385887,7552.602932,7159.399303,7605.227412,7093.712261,6913.206904
E01015068,9011.224966,8726.583545,8161.31365,8699.266418,7099.520387,7187.321947
E01015069,10723.73434,10997.79217,11022.67007,11712.36485,10714.13911,10324.17709
E01015070,11049.07477,9640.350302,9292.647607,9478.547778,8866.337766,8676.852944
E01015071,11103.27644,10276.38479,9424.416897,10176.19995,9005.483262,9327.625683
E01015072,11740.84404,11322.83774,11722.9303,11749.23923,10638.02804,10291.91598
E01015073,12495.7054,11686.31689,10488.12999,11807.68512,10419.0002,10420.3546
E01015074,12628.23419,12912.05008,12558.03718,13005.4929,11564.70858,11633.47758
E01015075,14196.58026,12165.63432,11205.83727,10261.61087,9689.931498,9592.208187
E01015076,9641.161707,8222.866178,7363.315394,8062.726023,7170.200771,7389.095602
E01015077,11077.93182,10968.79771,10311.67852,10745.22986,9188.12722,9724.341236
E01015078,11945.60575,11949.93397,12111.2149,12344.47085,10324.77388,10768.16625
