Area,2011,2012,2013,2014,2015
E92000001,,,,,
E12000009,,,,,
E01015023,58,73,91,94,87
E01015024,30,31,54,50,44
E01015025,48,38,58,59,54
E01015026,35,57,73,65,56
E01015027,45,40,66,67,62
E01015028,33,56,65,72,67
E01015029,68,65,99,109,102
E01015030,43,76,86,91,84
E01015031,144,112,151,162,156
E01015032,227,219,241,231,226
E01015033,58,46,69,68,62
E01015034,80,62,63,69,65
E01015035,50,42,62,50,45
E01015036,76,61,84,89,83
E01015037,56,57,76,67,63
E01015038,65,54,85,80,74
E01015039,52,54,82,82,76
E01015040,68,106,117,103,98
E01015041,94,94,150,118,112
E01015042,76,69,117,114,109
E01015043,53,77,120,109,104
E01015044,107,112,163,156,151
E01015045,26,59,73,53,48
E01015046,17,79,87,79,73
E01015047,24,34,52,47,41
E01015048,11,48,62,48,43
E01015049,131,122,153,160,156
E01015050,200,196,174,169,164
E01015051,142,121,145,132,127
E01015052,172,188,195,200,194
E01015053,125,142,171,156,153
E01015054,86,112,127,124,119
E01015055,47,68,86,86,80
E01015056,64,63,87,69,63
E01015057,42,66,87,81,75
E01015058,48,83,99,95,88
E01015059,72,69,112,102,95
E01015060,72,74,107,92,87
E01015061,111,87,119,122,116
E01015062,198,165,205,240,234
E01015063,31,40,66,59,53
E01015064,67,53,76,68,62
E01015065,64,67,77,71,65
E01015066,36,33,58,57,51
E01015067,51,38,62,58,52
E01015068,35,32,57,54,48
E01015069,50,59,83,80,74
E01015070,75,70,92,86,76
E01015071,58,60,84,79,74
E01015072,72,111,118,98,93
E01015073,45,65,83,81,76
E01015074,54,73,86,85,80
E01015075,62,85,113,92,85
E01015076,64,59,89,70,65
E01015077,54,55,73,67,61
E01015078,55,105,104,86,81
E01015079,71,64,75,67,61
E01015080,30,103,112,97,92
E01015081,47,69,87,89,85
E01015082,37,70,75,85,80
E01015083,45,59,61,67,63
E01015084,55,60,77,74,69
E01015085,73,74,97,81,75
E01015086,28,44,63,59,54
E01015087,51,85,88,100,95
E01015088,27,54,72,78,73
E01015089,55,53,77,67,61
E01015090,32,31,54,51,45
E01015091,34,43,52,50,43
E01015092,23,28,46,47,41
E01015093,31,47,70,66,61
E01015094,33,39,53,55,49
E01015095,41,43,67,63,58
E01015096,30,50,71,74,68
E01015097,51,50,104,109,103
E01015098,82,71,112,122,117
E01015099,87,74,109,113,106
E01015100,97,84,125,128,123
E01015101,78,59,80,69,64
E01015102,76,68,95,90,82
E01015103,81,66,111,118,113
E01015104,78,65,85,69,64
E01015105,79,61,92,95,88
E01015106,60,48,60,56,52
E01015107,28,28,47,42,37
E01015108,55,50,80,82,77
E01015109,19,24,42,27,21
E01015110,31,28,49,48,42
E01015111,18,23,40,31,24
E01015112,50,40,58,57,53
E01015113,49,41,64,53,48
E01015114,63,53,68,69,62
E01015115,57,68,84,82,76
E01015116,36,33,57,52,45
E01015117,38,40,64,61,53
E01015118,69,53,71,61,56
E01015119,30,30,48,44,39
E01015120,56,54,68,60,56
E01015121,55,44,70,58,53
E01015122,62,49,72,66,60
E01015123,69,48,66,60,54
E01015124,61,53,73,68,63
E01015125,44,42,69,63,58
E01015126,64,47,69,59,54
E01015127,62,55,79,67,60
E01015128,49,44,69,52,46
E01015129,21,29,54,33,28
E01015130,58,49,75,79,74
E01015131,43,29,37,32,27
E01015132,54,50,71,62,57
E01015133,51,36,58,52,47
E01015134,73,52,65,60,52
E01015135,75,65,75,68,63
E01015136,94,76,90,74,68
E01015137,63,53,75,69,64
E01015138,43,45,79,55,48
E01015139,57,50,71,67,61
E01015140,73,49,74,70,65
E01015141,53,38,61,51,43
E01015142,51,42,60,57,52
E01015143,60,57,76,64,59
E01015144,72,101,133,115,109
E01015145,16,67,95,109,104
E01015146,34,76,89,83,78
E01015147,56,54,71,62,57
E01015148,35,40,52,46,41
E01015149,39,108,124,113,108
E01015150,68,66,86,70,65
E01015151,164,213,236,245,237
E01015152,29,80,120,109,101
E01015153,101,131,150,141,134
E01015155,42,90,115,117,110
E01015156,74,95,111,113,106
E01015157,112,143,145,171,160
E01015158,136,144,201,201,190
E01015159,54,68,99,81,74
E01015160,37,33,51,43,38
E01015161,44,50,74,74,68
E01015162,48,63,84,77,72
E01015163,49,53,66,62,56
E01015164,58,55,74,80,72
E01015165,41,38,70,70,65
E01015166,39,60,81,76,70
E01015167,75,73,129,126,121
E01015168,103,109,177,160,154
E01015169,161,175,171,174,168
E01015170,78,93,122,122,114
E01015171,108,101,145,157,149
E01015172,134,126,183,188,180
E01015173,117,92,119,134,129
E01015174,71,67,109,94,88
E01015175,130,112,167,172,165
E01015176,77,87,116,105,98
E01015177,143,125,177,176,170
E01015178,199,170,227,224,218
E01015179,177,145,184,184,178
