Area,2011,2012,2013,2014,2015
E92000001,,,,,
E12000009,,,,,
E01015023,0.019806776,0.021356425,0.0232123,0.023533889,0.022818816
E01015024,0.014733676,0.014661257,0.01911287,0.018465048,0.01732534
E01015025,0.018758561,0.016153348,0.019639892,0.019779558,0.019058729
E01015026,0.013680249,0.016987218,0.018839168,0.017791859,0.016591954
E01015027,0.018482645,0.01678462,0.021137647,0.021323135,0.020616462
E01015028,0.016053572,0.020061188,0.021189855,0.02229824,0.021535742
E01015029,0.024243433,0.019393585,0.023173717,0.024304065,0.023640466
E01015030,0.015413012,0.019874208,0.020660234,0.021272138,0.020503121
E01015031,0.029980067,0.026639456,0.029744603,0.030540917,0.03016945
E01015032,0.034198629,0.029885905,0.030450792,0.030137936,0.029910948
E01015033,0.022089854,0.018606266,0.022386333,0.022196633,0.021250952
E01015034,0.029931578,0.026012657,0.025797042,0.026794524,0.026184698
E01015035,0.020135542,0.017547548,0.0208837,0.018787567,0.017886087
E01015036,0.024436998,0.020539697,0.023527231,0.024203719,0.023459951
E01015037,0.022456672,0.021527389,0.024217726,0.022836567,0.022231897
E01015038,0.021403285,0.017869062,0.021936442,0.021285507,0.020607808
E01015039,0.029411103,0.027009457,0.032102244,0.032285688,0.031207517
E01015040,0.024875913,0.02929392,0.03001866,0.028371946,0.027878854
E01015041,0.025663581,0.025699895,0.030792225,0.027958362,0.027407008
E01015042,0.02429038,0.02197016,0.02755585,0.02713637,0.026787578
E01015043,0.020136391,0.022361939,0.026918476,0.025769989,0.025333325
E01015044,0.024620018,0.024633104,0.028386535,0.027920743,0.027680647
E01015045,0.0131861,0.017830261,0.019489044,0.016618912,0.015859689
E01015046,0.007873994,0.016685608,0.017246877,0.016436108,0.015822657
E01015047,0.011796679,0.015743261,0.019162675,0.018233812,0.017100767
E01015048,0.009832399,0.020038589,0.02226212,0.019572721,0.018623203
E01015049,0.034800049,0.031046478,0.033422283,0.033934162,0.033806463
E01015050,0.037852206,0.03359205,0.031653451,0.03127124,0.031071316
E01015051,0.035988588,0.034447259,0.03609714,0.034902209,0.034437316
E01015052,0.029434275,0.028065751,0.027990959,0.028262038,0.027993779
E01015053,0.033213268,0.033623446,0.035424349,0.034236217,0.034136616
E01015054,0.033219862,0.033004457,0.034003588,0.033629601,0.033235559
E01015055,0.019670382,0.023388377,0.025581039,0.025581039,0.024883213
E01015056,0.018924687,0.018376423,0.021076513,0.018865836,0.018103294
E01015057,0.017391603,0.021287669,0.02378572,0.023095995,0.022265929
E01015058,0.020970184,0.027707261,0.029459403,0.028928701,0.028088227
E01015059,0.023782289,0.022321287,0.027369469,0.026295379,0.025570869
E01015060,0.024334191,0.02291773,0.026677995,0.024849759,0.024351348
E01015061,0.02851245,0.025832066,0.029127518,0.02947738,0.028934532
E01015062,0.032559746,0.029832384,0.031832942,0.033502082,0.033317057
E01015063,0.015728181,0.017111174,0.02153217,0.020438228,0.019459923
E01015064,0.021026569,0.017584506,0.020661504,0.019498234,0.018701428
E01015065,0.022335168,0.022134709,0.023156286,0.022338958,0.021496072
E01015066,0.017713372,0.016179775,0.021122778,0.020973609,0.019932874
E01015067,0.020086278,0.017203132,0.021663624,0.020901868,0.019885127
E01015068,0.017341039,0.015270464,0.020150208,0.019557311,0.018483941
E01015069,0.018491501,0.019560274,0.022585535,0.022283953,0.021439126
E01015070,0.014053952,0.013528377,0.01520308,0.014645194,0.013867685
E01015071,0.0202074,0.019244295,0.022269161,0.021600534,0.021043014
E01015072,0.025231754,0.02909569,0.02927065,0.02702797,0.026435759
E01015073,0.019090376,0.021589666,0.023822176,0.023550648,0.022947561
E01015074,0.018978088,0.022040246,0.023338443,0.023210787,0.02267897
E01015075,0.02189252,0.024327611,0.027141628,0.024712866,0.023954774
E01015076,0.022925017,0.021016283,0.025135581,0.022411616,0.021715727
E01015077,0.017451801,0.017212314,0.019465065,0.018663513,0.017881293
E01015078,0.022257999,0.034649158,0.033612808,0.03102722,0.03042668
E01015079,0.024061031,0.021871656,0.023131354,0.021910213,0.020989598
E01015080,0.020353333,0.035451243,0.036012409,0.033887854,0.033315726
E01015081,0.019127898,0.022750946,0.024837625,0.02520745,0.024676704
E01015082,0.017508299,0.020842449,0.02115175,0.022481931,0.02193129
E01015083,0.0159442,0.019319308,0.019298478,0.020184248,0.019661637
E01015084,0.02138297,0.021446207,0.023694823,0.023319661,0.022550612
E01015085,0.021356425,0.020661225,0.023013524,0.021141695,0.020451323
E01015086,0.01501705,0.018327255,0.021512679,0.020830247,0.019993126
E01015087,0.022550005,0.027783586,0.027645886,0.029221915,0.028612203
E01015088,0.015088924,0.020355986,0.022949277,0.023839823,0.023202722
