Area,2011,2012,2013,2014,2015
E92000001,0.109043408,0.1041,0.103916287,0.105550905,0.110439742
E12000009,0.093880216,0.0939,0.115378933,0.121614444,0.11368234
E01015023,0.084919473,0.102816901,0.125344353,0.129298487,0.12033195
E01015024,0.045941807,0.046407186,0.079062958,0.073529412,0.064801178
E01015025,0.073282443,0.056296296,0.084179971,0.085507246,0.078832117
E01015026,0.045751634,0.071878941,0.090234858,0.080346106,0.069565217
E01015027,0.069984448,0.059970015,0.096774194,0.098384728,0.091445428
E01015028,0.052380952,0.084592145,0.096296296,0.106824926,0.099406528
E01015029,0.113333333,0.087837838,0.13060686,0.144370861,0.135458167
E01015030,0.056878307,0.09731114,0.107769424,0.114321608,0.105660377
E01015031,0.210526316,0.161616162,0.214184397,0.229461756,0.221590909
E01015032,0.31971831,0.265776699,0.287589499,0.276978417,0.270983213
E01015033,0.095081967,0.07120743,0.105022831,0.103343465,0.094368341
E01015034,0.153846154,0.116541353,0.116451017,0.126838235,0.120147874
E01015035,0.080385852,0.064220183,0.092675635,0.074850299,0.067669173
E01015036,0.120826709,0.09037037,0.122093023,0.129548763,0.120991254
E01015037,0.095076401,0.09178744,0.119685039,0.105678233,0.099683544
E01015038,0.097305389,0.073770492,0.11409396,0.107238606,0.099730458
E01015039,0.121495327,0.113207547,0.168032787,0.169072165,0.156701031
E01015040,0.116438356,0.174055829,0.188405797,0.165594855,0.158319871
E01015041,0.141779789,0.141993958,0.221893491,0.175074184,0.166666667
E01015042,0.120063191,0.102985075,0.171554252,0.166423358,0.160294118
E01015043,0.082683307,0.110791367,0.169491525,0.153737659,0.147308782
E01015044,0.14498645,0.148541114,0.211963589,0.203125,0.197643979
E01015045,0.038461538,0.076822917,0.09346991,0.067861716,0.061696658
E01015046,0.018952062,0.082722513,0.089783282,0.081443299,0.075335397
E01015047,0.033149171,0.052067381,0.077844311,0.070464768,0.061840121
E01015048,0.019713262,0.078431373,0.099041534,0.076555024,0.069020867
E01015049,0.236462094,0.2,0.246376812,0.257234727,0.252427184
E01015050,0.33557047,0.286131387,0.248927039,0.241428571,0.235632184
E01015051,0.257246377,0.223659889,0.261261261,0.238267148,0.22965642
E01015052,0.227513228,0.226506024,0.230496454,0.236406619,0.22985782
E01015053,0.218531469,0.237855946,0.28125,0.256157635,0.252475248
E01015054,0.178794179,0.204379562,0.226381462,0.220640569,0.212880143
