Area,2011,2012,2013,2014,2015
E92000001,,,,,
E12000009,,,,,
E01015023,0.023476801,0.024720618,0.026304763,0.026588022,0.025967823
E01015024,0.018995947,0.018820052,0.022839883,0.022263643,0.02121801
E01015025,0.022707737,0.020159001,0.023284444,0.023406026,0.0227769
E01015026,0.017306149,0.020248649,0.021885147,0.020917786,0.019823264
E01015027,0.022542191,0.020799904,0.024699529,0.024875047,0.024250847
E01015028,0.020397957,0.023853173,0.024793932,0.025807218,0.025115415
E01015029,0.028123834,0.022749968,0.02609032,0.027119359,0.026536654
E01015030,0.018974862,0.022972795,0.023608099,0.024175501,0.023479133
E01015031,0.032501203,0.029557067,0.032158355,0.032820749,0.032523195
E01015032,0.035704964,0.031571791,0.031952946,0.031723223,0.031539127
E01015033,0.026098406,0.02263356,0.026005277,0.025826369,0.024974666
E01015034,0.033929346,0.030359916,0.03007175,0.030923935,0.030415847
E01015035,0.024221454,0.021598535,0.024555885,0.0226424,0.021832529
E01015036,0.028059889,0.024200948,0.026822959,0.027436245,0.026775554
E01015037,0.026610973,0.025498305,0.02781718,0.026582524,0.026051059
E01015038,0.025036026,0.021390373,0.025043757,0.024446846,0.023851154
E01015039,0.034762442,0.031912742,0.03618623,0.036382091,0.035462043
E01015040,0.028830628,0.032494704,0.033015509,0.031588349,0.031183448
E01015041,0.028899969,0.028939238,0.033242007,0.030837067,0.030370987
E01015042,0.02789762,0.025537187,0.030431874,0.030045487,0.029773718
E01015043,0.024074858,0.025726741,0.029705262,0.028689144,0.028321239
E01015044,0.027495961,0.027418059,0.030614438,0.030221065,0.030036553
E01015045,0.017387708,0.021156729,0.022619329,0.019966363,0.019275006
E01015046,0.011219072,0.019309648,0.019785241,0.019027484,0.018458117
E01015047,0.015774291,0.019934545,0.022987287,0.022139319,0.021120815
E01015048,0.015284972,0.024214124,0.026125202,0.023666544,0.022826591
E01015049,0.037638077,0.033982425,0.035854244,0.036257241,0.036191504
E01015050,0.039491538,0.035446517,0.03378901,0.033468036,0.033330957
E01015051,0.038610063,0.037497548,0.038660748,0.037720565,0.037354913
E01015052,0.031577065,0.030022645,0.02988211,0.030111291,0.029894002
E01015053,0.036150353,0.036240414,0.037564662,0.03662013,0.036569003
E01015054,0.037226193,0.0362288,0.03691433,0.036596925,0.036303192
E01015055,0.023836114,0.027165941,0.029017863,0.029017863,0.028427507
E01015056,0.022246832,0.021651033,0.024046598,0.022025959,0.021337338
E01015057,0.021411162,0.024869498,0.027029149,0.02642832,0.025678433
E01015058,0.0253068,0.031419485,0.032841279,0.032382301,0.031678394
E01015059,0.027465152,0.025932159,0.030331238,0.029395589,0.028775718
E01015060,0.028079636,0.02643607,0.029697944,0.028066309,0.027648376
E01015061,0.031559702,0.02926359,0.032044509,0.032352454,0.031901327
E01015062,0.034411867,0.032064136,0.033623795,0.034915957,0.034792677
E01015063,0.02016047,0.02119513,0.025146335,0.024163044,0.023288096
E01015064,0.024539485,0.021098493,0.023855962,0.022774263,0.022057532
E01015065,0.026129184,0.025791711,0.026609603,0.025885149,0.025141225
E01015066,0.022206912,0.020554787,0.024990214,0.024861891,0.023934217
E01015067,0.024113242,0.021438423,0.025444662,0.024736596,0.02382991
E01015068,0.021828736,0.019502651,0.023913599,0.02335651,0.0223838
E01015069,0.022294723,0.02315366,0.025810942,0.02555638,0.02478367
E01015070,0.016395602,0.015890018,0.017412687,0.01687698,0.016163867
E01015071,0.023938173,0.022752377,0.025435974,0.024823779,0.02433965
E01015072,0.029076535,0.032174211,0.032213788,0.030272629,0.029759064
E01015073,0.023263853,0.025247305,0.027174304,0.026930428,0.026407708
E01015074,0.022683072,0.025486956,0.026563691,0.026448796,0.025994337
E01015075,0.025705089,0.027675161,0.030070323,0.027917528,0.027266279
E01015076,0.026796398,0.024826138,0.028452287,0.025999771,0.025390136
E01015077,0.020902896,0.020584343,0.022592266,0.021854526,0.021147233
E01015078,0.026431179,0.038111392,0.037066857,0.03489502,0.034426667
E01015079,0.027810463,0.02560399,0.02664276,0.025538384,0.024715278
E01015080,0.026039944,0.03899652,0.03931599,0.037558506,0.037119344
E01015081,0.023196219,0.026414857,0.028179755,0.028530509,0.028057523
E01015082,0.021881189,0.024234074,0.02443289,0.025645927,0.025164894
E01015083,0.019513863,0.022876145,0.022778248,0.023584691,0.023123631
E01015084,0.025423701,0.025276992,0.02720682,0.026883856,0.026189877
E01015085,0.024720618,0.023911148,0.025956928,0.024261337,0.023647584
E01015086,0.019541706,0.022414175,0.025234285,0.024612864,0.023862432
E01015087,0.026976911,0.031439649,0.031201206,0.032563697,0.032044326
E01015088,0.019736247,0.02428315,0.026535537,0.027337035,0.026785792
