Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,10,9,16,12,9,56
E01015024,8,8,13,15,8,52
E01015025,5,4,10,12,14,44
E01015026,9,10,11,12,7,50
E01015027,9,5,16,17,9,56
E01015028,8,10,11,11,6,47
E01015029,8,13,19,11,7,58
E01015030,9,9,12,11,7,49
E01015031,15,9,10,8,7,49
E01015032,45,9,8,5,3,71
E01015033,7,3,11,14,8,43
E01015034,8,3,11,10,10,42
E01015035,5,4,8,8,5,31
E01015036,4,3,9,6,7,30
E01015037,6,8,11,15,9,49
E01015038,4,4,10,9,5,33
E01015039,7,11,10,8,4,41
E01015040,9,7,13,12,6,47
E01015041,8,10,14,12,4,48
E01015042,8,11,14,10,4,47
E01015043,12,9,12,10,3,47
E01015044,10,9,13,10,5,48
E01015045,11,12,11,10,5,50
E01015046,9,11,13,10,8,51
E01015047,11,11,16,13,7,58
E01015048,14,16,14,8,4,56
E01015049,33,8,8,7,4,58
E01015050,57,10,5,3,3,78
E01015051,64,5,6,4,4,84
E01015052,45,9,10,7,4,75
E01015053,32,5,5,6,2,51
E01015054,75,5,4,4,2,90
E01015055,8,7,14,12,7,48
E01015056,8,11,11,15,9,54
E01015057,11,9,15,10,6,52
E01015058,12,10,13,13,5,53
E01015059,7,10,15,12,6,50
E01015060,13,7,13,11,7,51
E01015061,18,8,12,8,4,50
E01015062,50,9,9,6,4,77
E01015063,8,9,11,12,7,47
E01015064,6,3,9,14,12,45
E01015065,4,4,5,7,7,26
E01015066,3,3,8,8,5,27
E01015067,5,3,10,12,12,41
E01015068,5,5,8,7,5,30
E01015069,10,8,13,12,8,51
E01015070,12,16,26,21,10,85
E01015071,6,5,14,12,11,48
E01015072,10,8,13,13,7,50
E01015073,7,8,11,15,7,47
E01015074,7,8,12,12,9,47
E01015075,9,6,12,12,8,48
E01015076,9,6,14,13,7,49
E01015077,10,11,15,15,12,62
E01015078,8,10,13,13,6,50
E01015079,7,6,13,14,10,52
E01015080,3,5,7,5,3,22
E01015081,8,8,14,12,8,50
E01015082,9,7,12,14,9,51
E01015083,11,7,12,13,8,51
E01015084,8,4,13,13,9,46
E01015085,8,6,12,14,12,52
E01015086,7,6,10,12,10,45
E01015087,12,6,15,12,5,50
E01015088,15,11,13,9,5,53
E01015089,9,9,12,13,11,53
E01015090,3,3,6,9,5,25
E01015091,9,3,11,19,12,54
E01015092,28,9,14,12,6,69
E01015093,4,5,10,16,8,43
E01015094,8,6,10,12,8,45
E01015095,6,6,11,10,13,47
E01015096,6,6,13,13,10,48
E01015097,4,2,7,11,13,38
E01015098,5,5,9,6,4,30
E01015099,6,5,10,6,3,31
E01015100,7,6,9,6,3,30
E01015101,5,3,11,13,12,45
E01015102,8,11,15,12,7,55
E01015103,5,5,9,7,3,28
E01015104,7,4,13,11,7,41
E01015105,6,6,14,10,6,43
E01015106,7,6,10,11,8,42
E01015107,10,9,15,12,5,51
E01015108,5,8,9,8,5,34
E01015109,9,8,13,15,6,51
E01015110,6,4,11,13,7,43
E01015111,6,6,9,7,4,31
E01015112,5,4,8,8,5,29
E01015113,4,4,7,8,6,29
E01015114,3,3,7,8,6,27
E01015115,4,5,12,11,13,45
E01015116,7,6,13,12,9,47
E01015117,5,4,8,9,5,31
E01015118,6,5,16,10,10,46
E01015119,5,4,11,7,4,31
E01015120,5,3,9,8,6,31
E01015121,5,3,10,11,12,42
E01015122,4,3,8,7,7,29
E01015123,8,6,13,15,19,61
E01015124,3,3,7,8,8,28
E01015125,4,3,8,8,7,30
E01015126,5,3,8,10,14,40
E01015127,4,3,7,8,8,29
E01015128,5,3,6,9,9,32
E01015129,9,9,14,13,6,52
E01015130,7,7,14,11,6,44
E01015131,4,2,10,11,15,42
E01015132,6,5,11,15,13,51
E01015133,6,3,11,11,13,44
E01015134,4,4,8,6,7,29
E01015135,11,6,15,14,10,56
E01015136,8,4,13,13,10,48
E01015137,4,4,9,8,6,30
E01015138,4,2,9,9,8,31
E01015139,6,5,11,12,11,45
E01015140,3,6,7,8,12,37
E01015141,6,3,13,14,13,50
E01015142,6,7,10,14,7,44
E01015143,5,6,8,12,8,41
E01015144,9,8,15,11,6,48
E01015145,17,18,16,8,1,61
E01015146,13,12,18,12,4,59
E01015147,5,5,9,11,9,39
E01015148,8,9,13,13,7,50
E01015149,9,7,11,12,8,47
E01015150,7,5,10,12,10,44
E01015151,25,9,14,9,4,60
E01015152,18,10,14,10,7,58
E01015153,11,9,11,12,6,49
E01015155,15,10,13,11,4,54
E01015156,28,7,8,9,5,58
E01015157,10,17,17,18,9,71
E01015158,16,15,13,17,15,75
E01015159,7,5,11,15,13,51
