Area,Rate
E92000001,
E12000009,
E01015023,0.07721547
E01015024,0.080936434
E01015025,0.060663934
E01015026,0.07784891
E01015027,0.079772206
E01015028,0.076509031
E01015029,0.076208877
E01015030,0.076829688
E01015031,0.076088924
E01015032,0.08701348
E01015033,0.065881173
E01015034,0.063310345
E01015035,0.04543006
E01015036,0.042076816
E01015037,0.077384615
E01015038,0.04473297
E01015039,0.079833006
E01015040,0.079939292
E01015041,0.078431148
E01015042,0.078312292
E01015043,0.081432526
E01015044,0.079245033
E01015045,0.078782334
E01015046,0.076472511
E01015047,0.07904502
E01015048,0.08083815
E01015049,0.088974006
E01015050,0.088582106
E01015051,0.095217045
E01015052,0.086872242
E01015053,0.088526224
E01015054,0.093440042
E01015055,0.077418417
E01015056,0.073720708
E01015057,0.077701649
E01015058,0.080308623
E01015059,0.076788253
E01015060,0.078915625
E01015061,0.080849117
E01015062,0.091568558
E01015063,0.075157643
E01015064,0.061851595
E01015065,0.042147541
E01015066,0.044644845
E01015067,0.062757208
E01015068,0.044658171
E01015069,0.075432836
E01015070,0.081016206
E01015071,0.072992436
E01015072,0.077800312
E01015073,0.076668831
E01015074,0.074793651
E01015075,0.076382637
E01015076,0.080197368
E01015077,0.074104762
E01015078,0.077132193
E01015079,0.076915179
E01015080,0.079088028
E01015081,0.076758089
E01015082,0.077079027
E01015083,0.076427928
E01015084,0.075290375
E01015085,0.073018284
E01015086,0.074794408
E01015087,0.080478331
E01015088,0.081028788
E01015089,0.073872399
E01015090,0.044242049
E01015091,0.07824269
E01015092,0.085316893
E01015093,0.07284264
E01015094,0.075093333
E01015095,0.073425868
E01015096,0.075320189
E01015097,0.042099889
E01015098,0.045254186
E01015099,0.046546003
E01015100,0.046809598
E01015101,0.061358904
E01015102,0.079391557
E01015103,0.046202614
E01015104,0.066553571
E01015105,0.065949309
E01015106,0.0787718
E01015107,0.082772213
E01015108,0.044448635
E01015109,0.081169304
E01015110,0.067861465
E01015111,0.046285503
E01015112,0.044413476
E01015113,0.044046338
E01015114,0.043373016
E01015115,0.068348024
E01015116,0.078460265
E01015117,0.045479881
E01015118,0.064373072
E01015119,0.045923538
E01015120,0.044863702
E01015121,0.062050822
E01015122,0.043043413
E01015123,0.071251174
E01015124,0.041704846
E01015125,0.044313343
E01015126,0.059084195
E01015127,0.043083824
E01015128,0.043248649
E01015129,0.079871517
E01015130,0.068437991
E01015131,0.060471429
E01015132,0.074731387
E01015133,0.062509299
E01015134,0.041930435
E01015135,0.07908427
E01015136,0.077728455
E01015137,0.044958333
E01015138,0.043751043
E01015139,0.075847973
E01015140,0.058249605
E01015141,0.063975515
E01015142,0.075162116
E01015143,0.073538739
E01015144,0.078149351
E01015145,0.082826323
E01015146,0.080193243
E01015147,0.072104283
E01015148,0.075858232
E01015149,0.077337684
E01015150,0.072793046
E01015151,0.084277545
E01015152,0.080631724
E01015153,0.076694006
E01015155,0.081247748
E01015156,0.084458515
E01015157,0.076325107
E01015158,0.074432406
E01015159,0.070477839
E01015160,0.06373125
E01015161,0.073976744
E01015162,0.073977671
E01015163,0.075768997
E01015164,0.080519065
E01015165,0.046175549
E01015166,0.076063604
E01015167,0.078901743
E01015168,0.077475661
E01015169,0.078789683
E01015170,0.075803892
E01015171,0.075767606
E01015172,0.080712258
E01015173,0.075190058
E01015174,0.080090782
E01015175,0.079192901
E01015176,0.075714286
E01015177,0.079108382
E01015178,0.082756098
E01015179,0.087587143
E01015180,0.076894134
E01015181,0.08123012
E01015182,0.078592689
E01015183,0.072503289
E01015184,0.069179032
E01015185,0.070748768
E01015186,0.07696633
E01015187,0.070515648
E01015188,0.073497118
E01015189,0.072975855
E01015190,0.076235795
E01015191,0.080809807
E01015192,0.078336523
E01015193,0.074801418
E01015194,0.07666335
E01015195,0.074931469
E01015196,0.079270073
E01015197,0.060425532
E01015198,0.040499325
E01015199,0.0574479
E01015200,0.076810155
E01015201,0.042096721
E01015202,0.078564815
E01015203,0.042513321
E01015204,0.075571429
E01015205,0.077033784
E01015206,0.072603008
E01015207,0.079363222
E01015208,0.060253425
E01015209,0.071579299
E01015210,0.077699074
E01015211,0.043529032
E01015212,0.077341637
E01015213,0.077856897
E01015214,0.077902482
E01015215,0.079975288
E01015216,0.076782534
E01015217,0.078712519
E01015218,0.076688119
E01015219,0.06825387
E01015220,0.07680937
E01015221,0.075122388
E01015222,0.075438495
E01015223,0.045029358
E01015224,0.0775808
E01015225,0.076820122
E01015226,0.042376789
E01015227,0.042520772
E01015228,0.068212077
E01015229,0.067571839
E01015230,0.039784962
E01015231,0.076061516
E01015232,0.072236842
E01015233,0.073806139
E01015234,0.078113924
E01015235,0.064509412
E01015236,0.07423486
E01015237,0.08045488
