Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,6,11,16,14,3,50
E01015024,3,5,9,12,2,31
E01015025,2,2,4,6,2,17
E01015026,5,16,14,12,2,50
E01015027,4,6,9,11,3,32
E01015028,5,11,10,11,2,39
E01015029,5,10,13,10,2,39
E01015030,6,11,15,13,3,47
E01015031,7,13,10,9,2,41
E01015032,27,16,12,7,2,64
E01015033,3,2,6,6,1,18
E01015034,2,2,4,5,1,14
E01015035,3,5,7,6,1,22
E01015036,2,2,7,6,2,18
E01015037,2,5,7,8,2,24
E01015038,3,5,8,8,1,26
E01015039,10,26,18,7,1,63
E01015040,3,5,13,12,2,35
E01015041,2,9,12,11,2,37
E01015042,4,10,14,11,1,41
E01015043,6,13,13,11,1,45
E01015044,5,16,14,11,3,49
E01015045,6,15,16,13,1,50
E01015046,6,13,15,16,3,54
E01015047,6,11,12,13,3,46
E01015048,8,15,19,13,2,57
E01015049,18,6,5,5,1,36
E01015050,30,12,5,5,1,53
E01015051,24,5,4,4,1,37
E01015052,29,13,12,8,1,63
E01015053,18,6,9,7,2,42
E01015054,32,4,5,4,1,45
E01015055,5,7,13,14,2,40
E01015056,3,10,11,15,3,42
E01015057,4,8,14,11,2,40
E01015058,6,10,12,9,2,40
E01015059,5,11,14,12,2,44
E01015060,5,10,12,9,3,39
E01015061,8,10,12,7,1,38
E01015062,21,8,9,5,1,44
E01015063,3,11,10,10,2,36
E01015064,2,2,6,6,2,18
E01015065,2,3,4,5,2,15
E01015066,2,4,7,6,2,20
E01015067,2,2,4,7,2,16
E01015068,3,4,8,6,2,22
E01015069,5,9,13,10,2,40
E01015070,5,12,19,13,3,52
E01015071,3,5,12,13,3,37
E01015072,6,10,13,13,2,43
E01015073,4,10,13,15,2,45
E01015074,6,9,12,12,3,42
E01015075,1,4,10,10,3,28
E01015076,2,6,10,9,2,29
E01015077,4,11,15,14,3,47
E01015078,5,10,12,12,2,42
E01015079,3,6,9,10,2,30
E01015080,5,4,8,5,1,22
E01015081,6,8,12,12,3,40
E01015082,6,12,12,14,3,47
E01015083,5,10,14,15,3,47
E01015084,4,6,9,11,3,34
E01015085,3,9,12,12,3,38
E01015086,4,9,11,9,3,35
E01015087,8,10,14,10,2,45
E01015088,5,9,13,8,2,38
E01015089,4,10,11,11,4,40
E01015090,2,3,5,7,2,19
E01015091,3,5,7,12,3,29
E01015092,8,7,8,6,2,30
E01015093,3,6,13,13,3,37
E01015094,3,7,9,10,3,32
E01015095,3,6,11,8,4,33
E01015096,5,6,11,11,3,36
E01015097,2,3,6,9,4,25
E01015098,3,6,9,5,1,24
E01015099,2,6,8,5,1,22
E01015100,4,5,8,5,1,23
E01015101,1,2,6,6,2,17
E01015102,3,10,13,10,2,38
E01015103,2,5,9,6,1,24
E01015104,2,3,6,6,1,18
E01015105,2,4,7,5,1,19
E01015106,3,5,8,7,2,25
E01015107,3,7,11,8,1,30
E01015108,2,7,8,6,1,24
E01015109,3,8,10,10,2,32
E01015110,2,3,7,7,1,20
E01015111,2,7,9,5,1,24
E01015112,2,4,7,6,1,21
E01015113,2,3,7,6,2,20
E01015114,2,4,7,7,1,21
E01015115,4,7,9,9,3,32
E01015116,3,4,8,9,3,27
E01015117,2,4,6,7,1,21
E01015118,2,3,8,5,1,18
E01015119,3,4,8,7,1,24
E01015120,2,3,7,7,2,21
E01015121,1,2,5,5,2,15
E01015122,3,4,7,6,2,22
E01015123,2,5,9,10,4,30
E01015124,2,3,7,6,2,20
E01015125,2,3,7,6,2,21
E01015126,1,2,4,5,2,13
E01015127,2,3,6,6,2,19
E01015128,2,4,5,8,2,21
E01015129,2,6,9,8,1,26
E01015130,2,3,7,5,1,19
E01015131,1,1,4,6,2,15
E01015132,3,4,8,8,3,26
E01015133,2,2,5,6,2,16
E01015134,2,4,7,5,1,19
E01015135,4,5,10,9,2,30
E01015136,3,4,8,9,2,27
E01015137,2,4,6,7,2,21
E01015138,2,2,7,9,2,22
E01015139,3,4,7,9,2,26
E01015140,1,3,4,4,2,14
E01015141,2,2,6,7,2,19
E01015142,4,8,10,15,2,39
E01015143,3,6,9,12,3,33
E01015144,5,11,14,13,2,45
E01015145,3,14,14,7,1,38
E01015146,6,11,16,13,2,48
E01015147,2,5,9,10,3,30
E01015148,6,10,13,10,2,40
E01015149,6,8,12,11,2,39
E01015150,3,7,11,15,3,39
E01015151,19,14,13,12,2,61
E01015152,11,16,15,13,3,59
E01015153,9,12,16,15,3,55
E01015155,8,18,16,17,3,61
E01015156,16,15,14,12,3,59
E01015157,9,30,23,23,4,88
E01015158,13,24,17,17,4,75
E01015159,3,7,11,14,3,38
