Area,Rate
E92000001,
E12000009,
E01015023,0.070752825
E01015024,0.049416268
E01015025,0.02463623
E01015026,0.07432084
E01015027,0.046740203
E01015028,0.070733813
E01015029,0.063598361
E01015030,0.071
E01015031,0.063894574
E01015032,0.059626047
E01015033,0.027902588
E01015034,0.026673004
E01015035,0.0352112
E01015036,0.03310772
E01015037,0.046760618
E01015038,0.035386207
E01015039,0.052934399
E01015040,0.072240586
E01015041,0.067599265
E01015042,0.069267007
E01015043,0.075108696
E01015044,0.072526393
E01015045,0.076152338
E01015046,0.071187583
E01015047,0.071347962
E01015048,0.074706192
E01015049,0.043368039
E01015050,0.055842271
E01015051,0.040393709
E01015052,0.065318135
E01015053,0.064067485
E01015054,0.053280473
E01015055,0.071372134
E01015056,0.063423653
E01015057,0.071725
E01015058,0.070286477
E01015059,0.067881988
E01015060,0.0638
E01015061,0.065297251
E01015062,0.044426263
E01015063,0.063886726
E01015064,0.02586338
E01015065,0.031040161
E01015066,0.034641379
E01015067,0.02490411
E01015068,0.034411128
E01015069,0.065003289
E01015070,0.050496631
E01015071,0.061869712
E01015072,0.072202995
E01015073,0.071271132
E01015074,0.0679616
E01015075,0.068970588
E01015076,0.049077181
E01015077,0.064334254
E01015078,0.070311448
E01015079,0.047436597
E01015080,0.072307947
E01015081,0.06871848
E01015082,0.07006994
E01015083,0.069736296
E01015084,0.059466205
E01015085,0.062030894
E01015086,0.06719112
E01015087,0.071169059
E01015088,0.071658397
E01015089,0.06019432
E01015090,0.033307554
E01015091,0.04490169
E01015092,0.046625392
E01015093,0.064864111
E01015094,0.060370937
E01015095,0.057387543
E01015096,0.066107011
E01015097,0.02889057
E01015098,0.035974125
E01015099,0.037497436
E01015100,0.036846761
E01015101,0.027400646
E01015102,0.050544489
E01015103,0.03807767
E01015104,0.029355848
E01015105,0.031107438
E01015106,0.04687242
E01015107,0.05116323
E01015108,0.036389302
E01015109,0.050612954
E01015110,0.029031294
E01015111,0.03939187
E01015112,0.034847059
E01015113,0.033154723
E01015114,0.034843493
E01015115,0.056962433
E01015116,0.045266886
E01015117,0.035459596
E01015118,0.028494488
E01015119,0.036852941
E01015120,0.033106518
E01015121,0.025532399
E01015122,0.03253997
E01015123,0.041716876
E01015124,0.031012327
E01015125,0.032792994
E01015126,0.023382143
E01015127,0.031346405
E01015128,0.031814701
E01015129,0.051545809
E01015130,0.030176661
E01015131,0.023185304
E01015132,0.043414309
E01015133,0.025960254
E01015134,0.033602518
E01015135,0.046500766
E01015136,0.046013889
E01015137,0.03413474
E01015138,0.032542274
E01015139,0.044522491
E01015140,0.025301444
E01015141,0.026492132
E01015142,0.065177365
E01015143,0.060842491
E01015144,0.073103728
E01015145,0.080457023
E01015146,0.073881098
E01015147,0.059187747
E01015148,0.065630719
E01015149,0.06926773
E01015150,0.063601297
E01015151,0.068780543
E01015152,0.069119104
E01015153,0.071088083
E01015155,0.072732779
E01015156,0.067385405
E01015157,0.073086993
E01015158,0.067118644
E01015159,0.059864353
E01015160,0.026021631
E01015161,0.05924216
E01015162,0.063584483
E01015163,0.04442487
E01015164,0.051077143
E01015165,0.036465232
E01015166,0.065086957
E01015167,0.068250725
E01015168,0.069787717
E01015169,0.05883557
E01015170,0.06884031
E01015171,0.07085533
E01015172,0.067957309
E01015173,0.064251359
E01015174,0.048634722
E01015175,0.065390756
E01015176,0.06853537
E01015177,0.065162884
E01015178,0.061241556
E01015179,0.045794631
E01015180,0.072911917
E01015181,0.074439537
E01015182,0.072986436
E01015183,0.05798556
E01015184,0.036770909
E01015185,0.054827899
E01015186,0.064206835
E01015187,0.037161739
E01015188,0.040531773
E01015189,0.059666667
E01015190,0.061618209
E01015191,0.049017544
E01015192,0.068058929
E01015193,0.057489496
E01015194,0.066304029
E01015195,0.0614
E01015196,0.069746881
E01015197,0.023738617
E01015198,0.028879699
E01015199,0.021955326
E01015200,0.043251232
E01015201,0.030653448
E01015202,0.046191201
E01015203,0.02976779
E01015204,0.062636528
E01015205,0.044852292
E01015206,0.062048611
E01015207,0.048446032
E01015208,0.023240252
E01015209,0.060463938
E01015210,0.06829982
E01015211,0.032373882
E01015212,0.065916667
E01015213,0.047740675
E01015214,0.074514228
E01015215,0.047107081
E01015216,0.068856322
E01015217,0.071333832
E01015218,0.068205172
E01015219,0.054254269
E01015220,0.042752137
E01015221,0.045551483
E01015222,0.04316295
E01015223,0.033375486
E01015224,0.044587522
E01015225,0.044663894
E01015226,0.029922124
E01015227,0.033287129
E01015228,0.057404722
E01015229,0.060431159
E01015230,0.028581436
E01015231,0.070792666
E01015232,0.067671053
E01015233,0.066630742
E01015234,0.070959693
E01015235,0.052058511
E01015236,0.061428571
E01015237,0.048447955
