Area,16 to 24,25 to 34,35 to 49,50 to 64,65 and over,Total
E92000001,,,,,,
E12000009,,,,,,
E01015023,16,20,32,26,11,106
E01015024,12,13,22,27,10,83
E01015025,7,6,14,19,16,61
E01015026,14,27,25,24,9,100
E01015027,12,11,25,27,12,88
E01015028,13,21,21,22,8,86
E01015029,13,22,32,21,9,97
E01015030,15,20,27,25,10,96
E01015031,23,22,19,17,9,90
E01015032,73,25,21,12,5,135
E01015033,9,4,18,20,9,61
E01015034,10,5,15,15,11,56
E01015035,8,9,16,14,7,53
E01015036,6,6,16,12,9,49
E01015037,8,13,18,23,11,74
E01015038,8,9,18,17,7,58
E01015039,18,37,29,15,6,104
E01015040,12,13,26,24,8,82
E01015041,10,19,26,23,6,85
E01015042,12,22,27,21,5,88
E01015043,18,23,26,21,5,92
E01015044,15,25,27,22,8,97
E01015045,17,27,26,23,6,100
E01015046,15,24,28,27,11,105
E01015047,17,22,28,26,9,103
E01015048,21,31,33,21,6,113
E01015049,51,14,13,12,5,94
E01015050,87,22,10,8,4,131
E01015051,89,9,10,7,6,121
E01015052,74,22,22,14,5,138
E01015053,50,11,14,13,4,92
E01015054,106,9,9,8,3,135
E01015055,12,14,27,26,9,88
E01015056,11,20,22,30,12,96
E01015057,15,18,29,21,9,92
E01015058,18,20,25,22,7,93
E01015059,13,21,29,24,8,93
E01015060,18,17,25,20,9,89
E01015061,27,18,24,15,5,88
E01015062,70,17,18,11,5,121
E01015063,11,21,21,21,10,83
E01015064,8,6,15,20,14,63
E01015065,5,6,10,12,8,41
E01015066,5,7,14,14,7,47
E01015067,8,4,14,19,14,58
E01015068,7,9,16,13,7,52
E01015069,15,17,25,22,10,90
E01015070,18,28,45,34,13,137
E01015071,9,11,26,25,14,85
E01015072,15,18,26,26,8,93
E01015073,11,18,24,29,10,92
E01015074,12,17,24,24,12,90
E01015075,11,10,22,22,11,76
E01015076,11,12,24,22,9,78
E01015077,14,21,30,29,14,109
E01015078,13,20,25,24,9,91
E01015079,10,12,22,24,13,81
E01015080,8,9,15,9,3,44
E01015081,14,16,26,24,10,90
E01015082,15,19,24,28,12,98
E01015083,15,17,26,29,11,98
E01015084,12,10,22,24,12,80
E01015085,11,14,24,26,15,90
E01015086,11,15,21,21,13,80
E01015087,20,16,30,22,7,95
E01015088,20,20,26,17,7,91
E01015089,13,19,23,24,15,94
E01015090,4,6,11,16,7,44
E01015091,12,8,17,31,15,83
E01015092,36,16,22,17,8,99
E01015093,6,11,23,28,11,80
E01015094,12,13,19,22,11,77
E01015095,9,12,22,19,17,80
E01015096,11,12,24,24,13,84
E01015097,6,6,14,21,16,63
E01015098,8,11,18,11,5,53
E01015099,9,11,18,11,4,53
E01015100,10,11,16,11,4,54
E01015101,6,5,18,19,14,62
E01015102,11,21,29,22,9,93
E01015103,7,10,18,13,4,52
E01015104,8,7,19,17,8,59
E01015105,8,10,21,16,7,62
E01015106,10,11,18,18,10,67
E01015107,13,16,26,20,7,81
E01015108,7,15,16,14,6,59
E01015109,12,15,23,25,8,83
E01015110,9,8,18,20,8,63
E01015111,8,13,18,12,4,56
E01015112,6,8,15,14,6,50
E01015113,6,7,14,14,8,50
E01015114,5,6,15,14,8,48
E01015115,8,12,20,21,16,77
E01015116,10,11,21,21,12,75
E01015117,7,8,14,16,6,52
E01015118,8,7,24,15,11,64
E01015119,8,8,19,14,5,54
E01015120,7,5,16,15,8,52
E01015121,7,5,15,16,14,56
E01015122,7,7,15,12,9,50
E01015123,10,10,22,25,23,91
E01015124,5,6,14,13,10,49
E01015125,7,6,15,13,9,50
E01015126,6,5,12,14,16,53
E01015127,7,6,12,14,10,48
E01015128,7,7,11,17,11,53
E01015129,11,15,23,21,8,78
E01015130,9,10,20,16,7,62
E01015131,6,3,14,17,17,57
E01015132,10,9,20,23,16,77
E01015133,8,5,16,17,15,60
E01015134,6,8,14,11,8,48
E01015135,15,11,26,23,12,87
E01015136,11,8,21,22,12,74
E01015137,6,7,16,15,7,51
E01015138,5,5,16,18,10,54
E01015139,9,9,18,21,13,71
E01015140,5,9,11,12,14,51
E01015141,8,6,19,21,15,68
E01015142,10,16,19,28,9,83
E01015143,8,13,17,24,12,74
E01015144,15,19,28,23,8,93
E01015145,20,32,30,16,2,99
E01015146,19,23,34,25,6,108
E01015147,8,10,18,21,12,69
E01015148,14,19,25,23,9,90
E01015149,15,16,23,23,10,86
E01015150,10,12,21,27,12,83
E01015151,44,23,27,22,5,121
E01015152,30,25,29,23,10,117
E01015153,20,20,27,27,9,104
E01015155,23,28,29,28,7,115
E01015156,44,22,22,21,8,117
E01015157,19,47,39,41,13,159
E01015158,28,39,30,34,19,150
E01015159,10,12,22,28,16,89
