Area,Rate
E92000001,
E12000009,
E01015023,0.074020251
E01015024,0.065399371
E01015025,0.043326719
E01015026,0.076051184
E01015027,0.063363374
E01015028,0.07375279
E01015029,0.070618459
E01015030,0.073856815
E01015031,0.069972784
E01015032,0.071444209
E01015033,0.04676092
E01015034,0.047156748
E01015035,0.040505783
E01015036,0.038152396
E01015037,0.063650216
E01015038,0.040088417
E01015039,0.060997644
E01015040,0.076503268
E01015041,0.073324957
E01015042,0.073842857
E01015043,0.078216837
E01015044,0.07568196
E01015045,0.077437934
E01015046,0.073674825
E01015047,0.075463166
E01015048,0.0776306
E01015049,0.063520946
E01015050,0.071605234
E01015051,0.067166482
E01015052,0.07548138
E01015053,0.075497549
E01015054,0.074629157
E01015055,0.074527825
E01015056,0.068814551
E01015057,0.07497392
E01015058,0.075703189
E01015059,0.072345469
E01015060,0.071570281
E01015061,0.073337759
E01015062,0.066148693
E01015063,0.069819782
E01015064,0.043995807
E01015065,0.037155235
E01015066,0.0397733
E01015067,0.043859422
E01015068,0.039612633
E01015069,0.070471049
E01015070,0.065829502
E01015071,0.067742013
E01015072,0.075091787
E01015073,0.073946098
E01015074,0.071391235
E01015075,0.073446602
E01015076,0.064792359
E01015077,0.069581841
E01015078,0.073856912
E01015079,0.062733591
E01015080,0.075593857
E01015081,0.072967427
E01015082,0.073537594
E01015083,0.073059657
E01015084,0.067617647
E01015085,0.067922323
E01015086,0.071296625
E01015087,0.0758088
E01015088,0.076881757
E01015089,0.067289209
E01015090,0.038823529
E01015091,0.06198427
E01015092,0.068280883
E01015093,0.068911588
E01015094,0.068236866
E01015095,0.065777228
E01015096,0.07107398
E01015097,0.035652841
E01015098,0.040614155
E01015099,0.042304487
E01015100,0.041878812
E01015101,0.045776872
E01015102,0.064306944
E01015103,0.042120325
E01015104,0.048091578
E01015105,0.049166401
E01015106,0.062911381
E01015107,0.067454621
E01015108,0.04068724
E01015109,0.065879051
E01015110,0.047352367
E01015111,0.043001549
E01015112,0.039852564
E01015113,0.038833983
E01015114,0.039187551
E01015115,0.063118324
E01015116,0.061822461
E01015117,0.040774704
E01015118,0.04747181
E01015119,0.041460777
E01015120,0.039286576
E01015121,0.045234677
E01015122,0.03781142
E01015123,0.057754621
E01015124,0.036487218
E01015125,0.038726641
E01015126,0.042921584
E01015127,0.037523994
E01015128,0.037888729
E01015129,0.067333909
E01015130,0.04961244
E01015131,0.042868778
E01015132,0.060095645
E01015133,0.045198042
E01015134,0.038214286
E01015135,0.063496703
E01015136,0.062390428
E01015137,0.039781832
E01015138,0.038278292
E01015139,0.06037265
E01015140,0.042871946
E01015141,0.046212203
E01015142,0.070144312
E01015143,0.067242507
E01015144,0.075624493
E01015145,0.081895387
E01015146,0.077227077
E01015147,0.065837967
E01015148,0.070921924
E01015149,0.073470688
E01015150,0.068148239
E01015151,0.0757208
E01015152,0.074425302
E01015153,0.073615932
E01015155,0.076493369
E01015156,0.07488491
E01015157,0.074497896
E01015158,0.070577809
E01015159,0.065515487
E01015160,0.045468977
E01015161,0.067038556
E01015162,0.06898343
E01015163,0.061097817
E01015164,0.066897555
E01015165,0.041453301
E01015166,0.070568824
E01015167,0.07333838
E01015168,0.073553134
E01015169,0.067978182
E01015170,0.072383092
E01015171,0.073183578
E01015172,0.074343023
E01015173,0.069520423
E01015174,0.064318942
E01015175,0.071957416
E01015176,0.072127711
E01015177,0.07185982
E01015178,0.071058987
E01015179,0.066040138
E01015180,0.074804215
E01015181,0.077604155
E01015182,0.075709575
E01015183,0.065581756
E01015184,0.053944444
E01015185,0.063179156
E01015186,0.070797391
E01015187,0.055123596
E01015188,0.058239164
E01015189,0.066741176
E01015190,0.069048375
E01015191,0.065476154
E01015192,0.073487784
E01015193,0.066877885
E01015194,0.071740644
E01015195,0.06838556
E01015196,0.074982343
E01015197,0.043035172
E01015198,0.035003556
E01015199,0.040585306
E01015200,0.060948778
E01015201,0.036519328
E01015202,0.06312268
E01015203,0.036309025
E01015204,0.069263668
E01015205,0.060983912
E01015206,0.067704271
E01015207,0.064240683
E01015208,0.042643926
E01015209,0.066451439
E01015210,0.073354357
E01015211,0.038240034
E01015212,0.071939962
E01015213,0.063022747
E01015214,0.076323864
E01015215,0.063929174
E01015216,0.073041591
E01015217,0.074964259
E01015218,0.072539629
E01015219,0.061964194
E01015220,0.060261628
E01015221,0.061490748
E01015222,0.06066876
E01015223,0.039372993
E01015224,0.061742928
E01015225,0.061445505
E01015226,0.03648325
E01015227,0.038149219
E01015228,0.063173742
E01015229,0.064413462
E01015230,0.034609223
E01015231,0.073408381
E01015232,0.069845238
E01015233,0.070378903
E01015234,0.074643389
E01015235,0.058664794
E01015236,0.067888972
E01015237,0.064525439
