Area,Label,Type,Parent,IMDQuintile,LocalCarePartnertship,Description
E01019886,East Devon 005A,LSOA,E07000040,3,Eastern,"LSOA covering East of Axminster: Milbrook, Hawkchurch and surrounding areas"
E01019887,East Devon 005B,LSOA,E07000040,3,Eastern,LSOA covering Axminster (East) and Foxhill
E01019888,East Devon 005C,LSOA,E07000040,3,Eastern,LSOA covering Axminster (Central and West)
E01019889,East Devon 005D,LSOA,E07000040,4,Eastern,LSOA covering Axminster (South)
E01019890,East Devon 009A,LSOA,E07000040,4,Eastern,"LSOA covering Beer, Branscombe, Vicarage and surrounding areas"
E01019891,East Devon 006A,LSOA,E07000040,3,Eastern,"LSOA covering North East of Exeter: Broadclyst (North), Clyst St Lawrence, Clyst Hydon, Westwood, Budlake and surrounding areas"
E01019892,East Devon 006B,LSOA,E07000040,4,Eastern,"LSOA covering North East of Exeter: Broadclyst (South), Poltimore, Dog Village and surrounding areas"
E01019893,East Devon 006C,LSOA,E07000040,3,Eastern,"LSOA covering East of Exeter: Rockbeare, Clyst Honiton, Marsh Green and surrounding areas"
E01019894,East Devon 017A,LSOA,E07000040,5,Eastern,LSOA covering Budleigh Salterton (East)
E01019895,East Devon 017B,LSOA,E07000040,5,Eastern,LSOA covering Budleigh Salterton (West) and Knowle
E01019896,East Devon 017C,LSOA,E07000040,5,Eastern,LSOA covering East Budleigh and surrounding areas
E01019897,East Devon 017D,LSOA,E07000040,3,Eastern,LSOA covering Budleigh Salterton (North)
E01019898,East Devon 014A,LSOA,E07000040,4,Eastern,"LSOA covering East of Exeter: Clyst St Mary, Sowton, Farringdon, Clyst St George, Ebford and surrounding areas"
E01019899,East Devon 007A,LSOA,E07000040,4,Eastern,LSOA covering Colyton
E01019900,East Devon 007B,LSOA,E07000040,5,Eastern,"LSOA covering Colyford, Northleigh and surrounding areas"
E01019901,East Devon 009B,LSOA,E07000040,3,Eastern,"LSOA covering Farway, Church Green, Southleigh, Offwell, Wilmington, Widworthy and surrounding areas"
E01019902,East Devon 001A,LSOA,E07000040,3,Eastern,"LSOA covering North of Honiton: Dunkeswell, Sheldon, Abbey, Combe Raleigh and surrounding areas"
E01019903,East Devon 006D,LSOA,E07000040,3,Eastern,"LSOA covering North of Exeter: Stoke Canon, Cowley, Brampford Speke, Upton Pyne, Rewe, Nether Exe, Up Exe and surrounding areas"
E01019904,East Devon 015A,LSOA,E07000040,3,Eastern,"LSOA covering Exmouth - Churchill Road, Fraser Road and Greenpark Road area"
E01019905,East Devon 015B,LSOA,E07000040,5,Eastern,LSOA covering Exmouth - Dinan Way and Bystock Road area
E01019906,East Devon 015C,LSOA,E07000040,5,Eastern,LSOA covering Exmouth - Pines Road area
E01019907,East Devon 015D,LSOA,E07000040,5,Eastern,LSOA covering Exmouth - Winston Road and Parkside Drive area
E01019908,East Devon 016A,LSOA,E07000040,4,Eastern,LSOA covering Exmouth - Byron Way area
E01019909,East Devon 016B,LSOA,E07000040,5,Eastern,LSOA covering Exmouth - Hulham Road area
E01019910,East Devon 016C,LSOA,E07000040,4,Eastern,"LSOA covering Exmouth - Gipsy Lane, College and Phear Park area"
E01019911,East Devon 016D,LSOA,E07000040,5,Eastern,LSOA covering Exmouth - Littlemead Lane area
E01019912,East Devon 020A,LSOA,E07000040,3,Eastern,LSOA covering Exmouth - Hospital area
E01019913,East Devon 020B,LSOA,E07000040,4,Eastern,LSOA covering Exmouth - University and Douglas Avenue area
E01019914,East Devon 020C,LSOA,E07000040,2,Eastern,LSOA covering Exmouth - Littleham
E01019915,East Devon 020D,LSOA,E07000040,4,Eastern,LSOA covering Exmouth - Salterton Road and Cranford Avenue area
E01019916,East Devon 019A,LSOA,E07000040,2,Eastern,LSOA covering Exmouth - Town Centre area
E01019917,East Devon 019B,LSOA,E07000040,3,Eastern,"LSOA covering Exmouth - Central, Exeter Road East (Madiera Villas area)"
E01019918,East Devon 019C,LSOA,E07000040,2,Eastern,"LSOA covering Exmouth - The Point, Docks and Victoria Road Area"
E01019919,East Devon 019D,LSOA,E07000040,2,Eastern,"LSOA covering Exmouth - Central, Exeter Road West (Church Road area)"
E01019920,East Devon 018A,LSOA,E07000040,3,Eastern,"LSOA covering Exmouth - Prince of Wales Drive, Superstore and Withycombe Brook area"
E01019921,East Devon 018B,LSOA,E07000040,4,Eastern,"LSOA covering Exmouth - Ashleigh Road, Richmond Road and Bradhams Lane area"
E01019922,East Devon 018C,LSOA,E07000040,2,Eastern,LSOA covering Exmouth - Moorfield Road area
E01019923,East Devon 018D,LSOA,E07000040,3,Eastern,LSOA covering Exmouth - The Marles and Pound Lane area
E01019924,East Devon 018E,LSOA,E07000040,3,Eastern,LSOA covering Exmouth - Liverton and Veiges area
E01019925,East Devon 004A,LSOA,E07000040,5,Eastern,LSOA covering Feniton
E01019927,East Devon 002A,LSOA,E07000040,2,Eastern,LSOA covering Honiton - Streamers Meadows and King Street areas near High Street
E01019928,East Devon 003A,LSOA,E07000040,3,Eastern,LSOA covering Honiton - Millhead Road area
E01019929,East Devon 003B,LSOA,E07000040,4,Eastern,LSOA covering Honiton - Honiton Bottom Road area
