Area,IMD,Income`,Employ,Health,Educ,Barr,Crime,Env,<16,60+
E92000001,,,,,,,,,,
E12000009,,,,,,,,,,
E01015023,3752,5219,2098,4655,3709,4857,11888,14154,5576,9949
E01015024,15921,18267,14489,18106,11737,17118,5378,22451,14768,23755
E01015025,26928,30147,28481,30559,17843,29897,3960,31737,32043,29377
E01015026,4709,4872,4452,6163,3184,9542,6043,13306,6319,5580
E01015027,17007,18548,16604,18392,15416,17707,3521,26943,15802,26693
E01015028,2465,2409,2661,1426,1650,9525,9696,20497,3075,5076
E01015029,12546,11951,12913,9430,9897,15308,8841,23576,10250,23276
E01015030,1911,3315,1227,5590,303,2209,15963,21259,4903,6713
E01015031,10787,15575,13026,26520,8289,2877,15870,2217,22662,10575
E01015032,7924,15025,14043,10400,5934,5415,10577,491,15351,3579
E01015033,29655,31033,27089,28769,19662,24486,21415,22420,29319,30653
E01015034,26625,24904,26585,32002,13844,17248,28314,18222,29732,19708
E01015035,24827,24789,26262,16749,18909,20574,25862,14629,21191,27526
E01015036,22384,21260,18565,30598,14070,13889,28944,15943,30127,14216
E01015037,13546,13068,10822,13972,11107,11699,22195,14315,16119,12078
E01015038,22947,24035,23521,26655,15167,11145,17424,18713,23661,24409
E01015039,17788,20573,27735,5987,10752,30361,29596,5434,11011,14545
E01015040,2560,2521,1859,4440,2545,7385,16692,5042,3520,4671
E01015041,7682,8266,8999,11973,7192,9889,29151,669,5699,12224
E01015042,10925,9068,10000,13135,6277,23605,28047,5660,7577,17715
E01015043,1517,990,1182,6555,1789,4090,15266,5831,758,7505
E01015044,3607,7420,4281,13879,1975,878,20178,907,8286,8191
E01015045,1439,2050,2463,5172,2074,194,11512,3004,597,5838
E01015046,356,1075,300,1873,47,1638,11301,8527,4159,1328
E01015047,1422,1813,2015,2657,2111,1496,7702,6347,2321,5578
E01015048,909,1318,547,4238,842,11074,10743,1674,563,5600
E01015049,18927,24779,28238,21742,12431,8359,17500,4407,19783,14035
E01015050,9943,19233,19506,15543,4354,4819,9657,1225,10623,9194
E01015051,17072,23644,26089,24410,9077,10654,9272,4684,10493,15858
E01015052,6331,12866,13316,8954,1737,5127,10778,1065,7018,7559
E01015053,4835,11438,10541,5009,5527,368,7092,1923,5714,8402
E01015054,10444,18231,25813,6805,3574,5362,7981,5988,5220,4069
E01015055,3728,4060,2167,5055,2578,10430,11427,16162,4951,7263
E01015056,10160,10798,9765,16483,8661,6683,14014,6764,8088,13089
E01015057,2414,2507,3321,5939,913,1432,18726,8898,1552,3312
E01015058,3102,3437,2932,3727,2622,2710,13662,14987,3331,5205
E01015059,9393,11190,10928,8566,10708,3424,24098,5003,8379,16066
E01015060,8309,10006,7904,11215,4933,10342,17247,4731,9723,11587
E01015061,8649,9727,9349,13433,7878,3185,22107,4610,8507,13633
E01015062,13155,21465,21003,19828,9529,1495,14556,4999,15797,15548
E01015063,8036,7697,9347,5724,4918,16874,14064,9086,5920,9307
E01015064,27861,29810,26389,29386,18263,18754,21775,17560,28743,29551
E01015065,20199,19102,20324,18235,11617,30586,10064,23488,31952,9599
E01015066,21342,23822,25376,14715,16771,19987,8307,19993,20220,25958
E01015067,27191,29561,19110,23314,17501,27106,26578,25515,29242,32204
E01015068,23763,27917,19657,14718,15685,28334,16175,26836,28845,28469
E01015069,10126,12564,10716,4963,4797,20799,22484,9427,15935,11067
E01015070,13792,15225,13027,17163,7979,16540,6017,22769,16153,10813
E01015071,12635,13398,13256,17567,7801,19673,8651,8081,15595,11845
E01015072,4483,4478,4130,2767,3801,11133,23689,6818,4410,8759
E01015073,4004,4802,3561,1544,4194,18187,7455,13244,4645,6377
E01015074,3898,4194,2499,5090,2524,6804,12559,21305,4614,6443
E01015075,3266,3491,3215,4774,2530,7340,14865,4517,2799,5338
E01015076,16743,18334,15542,12676,13660,17602,26321,8090,15202,23405
E01015077,11798,11805,12133,11478,6360,13511,15724,14963,11698,13177
E01015078,919,796,810,716,2567,7222,15092,6556,609,3211
E01015079,17332,18159,14707,12262,10407,20181,25072,18578,15916,23147
E01015080,704,481,2161,152,2683,4507,5887,6402,467,2913
E01015081,5978,4966,4596,5279,4498,9797,18694,19111,5939,7106
E01015082,3933,4819,2134,6303,1414,7520,17230,22977,4640,6753
E01015083,2573,3478,2223,4702,1269,1025,16412,22617,2350,8470
E01015084,7951,10369,5791,7591,5167,5411,21919,15651,11404,15240
E01015085,9575,11607,9178,10271,7136,4108,27974,8276,12295,14186
E01015086,3749,4174,3440,4618,2720,4471,11769,13493,6590,6257
E01015087,2631,2909,2791,1104,1374,9324,15240,20237,1467,5397
E01015088,1704,1148,1603,1848,1990,6996,12790,17968,780,3814
