Area,Children & young people,Adult skills,Geographic barriers,Wider barriers,Indoor environment,Outdoor environment
E92000001,,,,,,
E12000009,,,,,,
E01015023,5534,4104,14219,8801,11256,17668
E01015024,17415,17729,3402,16978,16784,29161
E01015025,30709,28577,1549,25889,30237,27866
E01015026,6440,5951,7734,8587,8182,27795
E01015027,16680,19083,1566,23615,26516,19814
E01015028,941,3189,14202,7205,16696,22955
E01015029,4984,17584,6695,13952,22530,18557
E01015030,9135,3459,27360,6181,17381,23380
E01015031,22297,29203,18809,9052,1275,17405
E01015032,4616,22550,29307,3647,385,12337
E01015033,28425,27043,10254,24699,23436,14899
E01015034,31782,30935,17635,24264,15686,18748
E01015035,12969,20279,15336,22903,11899,17343
E01015036,30505,28862,24470,18440,13309,17659
E01015037,12689,14745,19510,13773,11007,19061
E01015038,23215,28346,8616,21995,15123,21654
E01015039,2649,13124,32537,14712,2480,30849
E01015040,5031,4117,24304,7370,2697,22889
E01015041,9195,15264,31636,14493,228,25393
E01015042,9838,17067,32286,12924,2865,26043
E01015043,9924,4298,30983,5132,3415,20083
E01015044,14705,12590,27045,8531,411,21374
E01015045,4670,5904,26687,4396,2504,9637
E01015046,1876,2556,30806,3681,7601,10528
E01015047,1375,5708,17167,4719,8016,4618
E01015048,5506,3422,26867,4072,1061,14945
E01015049,15066,29219,30168,6234,2970,14700
E01015050,8187,27715,28878,3367,1085,9057
E01015051,20138,27381,23818,3986,2975,16506
E01015052,6810,11756,28542,3822,937,9376
E01015053,2053,11883,30018,2346,1254,14508
E01015054,2627,16574,30021,2631,4430,13112
E01015055,6553,4015,11049,10867,13590,17584
E01015056,18515,13851,12716,11689,4454,16803
E01015057,3191,10910,25290,8209,5531,21579
E01015058,3634,4123,20657,6922,10881,22131
E01015059,4669,15510,22434,13705,3317,15558
E01015060,11863,10453,15715,11985,3611,11847
E01015061,8926,19513,29299,9041,3337,12980
E01015062,12977,28127,27992,5408,3862,11745
E01015063,3729,8812,12034,12406,5408,23717
E01015064,30245,26571,10475,24820,21883,8591
E01015065,15272,20491,9509,11210,18829,26276
E01015066,12101,17043,4654,18551,17222,20104
E01015067,23854,21145,14959,24844,24036,20533
E01015068,12603,16376,8983,19380,23312,25336
E01015069,3163,7951,24882,10993,7195,14947
E01015070,16220,17015,5883,11178,20331,20688
E01015071,13769,20978,8086,11337,7795,8725
E01015072,2473,3614,29113,10200,4739,15171
E01015073,1155,2990,8433,9506,9667,19837
E01015074,5662,4741,14000,9460,16579,25823
E01015075,3758,6316,16946,9326,2630,19164
E01015076,12624,12444,18037,20195,4621,23875
E01015077,11250,11521,14122,11980,12452,16863
E01015078,964,1274,24601,6459,3804,20959
E01015079,10485,14047,17297,19159,13868,25189
E01015080,402,384,15154,4188,3770,20276
E01015081,5558,5157,24978,8298,15545,21845
E01015082,8967,4429,22119,8447,16928,30589
E01015083,8555,2622,22797,7734,19347,22441
E01015084,8196,7046,22901,11480,14522,14047
E01015085,11567,9013,27435,15152,5740,16817
E01015086,4298,5217,14560,8506,9755,20562
E01015087,455,3769,20713,7820,19307,16559
E01015088,3631,1238,26916,4884,16059,17142
E01015089,7427,8639,19848,11836,6622,21045
E01015090,19187,20395,9594,23784,15257,24280
E01015091,10569,11360,5013,14331,23790,20339
E01015092,9691,10136,8250,6057,24817,30708
E01015093,3083,6405,13038,12385,16996,25743
E01015094,3941,9548,13077,9155,18231,24649
E01015095,5167,8202,6826,12842,13479,22136
E01015096,2575,4666,8501,8780,20059,23501
E01015097,26255,19301,11963,18462,14164,26625
E01015098,23710,30237,29017,20417,5709,20691
E01015099,23541,29893,28138,21255,4218,14049
E01015100,28693,28851,30885,16170,4360,18663
E01015101,32473,30247,15241,25174,18077,16724
E01015102,22490,23233,27705,18962,2628,14309
E01015103,26502,25930,29810,21901,4112,17202
E01015104,27088,24098,30460,27635,6766,23093
E01015105,26100,28673,28559,26342,8290,15009
E01015106,23706,17277,25061,16522,10655,11454
E01015107,9978,21632,4572,19536,19231,25652
E01015108,14619,24865,8141,19996,19617,22631
E01015109,13354,18527,5766,18992,11891,23178
E01015110,23103,19650,3391,22502,22125,26750
E01015111,14546,24864,9106,23204,11872,21084
E01015112,21498,23754,20119,24094,15978,26000
E01015113,13479,20211,5554,23119,16350,14248
E01015114,16659,25747,26898,22025,9668,25806
E01015115,8622,8941,16522,8354,12399,24504
E01015116,13308,21447,3917,22739,24624,23816
E01015117,8754,18586,7005,20052,16995,22888
E01015118,21938,26050,7568,26892,10200,22217
E01015119,18878,26617,2320,25352,17090,27985
E01015120,18600,25508,15409,24622,23268,28496
E01015121,28136,19758,21492,28242,18478,28140
E01015122,12098,24013,13462,23091,11171,12826
