Geography,Date,Variable,Count,LCI,UCI
E01019886,2005,Claimants,20,,
E01019886,2006,Claimants,10,,
E01019886,2007,Claimants,21,,
E01019886,2008,Claimants,13,,
E01019886,2009,Claimants,34,,
E01019886,2010,Claimants,34,,
E01019886,2011,Claimants,35,,
E01019886,2012,Claimants,37,,
E01019886,2013,Claimants,32,,
E01019886,2014,Claimants,30,,
E01019886,2015,Claimants,25,,
E01019886,2016,Claimants,15,,
E01019886,2005,Claim rate,0.015873016,0.00615111,0.008535556
E01019886,2006,Claim rate,0.007401925,0.003846874,0.006168224
E01019886,2007,Claim rate,0.014778325,0.00560765,0.0077236
E01019886,2008,Claim rate,0.00911641,0.004253632,0.006422476
E01019886,2009,Claim rate,0.023660404,0.007220531,0.009246806
E01019886,2010,Claim rate,0.022957461,0.007007591,0.00897659
E01019886,2011,Claim rate,0.022756827,0.006855883,0.008751342
E01019886,2012,Claim rate,0.024666667,0.00724096,0.009173978
E01019886,2013,Claim rate,0.022268615,0.006988221,0.009023593
E01019886,2014,Claim rate,0.019854401,0.006419615,0.008368459
E01019886,2015,Claim rate,0.016545334,0.005810186,0.007782501
E01019886,2016,Claim rate,0.009927201,0.004360678,0.006393425
