Area,2005_LCI,2005_UCI,2006_LCI,2006_UCI,2007_LCI,2007_UCI,2008_LCI,2008_UCI,2009_LCI,2009_UCI,2010_LCI,2010_UCI,2011_LCI,2011_UCI,2012_LCI,2012_UCI,2013_LCI,2013_UCI,2014_LCI,2014_UCI,2015_LCI,2015_UCI,2016_LCI,2016_UCI,2017_LCI,2017_UCI
E92000001,,,,,,,,,,,,,,,,,,,,,,,,,,
E12000009,,,,,,,,,,,,,,,,,,,,,,,,,,
E01015023,0.006636,0.009579113,0.009132051,0.011918177,0.009716183,0.012450612,0.007517434,0.010412564,0.013648789,0.016235056,0.01238691,0.015091102,0.011503521,0.014162929,0.011699515,0.014235876,0.011936291,0.014616721,0.008696048,0.011302285,0.007874215,0.010518608,0.010141873,0.012680211,,
E01015024,0.007326395,0.01015054,0.00741715,0.010275034,0.005230268,0.008183417,0.006881491,0.009818069,0.010101134,0.012990093,0.010515614,0.013311353,0.011662873,0.014430277,0.010220063,0.013036831,0.0097565,0.012662859,0.009659945,0.012539139,0.0065744,0.00961021,0.00773404,0.010709492,,
E01015025,0.005032543,0.008531499,0.005776804,0.00923758,#,#,0.004412225,0.008146436,0.007342806,0.010871264,0.007168192,0.010779865,0.008064706,0.011618934,0.006225977,0.009949524,0.00391901,0.007692456,0.00421762,0.008274711,0.00421762,0.008274711,0.006489933,0.010367471,,
E01015026,0.010004933,0.012766025,0.010243053,0.012884438,0.009795569,0.012455916,0.008919485,0.011644019,0.012051624,0.0147557,0.014421233,0.016985731,0.013782293,0.016340576,0.011919398,0.014562891,0.01122069,0.013968293,0.010457441,0.013069341,0.008120648,0.010844271,0.010457441,0.013069341,,
E01015027,0.005412753,0.008159639,0.005451592,0.008217748,0.006426606,0.009174685,0.004797108,0.007681579,0.008265198,0.011035194,0.007038837,0.009936694,0.007403041,0.010255682,0.00902877,0.011784989,0.006209714,0.009081626,0.006383769,0.009333972,0.006383769,0.009333972,0.006383769,0.009333972,,
E01015028,0.010669262,0.013965199,0.01031924,0.013659703,0.010461177,0.013768521,0.009187959,0.012594742,0.014616384,0.017716033,0.012313666,0.015398078,0.015718758,0.018616004,0.014329319,0.017269114,0.011373438,0.014664067,0.010205323,0.013237527,0.009243776,0.012325743,0.009243776,0.012325743,,
E01015029,0.005071279,0.007782018,0.005018618,0.007701768,0.006185749,0.008833696,0.005531556,0.008209954,0.008432687,0.011015577,0.008994063,0.011536204,0.008747061,0.011268803,0.010343114,0.012786065,0.008588918,0.011164619,0.00876634,0.011392592,0.00470602,0.007536689,0.005963036,0.008723783,,
E01015030,0.012529007,0.015443612,0.012451238,0.015349338,0.011297379,0.014286204,0.0110998,0.014040023,0.014287525,0.017093241,0.013728311,0.016526402,0.015161176,0.017768575,0.014706078,0.017338547,0.013221329,0.016089808,0.012957241,0.015739981,0.009894965,0.012840223,0.01153405,0.0143944,,
E01015031,0.007726363,0.010698971,0.009195808,0.01194397,0.008257462,0.011024978,0.008068659,0.010775585,0.010880986,0.0133124,0.010271634,0.012666764,0.011163178,0.013484298,0.011201548,0.01363891,0.010641795,0.013084772,0.010955228,0.013497633,0.007995533,0.010678958,0.007066984,0.009794519,,
E01015032,0.008820181,0.01111534,0.007220028,0.009282217,0.007935292,0.009840348,0.007122789,0.008967733,0.009389043,0.011047362,0.008820844,0.010481146,0.008878555,0.010506201,0.009350791,0.010964473,0.009711797,0.011357198,0.008840626,0.010328063,0.006154091,0.007734285,0.006552536,0.0081195,,
E01015033,0.003957127,0.007311216,0.006345074,0.009552848,0.00435516,0.007673926,0.004410226,0.007770321,0.008811864,0.011908985,0.005438754,0.008701164,0.005938474,0.009101821,0.005962897,0.009138944,0.005138221,0.008442652,0.005360335,0.008576654,0.003482475,0.006840277,0.003482475,0.006840277,,
E01015034,0.005496706,0.009027053,0.007391018,0.01079191,0.005796104,0.009268189,0.005465952,0.008976942,0.006884045,0.010356607,0.005346204,0.00905911,0.007561527,0.01119173,0.008375782,0.011925935,0.005540348,0.009098157,0.006263439,0.010008861,0.004070182,0.007987292,0.004070182,0.007987292,,
E01015035,0.005241571,0.008388035,0.005938474,0.009101821,0.00459509,0.007794845,0.005574268,0.00871746,0.008640081,0.011679493,0.007341897,0.010360305,0.006875619,0.009921787,0.006281671,0.009313735,0.005365861,0.008585429,0.005236298,0.008379659,0.005236298,0.008379659,0.005236298,0.008379659,,
E01015036,0.007134537,0.01072975,0.006826161,0.010449493,0.0044225,0.00816528,0.005636239,0.009254357,0.009120497,0.012605917,0.007701261,0.011240152,0.007952436,0.011458933,0.008558799,0.012057728,0.008045775,0.011591958,0.008068147,0.011769735,0.006370773,0.010178833,0.006370773,0.010178833,,
