Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,703106,791888,716283,695550,1298572,1186346,1222222,1282669,1172963,814654,573096,451428
E12000009,40918,48058,42137,40971,94361,79323,80106,86458,76223,50658,35292,28688
E01015023,16,29,33,20,61,49,45,50,47,30,25,40
E01015024,20,20,11,17,32,36,43,34,30,30,15,20
E01015025,8,10,#,6,14,13,16,10,5,5,5,10
E01015026,34,38,35,29,47,67,63,48,41,40,25,40
E01015027,13,13,17,10,25,18,20,29,15,15,15,15
E01015028,28,26,27,21,50,39,62,53,31,30,25,25
E01015029,12,12,17,14,29,33,32,44,30,30,10,15
E01015030,44,44,36,36,57,54,70,66,49,50,30,40
E01015031,20,30,25,25,48,45,54,50,46,45,25,20
E01015032,38,33,44,39,73,66,69,76,78,80,40,45
E01015033,6,13,7,7,23,10,12,12,9,10,5,5
E01015034,9,15,10,9,13,8,14,17,9,10,5,5
E01015035,10,12,8,11,23,18,16,14,10,10,10,10
E01015036,13,12,6,9,20,15,16,18,16,15,10,10
E01015037,10,17,13,5,22,13,28,17,23,25,15,15
E01015038,7,17,10,7,22,20,22,16,11,10,10,10
E01015039,8,21,25,20,29,23,40,22,29,30,20,20
E01015040,30,31,31,41,61,54,65,65,54,55,25,30
E01015041,20,25,22,19,43,39,44,45,36,35,25,30
E01015042,26,26,31,35,42,55,62,46,30,30,20,35
E01015043,52,55,42,42,62,76,96,93,91,90,50,50
E01015044,28,31,41,39,68,63,69,71,56,55,30,35
E01015045,25,27,33,25,64,58,71,80,63,60,35,40
E01015046,68,96,91,74,112,141,143,133,102,100,60,65
E01015047,35,51,51,28,63,72,68,69,71,70,40,40
E01015048,72,65,65,55,89,75,83,96,84,85,50,70
E01015049,23,15,11,23,36,27,28,27,17,15,20,30
E01015050,35,35,35,38,57,55,72,68,59,60,35,40
E01015051,30,25,15,12,32,27,33,34,29,30,20,25
E01015052,42,48,36,35,56,40,62,65,53,55,40,55
E01015053,42,51,42,39,59,36,50,57,53,55,30,30
E01015054,32,24,28,30,37,34,33,40,30,30,25,20
E01015055,37,26,29,27,42,40,41,30,33,35,20,30
E01015056,19,24,24,29,36,30,39,44,36,35,20,25
E01015057,27,27,42,28,52,51,56,65,52,50,25,40
E01015058,26,28,28,25,49,55,50,58,50,50,20,25
E01015059,21,21,17,16,49,34,34,38,27,25,20,25
E01015060,23,22,17,14,35,37,36,45,36,35,15,15
E01015061,31,22,30,26,54,49,55,57,48,50,35,35
E01015062,40,39,55,34,66,60,64,70,44,45,40,40
E01015063,23,24,26,23,43,29,26,28,20,20,15,15
E01015064,3,5,5,5,11,13,9,8,4,5,5,0
E01015065,4,5,7,10,19,16,19,17,8,10,10,5
E01015066,8,8,12,5,18,18,18,19,7,5,5,5
E01015067,7,4,12,6,28,14,18,15,15,15,5,5
E01015068,4,12,8,7,23,17,22,13,14,15,5,0
E01015069,17,14,20,15,46,36,31,27,32,30,20,15
E01015070,24,23,23,22,36,39,31,30,27,25,20,15
E01015071,11,16,15,7,22,25,20,16,17,15,10,15
E01015072,23,45,53,37,60,56,52,72,70,70,30,30
E01015073,20,27,33,23,53,46,39,52,34,35,20,30
E01015074,16,25,32,28,41,42,41,36,35,35,30,25
E01015075,25,27,30,21,46,35,52,60,41,40,25,35
E01015076,12,12,17,16,32,27,31,41,23,25,10,20
E01015077,12,10,8,12,28,25,29,22,17,15,10,20
E01015078,27,34,44,45,69,52,49,47,44,45,25,40
E01015079,10,12,17,18,32,27,19,26,27,25,15,15
E01015080,42,48,56,45,72,58,73,63,46,45,15,15
E01015081,22,28,30,18,40,47,42,45,40,40,15,25
E01015082,28,45,35,34,66,48,52,49,39,40,25,25
E01015083,43,46,37,26,72,73,65,51,54,55,35,40
E01015084,20,28,23,20,33,31,31,34,34,35,20,20
E01015085,11,27,23,17,32,36,37,30,26,25,20,15
E01015086,17,18,26,17,40,30,28,35,24,25,10,30
E01015087,35,44,39,44,63,65,71,66,54,55,20,30
E01015088,29,49,44,31,60,53,59,68,51,50,35,25
E01015089,7,17,17,13,33,36,35,24,20,20,10,10
E01015090,10,12,17,11,21,25,22,19,10,10,10,5
E01015091,9,20,17,19,31,25,31,20,17,15,10,15
E01015092,11,13,9,12,30,18,27,19,14,15,15,15
E01015093,15,21,18,19,28,22,19,22,16,15,15,10
E01015094,13,13,16,12,28,28,25,27,15,15,15,15
E01015095,16,21,18,19,39,22,25,25,26,25,10,5
E01015096,17,10,12,12,25,30,32,34,25,25,10,10
E01015097,5,7,6,5,21,9,15,14,11,10,10,10
E01015098,7,14,11,12,26,15,15,16,23,25,15,10
E01015099,10,9,15,12,31,35,33,20,14,15,10,5
E01015100,23,19,21,17,33,30,29,38,26,25,20,20
E01015101,#,5,6,7,15,10,8,10,5,5,10,5
E01015102,16,14,13,12,28,30,31,43,24,25,25,20
E01015103,15,10,14,17,19,23,22,17,14,15,20,10
E01015104,6,10,14,7,24,19,16,12,11,10,5,5
E01015105,9,13,12,17,35,17,23,20,18,20,15,10
E01015106,9,13,14,16,32,30,30,28,20,20,5,15
E01015107,6,11,10,10,20,15,17,21,14,15,15,10
E01015108,16,12,11,4,18,19,12,17,13,15,5,5
E01015109,#,8,5,11,28,25,16,30,12,10,5,10
E01015110,7,7,6,#,22,15,7,12,9,10,5,5
E01015111,9,10,6,10,25,19,18,6,9,10,5,10
E01015112,6,7,4,7,22,14,15,22,12,10,5,5
E01015113,6,10,11,4,14,11,12,12,6,5,5,10
E01015114,8,11,12,8,23,14,15,12,10,10,5,5
E01015115,11,13,5,7,20,17,26,23,14,15,10,10
E01015116,7,11,16,10,18,11,14,14,14,15,5,10
E01015117,8,7,5,11,24,30,18,16,9,10,10,5
E01015118,8,#,4,3,15,18,9,15,12,10,5,10
E01015119,4,10,7,9,23,21,16,13,13,15,5,5
E01015120,#,#,6,10,22,9,16,18,10,10,5,5
E01015121,8,7,8,7,18,9,12,7,9,10,0,5
E01015122,#,5,14,8,22,12,10,17,13,15,5,10
E01015123,7,9,9,#,17,21,14,14,9,10,5,15
E01015124,6,8,8,9,17,21,15,9,14,15,5,5
E01015125,5,8,7,11,24,21,18,16,11,10,5,10
E01015126,5,#,4,7,13,8,10,9,5,5,5,10
E01015127,5,3,7,8,18,14,13,23,20,20,10,10
E01015128,6,14,12,10,19,17,20,16,8,10,5,10
E01015129,13,17,17,12,33,28,22,31,13,15,10,20
E01015130,11,10,14,9,23,14,18,10,13,15,10,5
E01015131,4,8,8,4,13,7,7,5,3,5,5,5
E01015132,13,12,9,7,15,17,14,17,14,15,5,5
E01015133,12,11,12,5,13,20,9,14,3,5,5,10
E01015134,7,8,12,6,14,10,11,13,13,15,10,10
E01015135,15,11,16,5,30,22,22,11,21,20,10,10
E01015136,9,9,11,9,26,9,27,21,13,15,5,10
E01015137,7,8,6,7,19,24,17,19,9,10,10,5
E01015138,12,14,10,13,23,24,19,25,13,15,5,15
E01015139,9,18,13,13,31,25,39,28,20,20,5,10
E01015140,4,10,8,8,15,10,7,10,9,10,5,5
E01015141,5,8,10,6,23,14,15,18,7,5,5,5
E01015142,14,21,21,16,34,38,33,33,24,25,15,20
E01015143,10,13,15,13,43,26,31,27,31,30,10,15
E01015144,30,33,34,30,51,53,61,58,55,55,45,35
E01015145,44,54,43,56,72,77,98,85,91,90,60,45
E01015146,32,39,48,34,67,75,78,92,81,80,50,40
