Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E92000001,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
E12000009,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,
E01015023,0.006636,0.009132051,0.009716183,0.007517434,0.013648789,0.01238691,0.011503521,0.011699515,0.011936291,0.008696048,0.007874215,0.010141873,0.0087,0.0087,0.01013288
E01015024,0.007326395,0.00741715,0.005230268,0.006881491,0.010101134,0.010515614,0.011662873,0.010220063,0.0097565,0.009659945,0.0065744,0.00773404,0.0052,0.0078,0.006607284
E01015025,0.005032543,0.005776804,#,0.004412225,0.007342806,0.007168192,0.008064706,0.006225977,0.00391901,0.00421762,0.00421762,0.006489933,0.0041,0.0041,0.004099834
E01015026,0.010004933,0.010243053,0.009795569,0.008919485,0.012051624,0.014421233,0.013782293,0.011919398,0.01122069,0.010457441,0.008120648,0.010457441,0.0089,0.0111,0.011678325
E01015027,0.005412753,0.005451592,0.006426606,0.004797108,0.008265198,0.007038837,0.007403041,0.00902877,0.006209714,0.006383769,0.006383769,0.006383769,0.0049,0.0032,0.003171708
E01015028,0.010669262,0.01031924,0.010461177,0.009187959,0.014616384,0.012313666,0.015718758,0.014329319,0.011373438,0.010205323,0.009243776,0.009243776,0.0106,0.0115,0.01450934
E01015029,0.005071279,0.005018618,0.006185749,0.005531556,0.008432687,0.008994063,0.008747061,0.010343114,0.008588918,0.00876634,0.00470602,0.005963036,0.0060,0.0070,0.007016025
E01015030,0.012529007,0.012451238,0.011297379,0.0110998,0.014287525,0.013728311,0.015161176,0.014706078,0.013221329,0.012957241,0.009894965,0.01153405,0.0106,0.0106,0.012516398
E01015031,0.007726363,0.009195808,0.008257462,0.008068659,0.010880986,0.010271634,0.011163178,0.011201548,0.010641795,0.010955228,0.007995533,0.007066984,0.0071,0.0080,0.008886053
E01015032,0.008820181,0.007220028,0.007935292,0.007122789,0.009389043,0.008820844,0.008878555,0.009350791,0.009711797,0.008840626,0.006154091,0.006552536,0.0079,0.0075,0.009716429
E01015033,0.003957127,0.006345074,0.00435516,0.004410226,0.008811864,0.005438754,0.005938474,0.005962897,0.005138221,0.005360335,0.003482475,0.003482475,0.0036,0.0056,0.003609033
E01015034,0.005496706,0.007391018,0.005796104,0.005465952,0.006884045,0.005346204,0.007561527,0.008375782,0.005540348,0.006263439,0.004070182,0.004070182,0.0042,0.0065,0.006457723
E01015035,0.005241571,0.005938474,0.00459509,0.005574268,0.008640081,0.007341897,0.006875619,0.006281671,0.005365861,0.005236298,0.005236298,0.005236298,0.0053,0.0053,0.006687564
E01015036,0.007134537,0.006826161,0.0044225,0.005636239,0.009120497,0.007701261,0.007952436,0.008558799,0.008045775,0.008068147,0.006370773,0.006370773,0.0063,0.0063,0.006293735
E01015037,0.006270986,0.008609468,0.007376988,0.004165587,0.010187404,0.007694498,0.011676927,0.008567895,0.01043954,0.010265553,0.007719262,0.007719262,0.0090,0.0077,0.009035802
E01015038,0.00410729,0.006680684,0.004878037,0.003818751,0.007512998,0.007028696,0.007159356,0.005904369,0.00505741,0.004597927,0.004597927,0.004597927,0.0047,0.0047,0.004735996
E01015039,0.002876682,0.004882223,0.005185222,0.004446781,0.005214668,0.004370664,0.005952099,0.004477787,0.005214668,0.005874767,0.004696298,0.004696298,0.0054,0.0067,0.005366544
E01015040,0.00968871,0.009930327,0.009669479,0.011602873,0.014562681,0.013672467,0.014536379,0.014651098,0.013686385,0.013986276,0.009214811,0.010173414,0.0112,0.0130,0.015362869
E01015041,0.007703424,0.00888983,0.007949284,0.007485724,0.011766787,0.011556203,0.012076433,0.012558953,0.010714019,0.010502472,0.008757464,0.009669514,0.0109,0.0109,0.010006547
E01015042,0.008500194,0.008572928,0.009342274,0.010151243,0.011308947,0.013459434,0.013893961,0.011780808,0.009454106,0.009426715,0.007546587,0.010239296,0.0093,0.0101,0.010803474
E01015043,0.012987171,0.013513016,0.011622566,0.011254715,0.013867347,0.015626038,0.01715302,0.01755142,0.016778069,0.016625484,0.012373,0.012373,0.0135,0.0123,0.016485887
E01015044,0.008792285,0.008788764,0.010302415,0.010560098,0.013841617,0.013378257,0.013768398,0.01384337,0.01254027,0.011943771,0.008672867,0.009422002,0.0111,0.0111,0.013956111
E01015045,0.011466242,0.011608461,0.012472821,0.009930475,0.01499586,0.013521631,0.014706473,0.014917582,0.014877358,0.012588403,0.009497814,0.010196171,0.0120,0.0131,0.014994117
E01015046,0.015196528,0.017057037,0.016256336,0.013613592,0.016134154,0.01679387,0.016816187,0.016653959,0.015423517,0.015594877,0.012085702,0.0125892,0.0135,0.0147,0.01511531
E01015047,0.011188185,0.013077137,0.012883279,0.009436944,0.014365225,0.015300774,0.015166235,0.014415676,0.015253971,0.013227207,0.009904521,0.009904521,0.0096,0.0114,0.012379264
E01015048,0.018847179,0.017335259,0.018250672,0.017366334,0.023215039,0.020958514,0.019930424,0.018543968,0.022593362,0.014673108,0.011211287,0.013318438,0.0107,0.0122,0.013258434
E01015049,0.007267942,0.005584869,0.004371196,0.006529643,0.008142548,0.006865455,0.006805294,0.006497266,0.005387484,0.004559354,0.005366544,0.006710947,0.0055,0.0068,0.007410705
E01015050,0.008661483,0.007978434,0.007199747,0.007011284,0.008645492,0.008319674,0.009440938,0.009173723,0.008801769,0.008095264,0.006085986,0.006537964,0.0053,0.0048,0.006207592
E01015051,0.008339413,0.007531385,0.005651776,0.004384933,0.006814005,0.005732702,0.006012858,0.006526412,0.006459517,0.005445377,0.004352296,0.004927454,0.0047,0.0047,0.004654176
E01015052,0.009141557,0.009158603,0.007608462,0.006864744,0.008271469,0.007032999,0.008616705,0.008525399,0.008036967,0.0073627,0.006221113,0.0073627,0.0073,0.0077,0.008746817
