Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
E92000001,0.021,0.024,0.021,0.021,0.039,0.035,0.036,0.037,0.034,0.024,0.017,0.013
E12000009,0.013,0.015,0.013,0.012,0.029,0.024,0.024,0.026,0.023,0.015,0.011,0.009
E01015023,0.015549077,0.027884615,0.03148855,0.019417476,0.059338521,0.048418972,0.043144775,0.046125461,0.045719844,0.026954178,0.022461815,0.035938904
E01015024,0.018921476,0.019157088,0.010466223,0.016553067,0.032290616,0.035502959,0.042828685,0.033596838,0.030272452,0.02997003,0.014985015,0.01998002
E01015025,0.00886918,0.011123471,#,0.006976744,0.016260163,0.015384615,0.01891253,0.011990408,0.005807201,0.00625,0.00625,0.0125
E01015026,0.032882012,0.035447761,0.032618826,0.027230047,0.046168959,0.065686275,0.060869565,0.04610951,0.040275049,0.037071362,0.023169601,0.037071362
E01015027,0.011607143,0.011690647,0.015454545,0.00923361,0.023584906,0.017357763,0.019120459,0.02756654,0.014150943,0.014548982,0.014548982,0.014548982
E01015028,0.032110092,0.030023095,0.030963303,0.024277457,0.05787037,0.043237251,0.069119287,0.058305831,0.03587963,0.031678986,0.026399155,0.026399155
E01015029,0.01051709,0.010407632,0.014873141,0.012237762,0.025732032,0.029126214,0.027923211,0.038327526,0.026619343,0.027173913,0.009057971,0.013586957
E01015030,0.046560847,0.046267087,0.038176034,0.0375,0.060190074,0.056308655,0.070635721,0.066532258,0.051742344,0.051177073,0.030706244,0.040941658
E01015031,0.01996008,0.02851711,0.023562677,0.023020258,0.042031524,0.038461538,0.045608108,0.044130627,0.04028021,0.041058394,0.022810219,0.018248175
E01015032,0.030473136,0.023338048,0.029313791,0.024856597,0.044162129,0.039497307,0.040612125,0.044837758,0.047186933,0.043407488,0.021703744,0.024416712
E01015033,0.006256517,0.013612565,0.007291667,0.007383966,0.024236038,0.010471204,0.012320329,0.012371134,0.009483667,0.010319917,0.005159959,0.005159959
E01015034,0.010146561,0.016853933,0.011160714,0.010089686,0.014772727,0.00942285,0.016746411,0.020166074,0.010227273,0.012062726,0.006031363,0.006031363
E01015035,0.010090817,0.012320329,0.008097166,0.011156187,0.023760331,0.018108652,0.01611279,0.013902681,0.010330579,0.010080645,0.010080645,0.010080645
E01015036,0.015312132,0.014167651,0.006993007,0.010404624,0.023584906,0.017564403,0.018648019,0.021126761,0.018867925,0.018404908,0.012269939,0.012269939
E01015037,0.012077295,0.020731707,0.015834348,0.00617284,0.0275,0.016518424,0.035175879,0.020631068,0.02875,0.029342723,0.017605634,0.017605634
E01015038,0.006876228,0.016068053,0.009389671,0.006392694,0.02023919,0.01814882,0.019281332,0.013828868,0.010119595,0.008849558,0.008849558,0.008849558
E01015039,0.005066498,0.012859767,0.014757969,0.011461318,0.015864333,0.011979167,0.020986359,0.012035011,0.015864333,0.018159806,0.012106538,0.012106538
E01015040,0.03006012,0.031281534,0.030451866,0.041666667,0.063409563,0.056074766,0.065261044,0.065789474,0.056133056,0.057894737,0.026315789,0.031578947
E01015041,0.019900498,0.025380711,0.021421616,0.018905473,0.04321608,0.040540541,0.044852192,0.047169811,0.036180905,0.035,0.025,0.03
