Area,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
E92000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E12000009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
E01015023,0.009579113,0.011918177,0.012450612,0.010412564,0.016235056,0.015091102,0.014162929,0.014235876,0.014616721,0.011302285,0.010518608,0.012680211,0.0113,0.0113,0.012669116
E01015024,0.01015054,0.010275034,0.008183417,0.009818069,0.012990093,0.013311353,0.014430277,0.013036831,0.012662859,0.012539139,0.00961021,0.010709492,0.0083,0.0108,0.009657847
E01015025,0.008531499,0.00923758,#,0.008146436,0.010871264,0.010779865,0.011618934,0.009949524,0.007692456,0.008274711,0.008274711,0.010367471,0.0080,0.0080,0.008045108
E01015026,0.012766025,0.012884438,0.012455916,0.011644019,0.0147557,0.016985731,0.016340576,0.014562891,0.013968293,0.013069341,0.010844271,0.013069341,0.0116,0.0136,0.01421049
E01015027,0.008159639,0.008217748,0.009174685,0.007681579,0.011035194,0.009936694,0.010255682,0.011784989,0.009081626,0.009333972,0.009333972,0.009333972,0.0078,0.0062,0.0062329
E01015028,0.013965199,0.013659703,0.013768521,0.012594742,0.017716033,0.015398078,0.018616004,0.017269114,0.014664067,0.013237527,0.012325743,0.012325743,0.0137,0.0145,0.017415758
E01015029,0.007782018,0.007701768,0.008833696,0.008209954,0.011015577,0.011536204,0.011268803,0.012786065,0.011164619,0.011392592,0.007536689,0.008723783,0.0087,0.0097,0.009724554
E01015030,0.015443612,0.015349338,0.014286204,0.014040023,0.017093241,0.016526402,0.017768575,0.017338547,0.016089808,0.015739981,0.012840223,0.0143944,0.0132,0.0132,0.015063715
E01015031,0.010698971,0.01194397,0.011024978,0.010775585,0.0133124,0.012666764,0.013484298,0.01363891,0.013084772,0.013497633,0.010678958,0.009794519,0.0099,0.0107,0.011546351
E01015032,0.01111534,0.009282217,0.009840348,0.008967733,0.011047362,0.010481146,0.010506201,0.010964473,0.011357198,0.010328063,0.007734285,0.0081195,0.0095,0.0091,0.011230173
E01015033,0.007311216,0.009552848,0.007673926,0.007770321,0.011908985,0.008701164,0.009101821,0.009138944,0.008442652,0.008576654,0.006840277,0.006840277,0.0071,0.0089,0.007087457
E01015034,0.009027053,0.01079191,0.009268189,0.008976942,0.010356607,0.00905911,0.01119173,0.011925935,0.009098157,0.010008861,0.007987292,0.007987292,0.0082,0.0103,0.010316487
E01015035,0.008388035,0.009101821,0.007794845,0.00871746,0.011679493,0.010360305,0.009921787,0.009313735,0.008585429,0.008379659,0.008379659,0.008379659,0.0084,0.0084,0.009774126
E01015036,0.01072975,0.010449493,0.00816528,0.009254357,0.012605917,0.011240152,0.011458933,0.012057728,0.011591958,0.011769735,0.010178833,0.010178833,0.0101,0.0101,0.010056843
E01015037,0.010020814,0.012254792,0.011090666,0.008173293,0.013840535,0.011562946,0.015263645,0.012196303,0.01407812,0.013669598,0.011266148,0.011266148,0.0125,0.0112,0.012490276
E01015038,0.007239823,0.009534149,0.007810279,0.006734092,0.010243588,0.009741951,0.009765995,0.008531428,0.007914868,0.0073647,0.0073647,0.0073647,0.0076,0.0076,0.007584374
E01015039,0.004891994,0.006730888,0.006951065,0.006184499,0.006840553,0.005941537,0.007482366,0.006129737,0.006840553,0.007663628,0.006529369,0.006529369,0.0075,0.0087,0.007454613
E01015040,0.012576001,0.012827922,0.01249526,0.014436768,0.01730083,0.016460407,0.017166707,0.017299499,0.016476857,0.01679973,0.012287594,0.013196694,0.0145,0.0162,0.018419003
E01015041,0.010667533,0.011859355,0.010832162,0.010460886,0.014556847,0.014465404,0.0148947,0.015440754,0.013558959,0.013342382,0.011684823,0.012551402,0.0138,0.0138,0.012983103
E01015042,0.011278982,0.011374401,0.012077637,0.012902149,0.014036968,0.016178326,0.016495547,0.014463535,0.012275282,0.012240159,0.010452537,0.013012555,0.0120,0.0128,0.013495654
E01015043,0.015710753,0.016241568,0.014420263,0.013970654,0.016464539,0.018169846,0.019528147,0.020019688,0.019191109,0.019037266,0.015041948,0.015041948,0.0161,0.0149,0.018881093
E01015044,0.011537017,0.011370334,0.012840671,0.013235924,0.01629372,0.015870139,0.01618768,0.016232515,0.015064581,0.014385467,0.0112725,0.01198677,0.0137,0.0137,0.016382988
